strainID,serovar,serovar:colour,Source,Source:colour,Human_material,Human_material:colour,Food_material,Food_material:colour,Animal_material,Animal_material:colour,ESBL_AmpC,ESBL_AmpC:color,Fosfomycin_gene,Fosfomycin_gene:colour,tet_gene,tet_gene:colour,Trimethoprim_gene,Trimethoprim_gene:colour,Kanamycin_gene,Kanamycin_gene:colour,Macrolide_gene,Macrolide_gene:colour
1712006,Infantis,#FFF100,food,#00FF00,None,#CCCCCC,f_domestic chicken,#00FF00,None,#CCCCCC,0,#CCCCCC,None,#CCCCCC,tet(A),#67991C,dfrA14,#125699,None,#CCCCCC,None,#CCCCCC
1712008,Infantis,#FFF100,food,#00FF00,None,#CCCCCC,f_domestic chicken,#00FF00,None,#CCCCCC,0,#CCCCCC,None,#CCCCCC,tet(A),#67991C,dfrA14,#125699,None,#CCCCCC,None,#CCCCCC
2212008,Infantis,#FFF100,food,#00FF00,None,#CCCCCC,f_domestic chicken,#00FF00,None,#CCCCCC,0,#CCCCCC,None,#CCCCCC,tet(A),#67991C,dfrA14,#125699,aph(3')-Ia,#00965C,None,#CCCCCC
1712010,Infantis,#FFF100,food,#00FF00,None,#CCCCCC,f_domestic chicken,#00FF00,None,#CCCCCC,0,#CCCCCC,None,#CCCCCC,None,#CCCCCC,dfrA14,#125699,aph(3')-Ia,#00965C,None,#CCCCCC
1712011,Infantis,#FFF100,food,#00FF00,None,#CCCCCC,f_domestic chicken,#00FF00,None,#CCCCCC,0,#CCCCCC,None,#CCCCCC,None,#CCCCCC,dfrA14,#125699,aph(3')-Ia,#00965C,None,#CCCCCC
2112035,Infantis,#FFF100,food,#00FF00,None,#CCCCCC,f_domestic chicken,#00FF00,None,#CCCCCC,0,#CCCCCC,None,#CCCCCC,tet(A),#67991C,dfrA14,#125699,aph(3')-Ia,#00965C,None,#CCCCCC
1712005,Infantis,#FFF100,food,#00FF00,None,#CCCCCC,f_domestic chicken,#00FF00,None,#CCCCCC,0,#CCCCCC,None,#CCCCCC,tet(A),#67991C,dfrA14,#125699,None,#CCCCCC,None,#CCCCCC
2112025,Infantis,#FFF100,food,#00FF00,None,#CCCCCC,f_domestic chicken,#00FF00,None,#CCCCCC,0,#CCCCCC,None,#CCCCCC,tet(A),#67991C,dfrA14,#125699,None,#CCCCCC,None,#CCCCCC
1712004,Infantis,#FFF100,food,#00FF00,None,#CCCCCC,f_domestic chicken,#00FF00,None,#CCCCCC,0,#CCCCCC,None,#CCCCCC,tet(A),#67991C,dfrA14,#125699,None,#CCCCCC,None,#CCCCCC
1712003,Infantis,#FFF100,food,#00FF00,None,#CCCCCC,f_domestic chicken,#00FF00,None,#CCCCCC,0,#CCCCCC,None,#CCCCCC,tet(A),#67991C,dfrA14,#125699,None,#CCCCCC,None,#CCCCCC
1712009,Infantis,#FFF100,food,#00FF00,None,#CCCCCC,f_domestic chicken,#00FF00,None,#CCCCCC,0,#CCCCCC,None,#CCCCCC,tet(A),#67991C,dfrA14,#125699,None,#CCCCCC,None,#CCCCCC
30-Sal-C-63-1-1-75,Infantis,#FFF100,animal,#0023E9,None,#CCCCCC,None,#CCCCCC,a_cecal stool,#0023E9,0,#CCCCCC,None,#CCCCCC,tet(A),#67991C,dfrA14,#125699,None,#CCCCCC,None,#CCCCCC
S-C-5-2-1-42,Infantis,#FFF100,animal,#0023E9,None,#CCCCCC,None,#CCCCCC,a_cecal stool,#0023E9,0,#CCCCCC,None,#CCCCCC,tet(A),#67991C,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
R2-S-C-53,Infantis,#FFF100,animal,#0023E9,None,#CCCCCC,None,#CCCCCC,a_cecal stool,#0023E9,0,#CCCCCC,None,#CCCCCC,tet(A),#67991C,dfrA14,#125699,None,#CCCCCC,None,#CCCCCC
S-C-2-1-1-37,Schwarzengrund,#E60012,animal,#0023E9,None,#CCCCCC,None,#CCCCCC,a_cecal stool,#0023E9,0,#CCCCCC,None,#CCCCCC,tet(A),#67991C,dfrA14,#125699,None,#CCCCCC,None,#CCCCCC
