strainID,CC_or_ST,CC_or_ST:color,Source,Source:color,tet_gene,tet_gene:color,Quinolone_gene,Quinolone_gene:color,macrolide_gene,macrolide_gene:color,aminoglycoside_gene,aminoglycoside_gene:color
30-CJ-C-73-1-1-42,ST-443 complex,#B80047,Chicken_stool,#0E8F8F,None,#CCCCCC,None,#CCCCCC,50S_L22_A103V,#125699,None,#CCCCCC
30-CJ-C-67-1-1-38,ST-443 complex,#B80047,Chicken_stool,#0E8F8F,None,#CCCCCC,None,#CCCCCC,50S_L22_A103V,#125699,None,#CCCCCC
HP12229,ST-443 complex,#B80047,Human,#FF0000,None,#CCCCCC,None,#CCCCCC,50S_L22_A103V,#125699,None,#CCCCCC
HP12192,ST-443 complex,#B80047,Human,#FF0000,None,#CCCCCC,None,#CCCCCC,50S_L22_A103V,#125699,None,#CCCCCC
30-CJ-C-20-1-1-10,ST-443 complex,#B80047,Chicken_stool,#0E8F8F,None,#CCCCCC,None,#CCCCCC,50S_L22_A103V,#125699,None,#CCCCCC
HP12207,ST-443 complex,#B80047,Human,#FF0000,None,#CCCCCC,None,#CCCCCC,50S_L22_A103V,#125699,None,#CCCCCC
HP12196,ST-443 complex,#B80047,Human,#FF0000,None,#CCCCCC,None,#CCCCCC,50S_L22_A103V,#125699,None,#CCCCCC
HP12534,ST-443 complex,#B80047,Human,#FF0000,None,#CCCCCC,None,#CCCCCC,50S_L22_A103V,#125699,None,#CCCCCC
R1-Cj-C-59,ST-443 complex,#B80047,Chicken_stool,#0E8F8F,None,#CCCCCC,None,#CCCCCC,50S_L22_A103V,#125699,None,#CCCCCC
R1-Cj-C-61,ST-443 complex,#B80047,Chicken_stool,#0E8F8F,None,#CCCCCC,None,#CCCCCC,50S_L22_A103V,#125699,None,#CCCCCC
HP12502,ST-443 complex,#B80047,Human,#FF0000,None,#CCCCCC,None,#CCCCCC,50S_L22_A103V,#125699,None,#CCCCCC
30-CJ-C-18-2-1-8,ST-443 complex,#B80047,Chicken_stool,#0E8F8F,None,#CCCCCC,None,#CCCCCC,50S_L22_A103V,#125699,None,#CCCCCC
30-CJ-C-57-1-1-32,ST-443 complex,#B80047,Chicken_stool,#0E8F8F,None,#CCCCCC,None,#CCCCCC,50S_L22_A103V,#125699,None,#CCCCCC
R1-Cj-C-57,ST-443 complex,#B80047,Chicken_stool,#0E8F8F,None,#CCCCCC,None,#CCCCCC,50S_L22_A103V,#125699,None,#CCCCCC
R2-Cj-C-70,ST-443 complex,#B80047,Chicken_stool,#0E8F8F,None,#CCCCCC,None,#CCCCCC,50S_L22_A103V,#125699,None,#CCCCCC
HP12598,,,Human,#FF0000,None,#CCCCCC,gyrA_T86I,#916523,50S_L22_A103V,#125699,None,#CCCCCC
SC1,,,Chicken_meat,#00FF00,None,#CCCCCC,None,#CCCCCC,50S_L22_A103V,#125699,None,#CCCCCC
30-CJ-C-53-1-1-26,ST-443 complex,#B80047,Chicken_stool,#0E8F8F,None,#CCCCCC,None,#CCCCCC,50S_L22_A103V,#125699,None,#CCCCCC
R1-Cj-C-42,Others,#7F7F7F,Chicken_stool,#0E8F8F,None,#CCCCCC,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
R2-Cj-C-92,Others,#7F7F7F,Chicken_stool,#0E8F8F,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
HP12210,Others,#7F7F7F,Human,#FF0000,None,#CCCCCC,None,#CCCCCC,50S_L22_A103V,#125699,None,#CCCCCC
SC25,Others,#7F7F7F,Chicken_meat,#00FF00,None,#CCCCCC,None,#CCCCCC,50S_L22_A103V,#125699,None,#CCCCCC
30-CJ-C-58-2-1-34,Others,#7F7F7F,Chicken_stool,#0E8F8F,None,#CCCCCC,None,#CCCCCC,50S_L22_A103V,#125699,None,#CCCCCC
HP12168,Others,#7F7F7F,Human,#FF0000,None,#CCCCCC,None,#CCCCCC,50S_L22_A103V,#125699,None,#CCCCCC
SC24,Others,#7F7F7F,Chicken_meat,#00FF00,None,#CCCCCC,None,#CCCCCC,50S_L22_A103V,#125699,None,#CCCCCC
R2-Cj-C-68,Others,#7F7F7F,Chicken_stool,#0E8F8F,None,#CCCCCC,None,#CCCCCC,50S_L22_A103V,#125699,None,#CCCCCC
HP12631,Others,#7F7F7F,Human,#FF0000,None,#CCCCCC,None,#CCCCCC,50S_L22_A103V,#125699,None,#CCCCCC
HP12175,Others,#7F7F7F,Human,#FF0000,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
R2-Cj-C-88,Others,#7F7F7F,Chicken_stool,#0E8F8F,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
HP12150,Others,#7F7F7F,Human,#FF0000,None,#CCCCCC,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
30-CJ-C-39-1-1-19,,,Chicken_stool,#0E8F8F,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
HP12547,Others,#7F7F7F,Human,#FF0000,tet(O)*,#67991C,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
HP12163,Others,#7F7F7F,Human,#FF0000,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
HP12161,Others,#7F7F7F,Human,#FF0000,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
HP12513,,,Human,#FF0000,tet(O),#67991C,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
HP12526,Others,#7F7F7F,Human,#FF0000,tet(O)*,#67991C,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
R2-Cj-C-32,Others,#7F7F7F,Chicken_stool,#0E8F8F,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
R1-Cj-C-18,Others,#7F7F7F,Chicken_stool,#0E8F8F,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
R2-Cj-C-17,Others,#7F7F7F,Chicken_stool,#0E8F8F,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
30-CJ-C-141-1-1-74,Others,#7F7F7F,Chicken_stool,#0E8F8F,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
HP12494,Others,#7F7F7F,Human,#FF0000,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
HP12649,Others,#7F7F7F,Human,#FF0000,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
SC23,,,Chicken_meat,#00FF00,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,rpsL_K43R,#0000ff
SC56,,,Chicken_meat,#00FF00,None,#CCCCCC,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
SC37,,,Chicken_meat,#00FF00,None,#CCCCCC,gyrA_T86I,#916523,None,#CCCCCC,None,#CCCCCC
