strainID,species,dataset,year,major_serovar,host_3categories
30-CJ-C-73-1-1-42,C. jejuni,NVAL_Cj_H30,2018,ST-443 complex,Animal
30-CJ-C-67-1-1-38,C. jejuni,NVAL_Cj_H30,2018,ST-443 complex,Animal
HP12229,C. jejuni,TMIPH_Cj_R3,2018,ST-443 complex,Human
HP12192,C. jejuni,TMIPH_Cj_R3,2018,ST-443 complex,Human
30-CJ-C-20-1-1-10,C. jejuni,NVAL_Cj_H30,2018,ST-443 complex,Animal
HP12207,C. jejuni,TMIPH_Cj_R3,2018,ST-443 complex,Human
HP12196,C. jejuni,TMIPH_Cj_R3,2018,ST-443 complex,Human
HP12534,C. jejuni,TMIPH_Cj_R3,2021,ST-443 complex,Human
R1-Cj-C-59,C. jejuni,NVAL_Cj_R1R2,2019,ST-443 complex,Animal
R1-Cj-C-61,C. jejuni,NVAL_Cj_R1R2,2019,ST-443 complex,Animal
HP12502,C. jejuni,TMIPH_Cj_R3,2021,ST-443 complex,Human
30-CJ-C-18-2-1-8,C. jejuni,NVAL_Cj_H30,2018,ST-443 complex,Animal
30-CJ-C-57-1-1-32,C. jejuni,NVAL_Cj_H30,2018,ST-443 complex,Animal
R1-Cj-C-57,C. jejuni,NVAL_Cj_R1R2,2019,ST-443 complex,Animal
R2-Cj-C-70,C. jejuni,NVAL_Cj_R1R2,2020,ST-443 complex,Animal
HP12598,C. jejuni,TMIPH_Cj_R4-5,2023,,Human
SC1,C. jejuni,NIHS_Cj_R5,2024,,Food
30-CJ-C-53-1-1-26,C. jejuni,NVAL_Cj_H30,2018,ST-443 complex,Animal
R1-Cj-C-42,C. jejuni,NVAL_Cj_R1R2,2019,ST-574 complex,Animal
R2-Cj-C-92,C. jejuni,NVAL_Cj_R1R2,2020,ST-574 complex,Animal
HP12210,C. jejuni,TMIPH_Cj_R3,2018,ST-460 complex,Human
SC25,C. jejuni,NIHS_Cj_R5,2024,ST-460 complex,Food
30-CJ-C-58-2-1-34,C. jejuni,NVAL_Cj_H30,2018,ST-460 complex,Animal
HP12168,C. jejuni,TMIPH_Cj_R3,2018,ST-460 complex,Human
SC24,C. jejuni,NIHS_Cj_R5,2024,ST-460 complex,Food
R2-Cj-C-68,C. jejuni,NVAL_Cj_R1R2,2020,ST-460 complex,Animal
HP12631,C. jejuni,TMIPH_Cj_R4-5,2023,ST-460 complex,Human
HP12175,C. jejuni,TMIPH_Cj_R3,2018,ST-354 complex,Human
R2-Cj-C-88,C. jejuni,NVAL_Cj_R1R2,2020,ST-354 complex,Animal
HP12150,C. jejuni,TMIPH_Cj_R3,2018,ST-354 complex,Human
30-CJ-C-39-1-1-19,C. jejuni,NVAL_Cj_H30,2018,,Animal
HP12547,C. jejuni,TMIPH_Cj_R4-5,2022,ST-354 complex,Human
HP12163,C. jejuni,TMIPH_Cj_R3,2018,ST-354 complex,Human
HP12161,C. jejuni,TMIPH_Cj_R3,2018,ST-354 complex,Human
HP12513,C. jejuni,TMIPH_Cj_R3,2021,,Human
HP12526,C. jejuni,TMIPH_Cj_R3,2021,ST-354 complex,Human
R2-Cj-C-32,C. jejuni,NVAL_Cj_R1R2,2020,ST-354 complex,Animal
R1-Cj-C-18,C. jejuni,NVAL_Cj_R1R2,2019,ST-354 complex,Animal
R2-Cj-C-17,C. jejuni,NVAL_Cj_R1R2,2020,ST-354 complex,Animal
30-CJ-C-141-1-1-74,C. jejuni,NVAL_Cj_H30,2018,ST-354 complex,Animal
HP12494,C. jejuni,TMIPH_Cj_R3,2021,ST-354 complex,Human
HP12649,C. jejuni,TMIPH_Cj_R4-5,2023,ST-354 complex,Human
SC23,C. jejuni,NIHS_Cj_R5,2024,,Food
SC56,C. jejuni,NIHS_Cj_R5,2024,,Food
SC37,C. jejuni,NIHS_Cj_R5,2024,,Food
30-CJ-C-83-1-1-49,C. jejuni,NVAL_Cj_H30,2018,ST-354 complex,Animal
R2-Cj-C-37,C. jejuni,NVAL_Cj_R1R2,2020,,Animal
HP12241,C. jejuni,TMIPH_Cj_R3,2018,ST2328,Human
HP12507,C. jejuni,TMIPH_Cj_R3,2021,ST-353 complex,Human
C-2-1-1-86,C. jejuni,NVAL_Cj_R3,2021,ST-353 complex,Animal
HP12567,C. jejuni,TMIPH_Cj_R4-5,2022,ST-353 complex,Human
HP12174,C. jejuni,TMIPH_Cj_R3,2018,ST-353 complex,Human
HP12602,C. jejuni,TMIPH_Cj_R4-5,2023,,Human
HP12604,C. jejuni,TMIPH_Cj_R4-5,2023,,Human
SC7,C. jejuni,NIHS_Cj_R5,2024,,Food
30-CJ-C-70-2-1-41,C. jejuni,NVAL_Cj_H30,2018,,Animal
HP12214,C. jejuni,TMIPH_Cj_R3,2018,ST-353 complex,Human
HP12543,C. jejuni,TMIPH_Cj_R4-5,2022,ST-464 complex,Human
SC48,C. jejuni,NIHS_Cj_R5,2024,ST-607 complex,Food
30-CJ-C-121-2-1-65,C. jejuni,NVAL_Cj_H30,2018,ST-607 complex,Animal
HP12514,C. jejuni,TMIPH_Cj_R3,2021,ST-607 complex,Human
SC5,C. jejuni,NIHS_Cj_R5,2024,ST-52 complex,Food
SC31,C. jejuni,NIHS_Cj_R5,2024,ST-52 complex,Food
SC21,C. jejuni,NIHS_Cj_R5,2024,ST-52 complex,Food
HP12195,C. jejuni,TMIPH_Cj_R3,2018,ST-464 complex,Human
HP12541,C. jejuni,TMIPH_Cj_R3,2021,ST-464 complex,Human
R2-Cj-C-27,C. jejuni,NVAL_Cj_R1R2,2020,ST-464 complex,Animal
HP12193,C. jejuni,TMIPH_Cj_R3,2018,ST-464 complex,Human
R2-Cj-C-78,C. jejuni,NVAL_Cj_R1R2,2020,ST-464 complex,Animal
HP12194,C. jejuni,TMIPH_Cj_R3,2018,ST-464 complex,Human
30-CJ-C-79-1-1-47,C. jejuni,NVAL_Cj_H30,2018,ST-464 complex,Animal
R2-Cj-C-86,C. jejuni,NVAL_Cj_R1R2,2020,ST-464 complex,Animal
C-5-1-1-100,C. jejuni,NVAL_Cj_R3,2021,ST5720,Animal
C-1-2-1-94,C. jejuni,NVAL_Cj_R3,2021,ST5720,Animal
C-2-1-1-95,C. jejuni,NVAL_Cj_R3,2021,ST5720,Animal
HP12208,C. jejuni,TMIPH_Cj_R3,2018,ST-607 complex,Human
HP12144,C. jejuni,TMIPH_Cj_R3,2018,ST4258,Human
SC6,C. jejuni,NIHS_Cj_R5,2024,ST11195,Food
HP12191,C. jejuni,TMIPH_Cj_R3,2018,,Human
HP12189,C. jejuni,TMIPH_Cj_R3,2018,,Human
30-CJ-C-44-1-1-24,C. jejuni,NVAL_Cj_H30,2018,ST-574 complex,Animal
30-CJ-C-42-2-1-23,C. jejuni,NVAL_Cj_H30,2018,ST-574 complex,Animal
HP12638,C. jejuni,TMIPH_Cj_R4-5,2023,ST-353 complex,Human
HP12244,C. jejuni,TMIPH_Cj_R3,2018,ST10448,Human
HP12152,C. jejuni,TMIPH_Cj_R3,2018,ST-574 complex,Human
HP12497,C. jejuni,TMIPH_Cj_R3,2021,ST-52 complex,Human
HP12213,C. jejuni,TMIPH_Cj_R3,2018,ST-607 complex,Human
SC27,C. jejuni,NIHS_Cj_R5,2024,ST-607 complex,Food
HP12164,C. jejuni,TMIPH_Cj_R3,2018,ST-607 complex,Human
R2-Cj-C-65,C. jejuni,NVAL_Cj_R1R2,2020,ST-607 complex,Animal
R1-Cj-C-46,C. jejuni,NVAL_Cj_R1R2,2019,ST-607 complex,Animal
R2-Cj-C-23,C. jejuni,NVAL_Cj_R1R2,2020,ST8071,Animal
SC39,C. jejuni,NIHS_Cj_R5,2024,ST-353 complex,Food
SC33,C. jejuni,NIHS_Cj_R5,2024,ST-353 complex,Food
HP12614,C. jejuni,TMIPH_Cj_R4-5,2023,ST-353 complex,Human
HP12504,C. jejuni,TMIPH_Cj_R3,2021,ST-257 complex,Human
HP12224,C. jejuni,TMIPH_Cj_R3,2018,ST-257 complex,Human
HP12199,C. jejuni,TMIPH_Cj_R3,2018,ST-257 complex,Human
R1-Cj-C-40,C. jejuni,NVAL_Cj_R1R2,2019,ST-257 complex,Animal
R1-Cj-B-104,C. jejuni,NVAL_Cj_R1R2,2019,ST-257 complex,Animal
R2-Cj-B-94,C. jejuni,NVAL_Cj_R1R2,2020,ST-257 complex,Animal
R1-Cj-B-9,C. jejuni,NVAL_Cj_R1R2,2019,ST-257 complex,Animal
HP12613,C. jejuni,TMIPH_Cj_R4-5,2023,ST-257 complex,Human
R2-Cj-B-61,C. jejuni,NVAL_Cj_R1R2,2020,ST-21 complex,Animal
R2-Cj-B-92,C. jejuni,NVAL_Cj_R1R2,2020,ST-21 complex,Animal
R2-Cj-B-42,C. jejuni,NVAL_Cj_R1R2,2020,ST-21 complex,Animal
30-CJ-B-99-1-11,C. jejuni,NVAL_Cj_H30,2018,ST-21 complex,Animal
R2-Cj-B-14,C. jejuni,NVAL_Cj_R1R2,2020,ST-21 complex,Animal
R1-Cj-B-79,C. jejuni,NVAL_Cj_R1R2,2019,ST-21 complex,Animal
30-CJ-B-203-1-36,C. jejuni,NVAL_Cj_H30,2018,ST-21 complex,Animal
R2-Cj-B-11,C. jejuni,NVAL_Cj_R1R2,2020,ST-21 complex,Animal
HP12599,C. jejuni,TMIPH_Cj_R4-5,2023,,Human
30-CJ-B-63-1-4,C. jejuni,NVAL_Cj_H30,2018,ST-21 complex,Animal
R2-Cj-B-103,C. jejuni,NVAL_Cj_R1R2,2020,ST-21 complex,Animal
R1-Cj-C-36,C. jejuni,NVAL_Cj_R1R2,2019,ST-21 complex,Animal
R1-Cj-B-125,C. jejuni,NVAL_Cj_R1R2,2019,ST-21 complex,Animal
R2-Cj-B-27,C. jejuni,NVAL_Cj_R1R2,2020,ST-21 complex,Animal
R2-Cj-C-44,C. jejuni,NVAL_Cj_R1R2,2020,ST-21 complex,Animal
HP12623,C. jejuni,TMIPH_Cj_R4-5,2023,ST-21 complex,Human
R2-Cj-B-101,C. jejuni,NVAL_Cj_R1R2,2020,ST-21 complex,Animal
R2-Cj-B-17,C. jejuni,NVAL_Cj_R1R2,2020,ST-21 complex,Animal
R2-Cj-B-97,C. jejuni,NVAL_Cj_R1R2,2020,ST-21 complex,Animal
R2-Cj-B-83,C. jejuni,NVAL_Cj_R1R2,2020,ST-21 complex,Animal
HP12523,C. jejuni,TMIPH_Cj_R3,2021,ST-21 complex,Human
R1-Cj-B-101,C. jejuni,NVAL_Cj_R1R2,2019,ST-21 complex,Animal
R2-Cj-B-91,C. jejuni,NVAL_Cj_R1R2,2020,ST-21 complex,Animal
R2-Cj-B-40,C. jejuni,NVAL_Cj_R1R2,2020,ST-21 complex,Animal
R1-Cj-B-4,C. jejuni,NVAL_Cj_R1R2,2019,ST-21 complex,Animal
B-1-1-99,C. jejuni,NVAL_Cj_R3,2021,,Animal
R2-Cj-B-71,C. jejuni,NVAL_Cj_R1R2,2020,ST-21 complex,Animal
R2-Cj-B-68,C. jejuni,NVAL_Cj_R1R2,2020,ST-21 complex,Animal
R1-Cj-B-88,C. jejuni,NVAL_Cj_R1R2,2019,ST-21 complex,Animal
HP12636,C. jejuni,TMIPH_Cj_R4-5,2023,,Human
R1-Cj-B-65,C. jejuni,NVAL_Cj_R1R2,2019,ST-21 complex,Animal
B-1-1-45,C. jejuni,NVAL_Cj_R3,2021,ST-21 complex,Animal
R2-Cj-B-38,C. jejuni,NVAL_Cj_R1R2,2020,ST-21 complex,Animal
R1-Cj-B-38,C. jejuni,NVAL_Cj_R1R2,2019,ST-21 complex,Animal
R2-Cj-B-100,C. jejuni,NVAL_Cj_R1R2,2020,ST-21 complex,Animal
R2-Cj-B-59,C. jejuni,NVAL_Cj_R1R2,2020,ST-21 complex,Animal
R2-Cj-B-89,C. jejuni,NVAL_Cj_R1R2,2020,ST-21 complex,Animal
R1-Cj-B-99,C. jejuni,NVAL_Cj_R1R2,2019,ST-21 complex,Animal
R1-Cj-B-67,C. jejuni,NVAL_Cj_R1R2,2019,ST-21 complex,Animal
R1-Cj-B-68,C. jejuni,NVAL_Cj_R1R2,2019,ST-21 complex,Animal
R1-Cj-C-29,C. jejuni,NVAL_Cj_R1R2,2019,ST-21 complex,Animal
R2-Cj-B-90,C. jejuni,NVAL_Cj_R1R2,2020,ST-21 complex,Animal
R1-Cj-B-97,C. jejuni,NVAL_Cj_R1R2,2019,ST-21 complex,Animal
R2-Cj-B-22,C. jejuni,NVAL_Cj_R1R2,2020,ST-21 complex,Animal
R1-Cj-B-103,C. jejuni,NVAL_Cj_R1R2,2019,ST-21 complex,Animal
R2-Cj-B-82,C. jejuni,NVAL_Cj_R1R2,2020,ST-21 complex,Animal
30-CJ-B-202-1-35,C. jejuni,NVAL_Cj_H30,2018,ST-21 complex,Animal
R2-Cj-C-46,C. jejuni,NVAL_Cj_R1R2,2020,ST-21 complex,Animal
R1-Cj-B-49,C. jejuni,NVAL_Cj_R1R2,2019,ST-21 complex,Animal
R1-Cj-B-48,C. jejuni,NVAL_Cj_R1R2,2019,ST-21 complex,Animal
R2-Cj-B-52,C. jejuni,NVAL_Cj_R1R2,2020,ST-21 complex,Animal
HP12592,C. jejuni,TMIPH_Cj_R4-5,2022,ST-21 complex,Human
B-43-1-87,C. jejuni,NVAL_Cj_R3,2021,ST-21 complex,Animal
R1-Cj-B-41,C. jejuni,NVAL_Cj_R1R2,2019,ST-21 complex,Animal
R2-Cj-B-70,C. jejuni,NVAL_Cj_R1R2,2020,ST-21 complex,Animal
R2-Cj-B-53,C. jejuni,NVAL_Cj_R1R2,2020,ST-21 complex,Animal
HP12552,C. jejuni,TMIPH_Cj_R4-5,2022,ST-21 complex,Human
R2-Cj-B-44,C. jejuni,NVAL_Cj_R1R2,2020,ST-21 complex,Animal
R2-Cj-B-85,C. jejuni,NVAL_Cj_R1R2,2020,ST-21 complex,Animal
B-32-1-76,C. jejuni,NVAL_Cj_R3,2021,ST-21 complex,Animal
R1-Cj-B-105,C. jejuni,NVAL_Cj_R1R2,2019,ST-21 complex,Animal
HP12158,C. jejuni,TMIPH_Cj_R3,2018,ST-21 complex,Human
HP12236,C. jejuni,TMIPH_Cj_R3,2018,ST-61 complex,Human
HP12655,C. jejuni,TMIPH_Cj_R4-5,2023,ST-61 complex,Human
R1-Cj-B-53,C. jejuni,NVAL_Cj_R1R2,2019,ST-61 complex,Animal
R2-Cj-C-90,C. jejuni,NVAL_Cj_R1R2,2020,ST-61 complex,Animal
SC41,C. jejuni,NIHS_Cj_R5,2024,ST-61 complex,Food
R1-Cj-B-78,C. jejuni,NVAL_Cj_R1R2,2019,ST-61 complex,Animal
R1-Cj-B-10,C. jejuni,NVAL_Cj_R1R2,2019,ST-61 complex,Animal
R2-Cj-B-65,C. jejuni,NVAL_Cj_R1R2,2020,ST-61 complex,Animal
B-43-1-43,C. jejuni,NVAL_Cj_R3,2021,ST-61 complex,Animal
HP12216,C. jejuni,TMIPH_Cj_R3,2018,ST-61 complex,Human
HP12215,C. jejuni,TMIPH_Cj_R3,2018,ST-61 complex,Human
R2-Cj-B-32,C. jejuni,NVAL_Cj_R1R2,2020,ST-61 complex,Animal
R2-Cj-B-51,C. jejuni,NVAL_Cj_R1R2,2020,ST-61 complex,Animal
R1-Cj-B-62,C. jejuni,NVAL_Cj_R1R2,2019,ST-61 complex,Animal
B-29-1-29,C. jejuni,NVAL_Cj_R3,2021,ST-61 complex,Animal
R2-Cj-B-25,C. jejuni,NVAL_Cj_R1R2,2020,ST-61 complex,Animal
R2-Cj-B-18,C. jejuni,NVAL_Cj_R1R2,2020,ST-61 complex,Animal
R1-Cj-B-50,C. jejuni,NVAL_Cj_R1R2,2019,ST-61 complex,Animal
30-CJ-B-204-1-37,C. jejuni,NVAL_Cj_H30,2018,ST-61 complex,Animal
R2-Cj-B-116,C. jejuni,NVAL_Cj_R1R2,2020,ST-61 complex,Animal
HP12248,C. jejuni,TMIPH_Cj_R3,2018,ST-61 complex,Human
R1-Cj-B-57,C. jejuni,NVAL_Cj_R1R2,2019,ST-61 complex,Animal
R2-Cj-B-1,C. jejuni,NVAL_Cj_R1R2,2020,ST-61 complex,Animal
R2-Cj-B-77,C. jejuni,NVAL_Cj_R1R2,2020,ST-61 complex,Animal
R2-Cj-B-15,C. jejuni,NVAL_Cj_R1R2,2020,ST-21 complex,Animal
R2-Cj-B-96,C. jejuni,NVAL_Cj_R1R2,2020,ST-21 complex,Animal
R1-Cj-B-59,C. jejuni,NVAL_Cj_R1R2,2019,ST-21 complex,Animal
R2-Cj-B-29,C. jejuni,NVAL_Cj_R1R2,2020,ST-21 complex,Animal
R1-Cj-B-116,C. jejuni,NVAL_Cj_R1R2,2019,ST-21 complex,Animal
R2-Cj-B-98,C. jejuni,NVAL_Cj_R1R2,2020,ST-21 complex,Animal
R1-Cj-B-74,C. jejuni,NVAL_Cj_R1R2,2019,ST-21 complex,Animal
R1-Cj-B-54,C. jejuni,NVAL_Cj_R1R2,2019,ST-21 complex,Animal
C-10-1-1-109,C. jejuni,NVAL_Cj_R3,2021,ST-21 complex,Animal
30-CJ-C-55-1-1-28,C. jejuni,NVAL_Cj_H30,2018,ST-21 complex,Animal
30-CJ-B-208-1-40,C. jejuni,NVAL_Cj_H30,2018,ST-21 complex,Animal
R1-Cj-C-32,C. jejuni,NVAL_Cj_R1R2,2019,ST-21 complex,Animal
R2-Cj-C-38,C. jejuni,NVAL_Cj_R1R2,2020,ST-21 complex,Animal
HP12225,C. jejuni,TMIPH_Cj_R3,2018,ST-21 complex,Human
HP12533,C. jejuni,TMIPH_Cj_R3,2021,ST-21 complex,Human
HP12515,C. jejuni,TMIPH_Cj_R3,2021,ST-21 complex,Human
HP12528,C. jejuni,TMIPH_Cj_R3,2021,ST-21 complex,Human
30-CJ-B-233-1-45,C. jejuni,NVAL_Cj_H30,2018,ST-21 complex,Animal
30-CJ-B-163-1-24,C. jejuni,NVAL_Cj_H30,2018,ST-21 complex,Animal
R2-Cj-B-31,C. jejuni,NVAL_Cj_R1R2,2020,ST-21 complex,Animal
R2-Cj-B-19,C. jejuni,NVAL_Cj_R1R2,2020,ST-21 complex,Animal
R1-Cj-B-3,C. jejuni,NVAL_Cj_R1R2,2019,ST-21 complex,Animal
R1-Cj-B-13,C. jejuni,NVAL_Cj_R1R2,2019,ST-21 complex,Animal
R1-Cj-B-1,C. jejuni,NVAL_Cj_R1R2,2019,ST-21 complex,Animal
R1-Cj-B-72,C. jejuni,NVAL_Cj_R1R2,2019,ST-21 complex,Animal
R2-Cj-B-79,C. jejuni,NVAL_Cj_R1R2,2020,ST-21 complex,Animal
R1-Cj-B-17,C. jejuni,NVAL_Cj_R1R2,2019,ST-21 complex,Animal
R2-Cj-C-40,C. jejuni,NVAL_Cj_R1R2,2020,ST-21 complex,Animal
R1-Cj-C-34,C. jejuni,NVAL_Cj_R1R2,2019,ST-21 complex,Animal
R2-Cj-B-33,C. jejuni,NVAL_Cj_R1R2,2020,ST-21 complex,Animal
SC13,C. jejuni,NIHS_Cj_R5,2024,ST-21 complex,Food
R1-Cj-B-95,C. jejuni,NVAL_Cj_R1R2,2019,ST-21 complex,Animal
R2-Cj-B-24,C. jejuni,NVAL_Cj_R1R2,2020,ST-21 complex,Animal
R1-Cj-B-109,C. jejuni,NVAL_Cj_R1R2,2019,ST-21 complex,Animal
R1-Cj-B-90,C. jejuni,NVAL_Cj_R1R2,2019,ST-21 complex,Animal
HP12646,C. jejuni,TMIPH_Cj_R4-5,2023,ST-21 complex,Human
SC46,C. jejuni,NIHS_Cj_R5,2024,ST-21 complex,Food
R2-Cj-B-80,C. jejuni,NVAL_Cj_R1R2,2020,ST-21 complex,Animal
R2-Cj-C-42,C. jejuni,NVAL_Cj_R1R2,2020,ST-21 complex,Animal
R2-Cj-B-28,C. jejuni,NVAL_Cj_R1R2,2020,ST-21 complex,Animal
R2-Cj-B-72,C. jejuni,NVAL_Cj_R1R2,2020,ST-21 complex,Animal
R1-Cj-B-63,C. jejuni,NVAL_Cj_R1R2,2019,ST-21 complex,Animal
30-CJ-B-243-1-49,C. jejuni,NVAL_Cj_H30,2018,ST-21 complex,Animal
R1-Cj-B-80,C. jejuni,NVAL_Cj_R1R2,2019,ST-21 complex,Animal
HP12545,C. jejuni,TMIPH_Cj_R4-5,2022,ST-21 complex,Human
R2-Cj-B-78,C. jejuni,NVAL_Cj_R1R2,2020,ST-21 complex,Animal
HP12589,C. jejuni,TMIPH_Cj_R4-5,2022,ST-21 complex,Human
R2-Cj-B-76,C. jejuni,NVAL_Cj_R1R2,2020,ST-21 complex,Animal
R1-Cj-B-36,C. jejuni,NVAL_Cj_R1R2,2019,ST-21 complex,Animal
R2-Cj-B-95,C. jejuni,NVAL_Cj_R1R2,2020,ST-21 complex,Animal
R1-Cj-B-102,C. jejuni,NVAL_Cj_R1R2,2019,ST-21 complex,Animal
R1-Cj-B-61,C. jejuni,NVAL_Cj_R1R2,2019,ST-21 complex,Animal
R1-Cj-B-14,C. jejuni,NVAL_Cj_R1R2,2019,ST-21 complex,Animal
R1-Cj-B-43,C. jejuni,NVAL_Cj_R1R2,2019,ST-21 complex,Animal
