indID	cadF__Cj1478c	cdtA__Cj0079c	cdtB__Cj0078c	cdtC__Cj0077c	CFF8240_RS02270	CFF8240_RS02400	ciaB__Cj0914c	Cj0063c	Cj0883c	Cj0887c	Cj0983	Cj1318	Cj1334	Cj1340c	Cj1341c	CJJ81176_RS08620	CJJ81176_RS08625	CJJ81176_RS08630	CJJ81176_RS08650	CJJ81176_RS08855	flaA__Cj1339c	flaB__Cj1338c	flaC__Cj0720c	flaG__Cj0547	flgB__Cj0528c	flgC__Cj0527c	flgD__Cj0042	flgE__Cj0043	flgE__Cj1729c	flgG2__Cj0697	flgG__Cj0698	flgH__Cj0687c	flgI__Cj1462	flgK__Cj1466	flgR__Cj1024c	flhA__Cj0882c	flhB__Cj0335	flhF__Cj0064c	fliA__Cj0061c	fliD__Cj0548	fliE__Cj0526c	fliF__Cj0318	fliG__Cj0319	fliH__Cj0320	fliI__Cj0195	fliK__Cj0041	fliL__Cj1408	fliM__Cj0060c	fliN__Cj0351	fliP__Cj0820c	fliQ__Cj1675	fliR__Cj1179c	fliS__Cj0549	fliY__Cj0059c	kpsS__Cj1413c	motA__Cj0337c	motB__Cj0336c	neuB2__Cj1327	neuC2__Cj1328	peb1A__Cj0921c	pflA__Cj1565c	pglA__Cj1125c	pglB__Cj1126c	pglC__Cj1124c	pglD__Cj1123c	pglE__Cj1121c	pglF__Cj1120c	pglG__Cj1119c	pglH__Cj1129c	pglI__Cj1128c	pglJ__Cj1127c	porA__Cj1259	pseA__Cj1316c	pseB__Cj1293	pseC__Cj1294	pseD__Cj1333	pseE__Cj1337	pseF__Cj1311	pseG__Cj1312	pseH__Cj1313	pseI__Cj1317	ptmA__Cj1332	ptmB__Cj1331	waaC__Cj1133
30-CC-P-100-1-24	1	0	0	0	0	0	1	1	1	1	0	1	1	1	0	0	0	0	0	0	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	0	1	1	1	0	1	0	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1
30-CC-P-101-1-25	1	0	0	0	0	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	0	1	1	1	0	1	0	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1
30-CC-P-102-1-26	1	0	0	0	0	0	1	1	1	1	0	1	1	1	1	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	0	1	1	1	0	1	0	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1
30-CC-P-103-1-27	1	0	0	0	0	0	1	1	1	1	0	1	1	0	1	0	0	0	0	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	0	1	0	1	1	1	1	0	0	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1
30-CC-P-104-1-28	1	0	0	0	0	0	1	1	1	1	0	1	1	1	1	0	0	0	0	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	0	1	1	1	0	1	0	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1
30-CC-P-109-1-32	1	0	0	0	0	0	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	0	1	0	1	0	1	1	1	1	0	0	1	1	0	1	1	1	0	0	1	1	1	1	0	0	1
30-CC-P-110-1-33	1	0	0	0	0	0	1	1	1	1	0	1	1	1	0	0	0	1	0	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	0	1	0	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1
30-CC-P-113-1-34	1	0	0	0	0	0	1	1	1	1	0	1	1	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	0	1	0	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1
30-CC-P-114-1-35	1	0	0	0	0	0	1	1	1	1	0	0	1	1	1	0	0	0	0	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	0	1	0	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1
30-CC-P-34-1-1	1	0	0	0	0	0	1	1	1	1	0	1	1	1	1	0	0	0	0	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	0	1	1	1	0	1	0	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1
