strainID,Source,Source:color,Species,Species:colour,MLST_Efm,MLST_Efm:color,MLST_Efc,MLST_Efc:colour,CC17,van,van:color
35010-19-V001,human,#FF0000,Enterococcus gallinarum,#FDBF6C,,,,,,vanC,#A52A2A
AA-835,food,#00FF00,Enterococcus faecium,#5E4FA2,669,#ffca80,,,,vanN,
AA-629,food,#00FF00,Enterococcus faecium,#5E4FA2,669,#ffca80,,,,vanN,
AA-631,food,#00FF00,Enterococcus faecium,#5E4FA2,669,#ffca80,,,,vanN,
AA-912,food,#00FF00,Enterococcus faecium,#5E4FA2,669,#ffca80,,,,vanN,
AA-838,food,#00FF00,Enterococcus faecium,#5E4FA2,669,#ffca80,,,,vanN,
AA-633,food,#00FF00,Enterococcus faecium,#5E4FA2,669,#ffca80,,,,vanN,
AA-599,food,#00FF00,Enterococcus faecium,#5E4FA2,8,#990099,,,,,
AA-703,food,#00FF00,Enterococcus faecium,#5E4FA2,157,#77d9a8,,,,,
AA-864,food,#00FF00,Enterococcus faecium,#5E4FA2,,,,,,,
AA-636,food,#00FF00,Enterococcus faecium,#5E4FA2,,,,,,vanA,#FF8C00
AA-635,food,#00FF00,Enterococcus faecium,#5E4FA2,,,,,,vanA,#FF8C00
AA-637,food,#00FF00,Enterococcus faecium,#5E4FA2,,,,,,vanA,#FF8C00
34016-19-V001,human,#FF0000,Enterococcus faecium,#5E4FA2,547,#ffff80,,,CC17,vanB,#FF00FF
21009-19-V001,human,#FF0000,Enterococcus faecium,#5E4FA2,17,#c9ace6,,,CC17,vanA,#FF8C00
30001-19-V002,human,#FF0000,Enterococcus faecium,#5E4FA2,1421,#ffcabf,,,CC17,vanA,#FF8C00
30001-19-V001,human,#FF0000,Enterococcus faecium,#5E4FA2,1421,#ffcabf,,,CC17,vanA,#FF8C00
30001-19-V003,human,#FF0000,Enterococcus faecium,#5E4FA2,1421,#ffcabf,,,CC17,vanA,#FF8C00
30001-19-V004,human,#FF0000,Enterococcus faecium,#5E4FA2,1421,#ffcabf,,,CC17,vanA,#FF8C00
30001-19-V005,human,#FF0000,Enterococcus faecium,#5E4FA2,1421,#ffcabf,,,CC17,vanA,#FF8C00
26006-19-V001,human,#FF0000,Enterococcus faecium,#5E4FA2,18,#bfe4ff,,,CC17,vanB,#FF00FF
43001-19-V001,human,#FF0000,Enterococcus faecium,#5E4FA2,78,#4dc4ff,,,CC17,vanB,#FF00FF
43001-19-V002,human,#FF0000,Enterococcus faecium,#5E4FA2,78,#4dc4ff,,,CC17,vanB,#FF00FF
06003-19-V009,human,#FF0000,Enterococcus faecium,#5E4FA2,1421,#ffcabf,,,CC17,vanA,#FF8C00
06003-19-V001,human,#FF0000,Enterococcus faecium,#5E4FA2,1421,#ffcabf,,,CC17,vanA,#FF8C00
06003-19-V008,human,#FF0000,Enterococcus faecium,#5E4FA2,1421,#ffcabf,,,CC17,vanA,#FF8C00
06003-19-V006,human,#FF0000,Enterococcus faecium,#5E4FA2,363,#03af7a,,,CC17,vanA,#FF8C00
06003-19-V007,human,#FF0000,Enterococcus faecium,#5E4FA2,363,#03af7a,,,CC17,vanA,#FF8C00
06003-19-V003,human,#FF0000,Enterococcus faecium,#5E4FA2,363,#03af7a,,,CC17,vanA,#FF8C00
06003-19-V005,human,#FF0000,Enterococcus faecium,#5E4FA2,363,#03af7a,,,CC17,vanA,#FF8C00
06003-19-V004,human,#FF0000,Enterococcus faecium,#5E4FA2,363,#03af7a,,,CC17,vanA,#FF8C00
