pair_type	I1	I2	dist
human_vs_food	1711231	2012033	28453
human_vs_food	1711231	2012038	28685
human_vs_food	1711386	2012033	27756
human_vs_food	1711386	2012038	162
human_vs_food	1711387	2012033	27754
human_vs_food	1711387	2012038	166
human_vs_food	1711388	2012033	27753
human_vs_food	1711388	2012038	165
human_vs_food	1711389	2012033	141
human_vs_food	1711389	2012038	27757
human_vs_food	1711392	2012033	27756
human_vs_food	1711392	2012038	168
human_vs_food	1711393	2012033	27753
human_vs_food	1711393	2012038	165
human_vs_food	1711395	2012033	139
human_vs_food	1711395	2012038	27755
human_vs_food	1711396	2012033	55
human_vs_food	1711396	2012038	27768
human_vs_food	1711401	2012033	179
human_vs_food	1711401	2012038	27749
human_vs_food	1711402	2012033	179
human_vs_food	1711402	2012038	27749
human_vs_food	1711403	2012033	27756
human_vs_food	1711403	2012038	162
human_vs_food	1711405	2012033	181
human_vs_food	1711405	2012038	27751
human_vs_food	1711406	2012033	27765
human_vs_food	1711406	2012038	252
human_vs_food	1811147	2012033	74
human_vs_food	1811147	2012038	27617
human_vs_food	1811166	2012033	27761
human_vs_food	1811166	2012038	171
human_vs_food	1811167	2012033	27758
human_vs_food	1811167	2012038	41
human_vs_food	1811168	2012033	53
human_vs_food	1811168	2012038	27774
human_vs_food	1811169	2012033	26
human_vs_food	1811169	2012038	27770
human_vs_food	1811170	2012033	140
human_vs_food	1811170	2012038	27756
human_vs_food	1811300	2012033	27718
human_vs_food	1811300	2012038	171
human_vs_food	1811309	2012033	27760
human_vs_food	1811309	2012038	168
human_vs_food	1811310	2012033	29
human_vs_food	1811310	2012038	27774
human_vs_food	1811311	2012033	180
human_vs_food	1811311	2012038	27750
human_vs_food	1811313	2012033	25
human_vs_food	1811313	2012038	27770
human_vs_food	1811314	2012033	24
human_vs_food	1811314	2012038	27769
human_vs_food	1911210	2012033	21
human_vs_food	1911210	2012038	27763
human_vs_food	1911223	2012033	22
human_vs_food	1911223	2012038	27767
human_vs_food	1911236	2012033	25
human_vs_food	1911236	2012038	27770
human_vs_food	1911238	2012033	27748
human_vs_food	1911238	2012038	100
human_vs_food	2011143	2012033	27755
human_vs_food	2011143	2012038	116
human_vs_food	2011166	2012033	27753
human_vs_food	2011166	2012038	165
human_vs_food	2011172	2012033	148
human_vs_food	2011172	2012038	27764
human_vs_food	2111047	2012033	27744
human_vs_food	2111047	2012038	98
human_vs_food	2111089	2012033	27761
human_vs_food	2111089	2012038	178
human_vs_food	2111093	2012033	27761
human_vs_food	2111093	2012038	166
human_vs_food	2111095	2012033	27732
human_vs_food	2111095	2012038	79
human_vs_food	2111096	2012033	27757
human_vs_food	2111096	2012038	41
human_vs_food	2111130	2012033	27756
human_vs_food	2111130	2012038	168
human_vs_food	2111136	2012033	66
human_vs_food	2111136	2012038	27768
human_vs_food	2111144	2012033	27762
human_vs_food	2111144	2012038	176
human_vs_food	2111145	2012033	27760
human_vs_food	2111145	2012038	115
human_vs_food	2211201	2012033	27740
human_vs_food	2211201	2012038	229
human_vs_food	2211202	2012033	169
human_vs_food	2211202	2012038	27723
human_vs_food	2211203	2012033	27744
human_vs_food	2211203	2012038	33
human_vs_food	2211204	2012033	27759
human_vs_food	2211204	2012038	171
human_vs_food	2211205	2012033	27758
human_vs_food	2211205	2012038	169
human_vs_food	2211206	2012033	27759
human_vs_food	2211206	2012038	171
human_vs_food	2211215	2012033	38
human_vs_food	2211215	2012038	27772
human_vs_food	2211218	2012033	24
human_vs_food	2211218	2012038	27769
human_vs_food	2211220	2012033	27757
human_vs_food	2211220	2012038	167
human_vs_food	2211221	2012033	27687
human_vs_food	2211221	2012038	467
