pair_type	I1	I2	dist
human_vs_animal	1711225	30-Sal-C-112-2-1-138	135
human_vs_animal	1711225	30-Sal-C-125-1-1-154	49
human_vs_animal	1711225	30-Sal-C-135-1-1-169	126
human_vs_animal	1711225	30-Sal-C-80-1-1-95	42987
human_vs_animal	1711225	R2-S-C-82	132
human_vs_animal	1711226	30-Sal-C-112-2-1-138	365
human_vs_animal	1711226	30-Sal-C-125-1-1-154	318
human_vs_animal	1711226	30-Sal-C-135-1-1-169	356
human_vs_animal	1711226	30-Sal-C-80-1-1-95	43387
human_vs_animal	1711226	R2-S-C-82	362
human_vs_animal	1711373	30-Sal-C-112-2-1-138	480
human_vs_animal	1711373	30-Sal-C-125-1-1-154	433
human_vs_animal	1711373	30-Sal-C-135-1-1-169	471
human_vs_animal	1711373	30-Sal-C-80-1-1-95	43428
human_vs_animal	1711373	R2-S-C-82	477
human_vs_animal	1811023	30-Sal-C-112-2-1-138	493
human_vs_animal	1811023	30-Sal-C-125-1-1-154	446
human_vs_animal	1811023	30-Sal-C-135-1-1-169	484
human_vs_animal	1811023	30-Sal-C-80-1-1-95	43429
human_vs_animal	1811023	R2-S-C-82	490
human_vs_animal	1811142	30-Sal-C-112-2-1-138	133
human_vs_animal	1811142	30-Sal-C-125-1-1-154	46
human_vs_animal	1811142	30-Sal-C-135-1-1-169	124
human_vs_animal	1811142	30-Sal-C-80-1-1-95	43336
human_vs_animal	1811142	R2-S-C-82	130
human_vs_animal	1811276	30-Sal-C-112-2-1-138	131
human_vs_animal	1811276	30-Sal-C-125-1-1-154	16
human_vs_animal	1811276	30-Sal-C-135-1-1-169	122
human_vs_animal	1811276	30-Sal-C-80-1-1-95	43346
human_vs_animal	1811276	R2-S-C-82	128
human_vs_animal	1811294	30-Sal-C-112-2-1-138	167
human_vs_animal	1811294	30-Sal-C-125-1-1-154	120
human_vs_animal	1811294	30-Sal-C-135-1-1-169	158
human_vs_animal	1811294	30-Sal-C-80-1-1-95	43322
human_vs_animal	1811294	R2-S-C-82	164
human_vs_animal	1911063	30-Sal-C-112-2-1-138	373
human_vs_animal	1911063	30-Sal-C-125-1-1-154	326
human_vs_animal	1911063	30-Sal-C-135-1-1-169	364
human_vs_animal	1911063	30-Sal-C-80-1-1-95	43398
human_vs_animal	1911063	R2-S-C-82	370
human_vs_animal	1911208	30-Sal-C-112-2-1-138	437
human_vs_animal	1911208	30-Sal-C-125-1-1-154	390
human_vs_animal	1911208	30-Sal-C-135-1-1-169	428
human_vs_animal	1911208	30-Sal-C-80-1-1-95	43340
human_vs_animal	1911208	R2-S-C-82	434
human_vs_animal	1911209	30-Sal-C-112-2-1-138	506
human_vs_animal	1911209	30-Sal-C-125-1-1-154	459
human_vs_animal	1911209	30-Sal-C-135-1-1-169	497
human_vs_animal	1911209	30-Sal-C-80-1-1-95	43449
human_vs_animal	1911209	R2-S-C-82	503
human_vs_animal	1911218	30-Sal-C-112-2-1-138	359
human_vs_animal	1911218	30-Sal-C-125-1-1-154	312
human_vs_animal	1911218	30-Sal-C-135-1-1-169	350
human_vs_animal	1911218	30-Sal-C-80-1-1-95	43381
human_vs_animal	1911218	R2-S-C-82	356
human_vs_animal	1911229	30-Sal-C-112-2-1-138	394
human_vs_animal	1911229	30-Sal-C-125-1-1-154	346
human_vs_animal	1911229	30-Sal-C-135-1-1-169	385
human_vs_animal	1911229	30-Sal-C-80-1-1-95	43355
human_vs_animal	1911229	R2-S-C-82	391
human_vs_animal	2011031	30-Sal-C-112-2-1-138	704
human_vs_animal	2011031	30-Sal-C-125-1-1-154	655
human_vs_animal	2011031	30-Sal-C-135-1-1-169	695
human_vs_animal	2011031	30-Sal-C-80-1-1-95	43632
human_vs_animal	2011031	R2-S-C-82	701
human_vs_animal	2011137	30-Sal-C-112-2-1-138	186
human_vs_animal	2011137	30-Sal-C-125-1-1-154	139
human_vs_animal	2011137	30-Sal-C-135-1-1-169	177
human_vs_animal	2011137	30-Sal-C-80-1-1-95	43345
human_vs_animal	2011137	R2-S-C-82	183
human_vs_animal	2011148	30-Sal-C-112-2-1-138	104
human_vs_animal	2011148	30-Sal-C-125-1-1-154	71
human_vs_animal	2011148	30-Sal-C-135-1-1-169	95
human_vs_animal	2011148	30-Sal-C-80-1-1-95	43334
human_vs_animal	2011148	R2-S-C-82	101
human_vs_animal	2011152	30-Sal-C-112-2-1-138	374
human_vs_animal	2011152	30-Sal-C-125-1-1-154	327
human_vs_animal	2011152	30-Sal-C-135-1-1-169	365
human_vs_animal	2011152	30-Sal-C-80-1-1-95	43392
human_vs_animal	2011152	R2-S-C-82	371
human_vs_animal	2111042	30-Sal-C-112-2-1-138	441
human_vs_animal	2111042	30-Sal-C-125-1-1-154	395
human_vs_animal	2111042	30-Sal-C-135-1-1-169	433
human_vs_animal	2111042	30-Sal-C-80-1-1-95	43398
human_vs_animal	2111042	R2-S-C-82	439
human_vs_animal	2111064	30-Sal-C-112-2-1-138	493
human_vs_animal	2111064	30-Sal-C-125-1-1-154	446
human_vs_animal	2111064	30-Sal-C-135-1-1-169	484
human_vs_animal	2111064	30-Sal-C-80-1-1-95	43370
human_vs_animal	2111064	R2-S-C-82	490
human_vs_animal	2111074	30-Sal-C-112-2-1-138	502
human_vs_animal	2111074	30-Sal-C-125-1-1-154	455
human_vs_animal	2111074	30-Sal-C-135-1-1-169	493
human_vs_animal	2111074	30-Sal-C-80-1-1-95	43438
human_vs_animal	2111074	R2-S-C-82	499
human_vs_animal	2111098	30-Sal-C-112-2-1-138	422
human_vs_animal	2111098	30-Sal-C-125-1-1-154	375
human_vs_animal	2111098	30-Sal-C-135-1-1-169	413
human_vs_animal	2111098	30-Sal-C-80-1-1-95	43333
human_vs_animal	2111098	R2-S-C-82	419
human_vs_animal	2111100	30-Sal-C-112-2-1-138	487
human_vs_animal	2111100	30-Sal-C-125-1-1-154	440
human_vs_animal	2111100	30-Sal-C-135-1-1-169	478
human_vs_animal	2111100	30-Sal-C-80-1-1-95	43401
human_vs_animal	2111100	R2-S-C-82	484
human_vs_animal	2111114	30-Sal-C-112-2-1-138	922
human_vs_animal	2111114	30-Sal-C-125-1-1-154	875
human_vs_animal	2111114	30-Sal-C-135-1-1-169	913
human_vs_animal	2111114	30-Sal-C-80-1-1-95	43400
human_vs_animal	2111114	R2-S-C-82	919
human_vs_animal	2111116	30-Sal-C-112-2-1-138	160
human_vs_animal	2111116	30-Sal-C-125-1-1-154	73
human_vs_animal	2111116	30-Sal-C-135-1-1-169	151
human_vs_animal	2111116	30-Sal-C-80-1-1-95	43376
human_vs_animal	2111116	R2-S-C-82	157
human_vs_animal	2111119	30-Sal-C-112-2-1-138	923
human_vs_animal	2111119	30-Sal-C-125-1-1-154	876
human_vs_animal	2111119	30-Sal-C-135-1-1-169	914
human_vs_animal	2111119	30-Sal-C-80-1-1-95	43401
human_vs_animal	2111119	R2-S-C-82	920
human_vs_animal	2211222	30-Sal-C-112-2-1-138	366
human_vs_animal	2211222	30-Sal-C-125-1-1-154	320
