pair_type	I1	I2	dist
Human_vs_Food	HP12139	SC54	1266
Human_vs_Food	HP12139	SC55	1267
Human_vs_Food	HP12139	SC58	1274
Human_vs_Food	HP12173	SC54	147
Human_vs_Food	HP12173	SC55	148
Human_vs_Food	HP12173	SC58	147
Human_vs_Food	HP12179	SC54	37
Human_vs_Food	HP12179	SC55	38
Human_vs_Food	HP12179	SC58	43
Human_vs_Food	HP12186	SC54	38
Human_vs_Food	HP12186	SC55	39
Human_vs_Food	HP12186	SC58	46
Human_vs_Food	HP12206	SC54	38
Human_vs_Food	HP12206	SC55	39
Human_vs_Food	HP12206	SC58	44
Human_vs_Food	HP12211	SC54	51
Human_vs_Food	HP12211	SC55	52
Human_vs_Food	HP12211	SC58	52
Human_vs_Food	HP12218	SC54	1206
Human_vs_Food	HP12218	SC55	1207
Human_vs_Food	HP12218	SC58	1209
Human_vs_Food	HP12222	SC54	40
Human_vs_Food	HP12222	SC55	40
Human_vs_Food	HP12222	SC58	46
Human_vs_Food	HP12226	SC54	1201
Human_vs_Food	HP12226	SC55	1202
Human_vs_Food	HP12226	SC58	1199
Human_vs_Food	HP12228	SC54	313
Human_vs_Food	HP12228	SC55	313
Human_vs_Food	HP12228	SC58	287
Human_vs_Food	HP12231	SC54	4603
Human_vs_Food	HP12231	SC55	4604
Human_vs_Food	HP12231	SC58	4609
Human_vs_Food	HP12232	SC54	4572
Human_vs_Food	HP12232	SC55	4573
Human_vs_Food	HP12232	SC58	4573
Human_vs_Food	HP12238	SC54	45
Human_vs_Food	HP12238	SC55	46
Human_vs_Food	HP12238	SC58	51
Human_vs_Food	HP12242	SC54	40
Human_vs_Food	HP12242	SC55	41
Human_vs_Food	HP12242	SC58	50
Human_vs_Food	HP12243	SC54	37
Human_vs_Food	HP12243	SC55	38
Human_vs_Food	HP12243	SC58	43
Human_vs_Food	HP12493	SC54	582
Human_vs_Food	HP12493	SC55	582
Human_vs_Food	HP12493	SC58	619
Human_vs_Food	HP12505	SC54	389
Human_vs_Food	HP12505	SC55	389
Human_vs_Food	HP12505	SC58	378
Human_vs_Food	HP12506	SC54	412
Human_vs_Food	HP12506	SC55	412
Human_vs_Food	HP12506	SC58	394
Human_vs_Food	HP12531	SC54	24
Human_vs_Food	HP12531	SC55	25
Human_vs_Food	HP12531	SC58	70
Human_vs_Food	HP12537	SC54	24
Human_vs_Food	HP12537	SC55	25
Human_vs_Food	HP12537	SC58	70
Human_vs_Food	HP12544	SC54	31
Human_vs_Food	HP12544	SC55	32
Human_vs_Food	HP12544	SC58	75
Human_vs_Food	HP12551	SC54	35
Human_vs_Food	HP12551	SC55	36
Human_vs_Food	HP12551	SC58	81
Human_vs_Food	HP12563	SC54	7286
Human_vs_Food	HP12563	SC55	7287
Human_vs_Food	HP12563	SC58	7272
Human_vs_Food	HP12566	SC54	27
Human_vs_Food	HP12566	SC55	28
Human_vs_Food	HP12566	SC58	66
Human_vs_Food	HP12571	SC54	247
Human_vs_Food	HP12571	SC55	248
Human_vs_Food	HP12571	SC58	271
Human_vs_Food	HP12576	SC54	59
Human_vs_Food	HP12576	SC55	60
Human_vs_Food	HP12576	SC58	23
Human_vs_Food	HP12579	SC54	64
Human_vs_Food	HP12579	SC55	64
Human_vs_Food	HP12579	SC58	26
Human_vs_Food	HP12584	SC54	24
Human_vs_Food	HP12584	SC55	25
Human_vs_Food	HP12584	SC58	70
Human_vs_Food	HP12588	SC54	35
Human_vs_Food	HP12588	SC55	36
Human_vs_Food	HP12588	SC58	76
Human_vs_Food	HP12607	SC54	28
Human_vs_Food	HP12607	SC55	29
Human_vs_Food	HP12607	SC58	74
Human_vs_Food	HP12628	SC54	288
Human_vs_Food	HP12628	SC55	289
Human_vs_Food	HP12628	SC58	265
