pair_type	I1	I2	dist
human_vs_human	1711055	1711059	71
human_vs_human	1711055	1711060	71
human_vs_human	1711055	1711066	59
human_vs_human	1711055	1711071	76
human_vs_human	1711055	1711227	72
human_vs_human	1711055	1711327	97
human_vs_human	1711055	1711335	71
human_vs_human	1711055	1711375	100
human_vs_human	1711055	1711400	83
human_vs_human	1711055	1811002	83
human_vs_human	1711055	1811048	75
human_vs_human	1711055	1811132	103
human_vs_human	1711055	1811139	82
human_vs_human	1711055	1811140	84
human_vs_human	1711055	1811141	76
human_vs_human	1711055	1811162	81
human_vs_human	1711055	1811295	82
human_vs_human	1711055	1811298	3678
human_vs_human	1711055	1911058	74
human_vs_human	1711055	1911067	77
human_vs_human	1711055	1911178	227
human_vs_human	1711055	1911191	78
human_vs_human	1711055	1911206	83
human_vs_human	1711055	1911227	79
human_vs_human	1711055	1911228	47554
human_vs_human	1711055	2011039	324
human_vs_human	1711055	2011135	190
human_vs_human	1711055	2011139	330
human_vs_human	1711055	2011154	83
human_vs_human	1711055	2011160	74
human_vs_human	1711055	2111040	110
human_vs_human	1711055	2111068	83
human_vs_human	1711055	2111082	79
human_vs_human	1711055	2111101	84
human_vs_human	1711055	2211162	108
human_vs_human	1711055	2211163	86
human_vs_human	1711055	2211164	84
human_vs_human	1711055	2211165	86
human_vs_human	1711055	2211166	164
human_vs_human	1711055	2211173	101
human_vs_human	1711055	2211175	101
human_vs_human	1711055	2211176	129
human_vs_human	1711055	2211177	78
human_vs_human	1711059	1711060	0
human_vs_human	1711059	1711066	63
human_vs_human	1711059	1711071	55
human_vs_human	1711059	1711227	51
human_vs_human	1711059	1711327	74
human_vs_human	1711059	1711335	58
human_vs_human	1711059	1711375	77
human_vs_human	1711059	1711400	66
human_vs_human	1711059	1811002	62
human_vs_human	1711059	1811048	58
human_vs_human	1711059	1811132	86
human_vs_human	1711059	1811139	65
human_vs_human	1711059	1811140	63
human_vs_human	1711059	1811141	63
human_vs_human	1711059	1811162	64
human_vs_human	1711059	1811295	61
human_vs_human	1711059	1811298	3665
human_vs_human	1711059	1911058	53
human_vs_human	1711059	1911067	60
human_vs_human	1711059	1911178	206
human_vs_human	1711059	1911191	61
human_vs_human	1711059	1911206	70
human_vs_human	1711059	1911227	66
human_vs_human	1711059	1911228	47541
human_vs_human	1711059	2011039	311
human_vs_human	1711059	2011135	169
human_vs_human	1711059	2011139	317
human_vs_human	1711059	2011154	62
human_vs_human	1711059	2011160	53
human_vs_human	1711059	2111040	89
human_vs_human	1711059	2111068	62
human_vs_human	1711059	2111082	58
human_vs_human	1711059	2111101	63
human_vs_human	1711059	2211162	91
human_vs_human	1711059	2211163	65
human_vs_human	1711059	2211164	63
human_vs_human	1711059	2211165	65
human_vs_human	1711059	2211166	143
human_vs_human	1711059	2211173	84
human_vs_human	1711059	2211175	78
human_vs_human	1711059	2211176	113
human_vs_human	1711059	2211177	61
human_vs_human	1711060	1711066	63
human_vs_human	1711060	1711071	55
human_vs_human	1711060	1711227	51
human_vs_human	1711060	1711327	74
human_vs_human	1711060	1711335	58
human_vs_human	1711060	1711375	77
human_vs_human	1711060	1711400	66
human_vs_human	1711060	1811002	62
human_vs_human	1711060	1811048	58
human_vs_human	1711060	1811132	86
human_vs_human	1711060	1811139	65
human_vs_human	1711060	1811140	63
human_vs_human	1711060	1811141	63
human_vs_human	1711060	1811162	64
human_vs_human	1711060	1811295	61
human_vs_human	1711060	1811298	3665
human_vs_human	1711060	1911058	53
human_vs_human	1711060	1911067	60
human_vs_human	1711060	1911178	206
human_vs_human	1711060	1911191	61
human_vs_human	1711060	1911206	70
human_vs_human	1711060	1911227	66
human_vs_human	1711060	1911228	47541
human_vs_human	1711060	2011039	311
human_vs_human	1711060	2011135	169
human_vs_human	1711060	2011139	317
human_vs_human	1711060	2011154	62
human_vs_human	1711060	2011160	53
human_vs_human	1711060	2111040	89
human_vs_human	1711060	2111068	62
human_vs_human	1711060	2111082	58
human_vs_human	1711060	2111101	63
human_vs_human	1711060	2211162	91
human_vs_human	1711060	2211163	65
human_vs_human	1711060	2211164	63
human_vs_human	1711060	2211165	65
human_vs_human	1711060	2211166	143
human_vs_human	1711060	2211173	84
human_vs_human	1711060	2211175	78
human_vs_human	1711060	2211176	113
human_vs_human	1711060	2211177	61
human_vs_human	1711066	1711071	68
human_vs_human	1711066	1711227	64
human_vs_human	1711066	1711327	90
human_vs_human	1711066	1711335	63
human_vs_human	1711066	1711375	92
human_vs_human	1711066	1711400	75
human_vs_human	1711066	1811002	75
human_vs_human	1711066	1811048	67
human_vs_human	1711066	1811132	95
human_vs_human	1711066	1811139	74
human_vs_human	1711066	1811140	76
human_vs_human	1711066	1811141	68
human_vs_human	1711066	1811162	73
human_vs_human	1711066	1811295	74
human_vs_human	1711066	1811298	3673
human_vs_human	1711066	1911058	66
human_vs_human	1711066	1911067	69
human_vs_human	1711066	1911178	218
human_vs_human	1711066	1911191	70
human_vs_human	1711066	1911206	75
human_vs_human	1711066	1911227	71
human_vs_human	1711066	1911228	47543
human_vs_human	1711066	2011039	316
human_vs_human	1711066	2011135	184
human_vs_human	1711066	2011139	322
human_vs_human	1711066	2011154	75
human_vs_human	1711066	2011160	66
human_vs_human	1711066	2111040	102
human_vs_human	1711066	2111068	75
human_vs_human	1711066	2111082	71
human_vs_human	1711066	2111101	76
human_vs_human	1711066	2211162	100
human_vs_human	1711066	2211163	78
human_vs_human	1711066	2211164	76
human_vs_human	1711066	2211165	78
human_vs_human	1711066	2211166	156
human_vs_human	1711066	2211173	93
human_vs_human	1711066	2211175	93
human_vs_human	1711066	2211176	122
human_vs_human	1711066	2211177	70
human_vs_human	1711071	1711227	56
human_vs_human	1711071	1711327	82
human_vs_human	1711071	1711335	63
human_vs_human	1711071	1711375	84
human_vs_human	1711071	1711400	71
human_vs_human	1711071	1811002	39
human_vs_human	1711071	1811048	63
human_vs_human	1711071	1811132	91
human_vs_human	1711071	1811139	70
human_vs_human	1711071	1811140	68
human_vs_human	1711071	1811141	68
human_vs_human	1711071	1811162	69
human_vs_human	1711071	1811295	66
human_vs_human	1711071	1811298	3669
human_vs_human	1711071	1911058	58
human_vs_human	1711071	1911067	65
human_vs_human	1711071	1911178	183
human_vs_human	1711071	1911191	66
human_vs_human	1711071	1911206	75
human_vs_human	1711071	1911227	71
human_vs_human	1711071	1911228	47545
human_vs_human	1711071	2011039	315
human_vs_human	1711071	2011135	175
human_vs_human	1711071	2011139	321
