pair_type	I1	I2	dist
human_vs_food	1711061	1712001	43
human_vs_food	1711061	1912024	47
human_vs_food	1711061	2112105	46
human_vs_food	1711062	1712001	23
human_vs_food	1711062	1912024	27
human_vs_food	1711062	2112105	26
human_vs_food	1711106	1712001	877
human_vs_food	1711106	1912024	881
human_vs_food	1711106	2112105	880
human_vs_food	1711224	1712001	877
human_vs_food	1711224	1912024	881
human_vs_food	1711224	2112105	880
human_vs_food	1711228	1712001	14
human_vs_food	1711228	1912024	18
human_vs_food	1711228	2112105	17
human_vs_food	1711230	1712001	11
human_vs_food	1711230	1912024	15
human_vs_food	1711230	2112105	14
human_vs_food	1711361	1712001	877
human_vs_food	1711361	1912024	881
human_vs_food	1711361	2112105	880
human_vs_food	1911201	1712001	871
human_vs_food	1911201	1912024	875
human_vs_food	1911201	2112105	874
human_vs_food	1911204	1712001	880
human_vs_food	1911204	1912024	884
human_vs_food	1911204	2112105	880
human_vs_food	1911207	1712001	12
human_vs_food	1911207	1912024	16
human_vs_food	1911207	2112105	13
human_vs_food	1911216	1712001	886
human_vs_food	1911216	1912024	890
human_vs_food	1911216	2112105	889
human_vs_food	2011147	1712001	889
human_vs_food	2011147	1912024	893
human_vs_food	2011147	2112105	892
human_vs_food	2011158	1712001	884
human_vs_food	2011158	1912024	888
human_vs_food	2011158	2112105	887
