pair_type	I1	I2	dist
human_vs_food	2211092	1712085	44
human_vs_food	2211092	1812104	48
human_vs_food	2211092	2012018	37
human_vs_food	2211092	2012044	44
human_vs_food	2211092	2012060	44
human_vs_food	2211093	1712085	252
human_vs_food	2211093	1812104	248
human_vs_food	2211093	2012018	245
human_vs_food	2211093	2012044	236
human_vs_food	2211093	2012060	254
human_vs_food	2211094	1712085	252
human_vs_food	2211094	1812104	248
human_vs_food	2211094	2012018	245
human_vs_food	2211094	2012044	236
human_vs_food	2211094	2012060	254
