indID	ISCaje5-2	ISCco1-2	ISChh1-1	ISSag10-1	Tn5405-1
mefinder_30-CC-P-100-1-24_mge_sequences.fna	0	0	0	1	0
mefinder_30-CC-P-101-1-25_mge_sequences.fna	0	0	1	0	0
mefinder_30-CC-P-102-1-26_mge_sequences.fna	0	1	0	1	0
mefinder_30-CC-P-103-1-27_mge_sequences.fna	0	1	0	0	0
mefinder_30-CC-P-104-1-28_mge_sequences.fna	0	1	1	0	0
mefinder_30-CC-P-110-1-33_mge_sequences.fna	0	1	1	0	0
mefinder_30-CC-P-113-1-34_mge_sequences.fna	0	1	1	0	0
mefinder_30-CC-P-114-1-35_mge_sequences.fna	0	1	1	0	0
mefinder_30-CC-P-36-1-2_mge_sequences.fna	0	1	0	1	0
mefinder_30-CC-P-37-1-1-3_mge_sequences.fna	0	1	0	0	0
mefinder_30-CC-P-48-1-6_mge_sequences.fna	0	1	0	0	0
mefinder_30-CC-P-62-1-8_mge_sequences.fna	0	1	0	1	0
mefinder_30-CC-P-63-1-9_mge_sequences.fna	1	0	1	0	0
mefinder_30-CC-P-65-1-10_mge_sequences.fna	0	0	1	0	0
mefinder_30-CC-P-66-1-11_mge_sequences.fna	0	1	1	0	0
mefinder_30-CC-P-69-1-12_mge_sequences.fna	0	1	0	0	0
mefinder_30-CC-P-77-1-15_mge_sequences.fna	0	0	1	0	0
mefinder_30-CC-P-78-1-16_mge_sequences.fna	0	1	0	0	0
mefinder_30-CC-P-88-1-20_mge_sequences.fna	0	1	1	0	0
mefinder_30-CC-P-90-1-21_mge_sequences.fna	0	1	1	0	0
mefinder_30-CC-P-94-1-22_mge_sequences.fna	1	1	1	0	0
mefinder_30-CJ-B-197-1-32_mge_sequences.fna	0	0	1	0	0
mefinder_30-CJ-B-198-1-33_mge_sequences.fna	0	0	1	0	0
mefinder_30-CJ-B-213-1-41_mge_sequences.fna	0	0	1	0	0
mefinder_30-CJ-B-87-1-9_mge_sequences.fna	0	0	1	0	0
mefinder_C-1-2-1-94_mge_sequences.fna	0	0	0	0	0
mefinder_C-2-1-1-86_mge_sequences.fna	0	0	0	0	0
mefinder_C-7-1-1-82_mge_sequences.fna	0	0	0	0	0
mefinder_R1-Cj-B-11_mge_sequences.fna	0	0	1	0	0
mefinder_R1-Cj-B-24_mge_sequences.fna	0	0	1	0	0
mefinder_R1-Cj-B-34_mge_sequences.fna	0	0	1	0	0
mefinder_R1-Cj-B-86_mge_sequences.fna	0	0	0	0	0
mefinder_R1-Cj-B-98_mge_sequences.fna	0	0	1	0	0
mefinder_R1-Cj-C-40_mge_sequences.fna	0	0	1	0	0
mefinder_R2-Cj-B-110_mge_sequences.fna	0	0	1	0	0
mefinder_R2-Cj-B-123_mge_sequences.fna	0	0	0	0	0
mefinder_R2-Cj-B-125_mge_sequences.fna	0	0	1	0	0
mefinder_R2-Cj-B-31_mge_sequences.fna	0	0	1	0	0
mefinder_R2-Cj-B-5_mge_sequences.fna	0	0	1	0	0
mefinder_R2-Cj-B-69_mge_sequences.fna	0	0	1	0	0
mefinder_R2-Cj-B-74_mge_sequences.fna	0	0	0	0	0
mefinder_R2-Cj-B-9_mge_sequences.fna	0	0	1	0	0
