pair_type	I1	I2	dist
human_vs_animal	1711056	30-Sal-C-108-1-1-134	81
human_vs_animal	1711056	30-Sal-C-11-1-1-8	69
human_vs_animal	1711056	30-Sal-C-12-1-1-10	57
human_vs_animal	1711056	30-Sal-C-126-1-1-156	98
human_vs_animal	1711056	30-Sal-C-13-1-1-11	64
human_vs_animal	1711056	30-Sal-C-148-1-1-185	95
human_vs_animal	1711056	30-Sal-C-149-1-1-187	95
human_vs_animal	1711056	30-Sal-C-152-1-1-189	68
human_vs_animal	1711056	30-Sal-C-17-1-1-16	72
human_vs_animal	1711056	30-Sal-C-20-1-1-19	43
human_vs_animal	1711056	30-Sal-C-29-1-1-27	71
human_vs_animal	1711056	30-Sal-C-3-1-1-1	76
human_vs_animal	1711056	30-Sal-C-31-2-1-32	81
human_vs_animal	1711056	30-Sal-C-44-1-1-51	39639
human_vs_animal	1711056	30-Sal-C-48-1-1-55	94
human_vs_animal	1711056	30-Sal-C-54-1-1-60	39668
human_vs_animal	1711056	30-Sal-C-55-1-1-62	31513
human_vs_animal	1711056	30-Sal-C-6-1-1-5	59
human_vs_animal	1711056	30-Sal-C-60-1-1-71	34121
human_vs_animal	1711056	30-Sal-C-63-1-1-75	61
human_vs_animal	1711056	30-Sal-C-77-1-1-93	39384
human_vs_animal	1711056	30-Sal-C-8-1-1-6	39635
human_vs_animal	1711056	30-Sal-C-87-1-1-103	53
human_vs_animal	1711056	30-Sal-C-88-1-1-105	55
human_vs_animal	1711056	R1-S-C-101	78
human_vs_animal	1711056	R1-S-C-103	81
human_vs_animal	1711056	R1-S-C-105	95
human_vs_animal	1711056	R1-S-C-11	88
human_vs_animal	1711056	R1-S-C-124	76
human_vs_animal	1711056	R1-S-C-13	87
human_vs_animal	1711056	R1-S-C-133	90
human_vs_animal	1711056	R1-S-C-141	169
human_vs_animal	1711056	R1-S-C-19	63
human_vs_animal	1711056	R1-S-C-193	80
human_vs_animal	1711056	R1-S-C-197	82
human_vs_animal	1711056	R1-S-C-21	100
human_vs_animal	1711056	R1-S-C-23	64
human_vs_animal	1711056	R1-S-C-25	94
human_vs_animal	1711056	R1-S-C-27	64
human_vs_animal	1711056	R1-S-C-3	122
human_vs_animal	1711056	R1-S-C-54	63
human_vs_animal	1711056	R1-S-C-60	80
human_vs_animal	1711056	R1-S-C-62	73
human_vs_animal	1711056	R1-S-C-7	76
human_vs_animal	1711056	R1-S-C-82	87
human_vs_animal	1711056	R1-S-C-84	85
human_vs_animal	1711056	R1-S-C-85	88
human_vs_animal	1711056	R1-S-C-87	115
human_vs_animal	1711056	R1-S-C-9	65
human_vs_animal	1711056	R1-S-C-91	85
human_vs_animal	1711056	R1-S-C-93	75
human_vs_animal	1711056	R1-S-C-99	90
human_vs_animal	1711056	R2-S-C-100	81
human_vs_animal	1711056	R2-S-C-120	69
human_vs_animal	1711056	R2-S-C-187	77
human_vs_animal	1711056	R2-S-C-190	82
human_vs_animal	1711056	R2-S-C-196	53
human_vs_animal	1711056	R2-S-C-23	74
human_vs_animal	1711056	R2-S-C-53	60
human_vs_animal	1711056	R2-S-C-55	69
human_vs_animal	1711056	R2-S-C-59	106
human_vs_animal	1711056	R2-S-C-70	66
human_vs_animal	1711056	R2-S-C-72	72
human_vs_animal	1711056	R2-S-C-93	117
human_vs_animal	1711056	R2-S-C-96	88
human_vs_animal	1711056	R2-S-C-98	93
human_vs_animal	1711056	S-C-1-1-1-1	39667
human_vs_animal	1711056	S-C-1-1-1-79	91
human_vs_animal	1711056	S-C-10-1-1-114	47
human_vs_animal	1711056	S-C-12-1-1-162	114
human_vs_animal	1711056	S-C-2-1-1-3	39642
human_vs_animal	1711056	S-C-2-1-1-81	93
human_vs_animal	1711056	S-C-3-1-1-190	60
human_vs_animal	1711056	S-C-3-1-1-38	66
human_vs_animal	1711056	S-C-3-1-1-83	84
human_vs_animal	1711056	S-C-4-1-1-174	77
human_vs_animal	1711056	S-C-5-2-1-42	67
human_vs_animal	1711056	S-C-6-1-1-220	133
human_vs_animal	1711056	S-C-8-1-1-93	91
human_vs_animal	1711233	30-Sal-C-108-1-1-134	148
human_vs_animal	1711233	30-Sal-C-11-1-1-8	136
human_vs_animal	1711233	30-Sal-C-12-1-1-10	124
