pair_type	I1	I2	dist
human_vs_food	1711063	1812094	98
human_vs_food	1711064	1812094	96
human_vs_food	1711065	1812094	99
human_vs_food	1711229	1812094	172
human_vs_food	1711328	1812094	109
human_vs_food	1711329	1812094	94
human_vs_food	1711332	1812094	95
human_vs_food	1811005	1812094	99
human_vs_food	1811009	1812094	86
human_vs_food	1811136	1812094	99
human_vs_food	1811181	1812094	820
human_vs_food	1811182	1812094	39
human_vs_food	1811183	1812094	39
human_vs_food	1811184	1812094	45
human_vs_food	1811185	1812094	45
human_vs_food	1811186	1812094	39
human_vs_food	1811187	1812094	42
human_vs_food	1811188	1812094	40
human_vs_food	1811189	1812094	46
human_vs_food	1811278	1812094	96
human_vs_food	1811280	1812094	95
human_vs_food	1811293	1812094	102
human_vs_food	1911197	1812094	110
human_vs_food	1911230	1812094	109
human_vs_food	1911233	1812094	90
human_vs_food	2011003	1812094	112
human_vs_food	2011008	1812094	143
human_vs_food	2011014	1812094	103
human_vs_food	2011021	1812094	105
human_vs_food	2111054	1812094	102
human_vs_food	2111055	1812094	119
human_vs_food	2111062	1812094	115
human_vs_food	2111063	1812094	129
human_vs_food	2111069	1812094	138
human_vs_food	2111071	1812094	170
human_vs_food	2111072	1812094	90
human_vs_food	2111079	1812094	101
human_vs_food	2111084	1812094	124
human_vs_food	2111090	1812094	95
human_vs_food	2111091	1812094	95
human_vs_food	2111111	1812094	129
human_vs_food	2111125	1812094	129
human_vs_food	2111131	1812094	115
human_vs_food	2111135	1812094	722
human_vs_food	2211107	1812094	106
human_vs_food	2211108	1812094	111
human_vs_food	2211109	1812094	128
human_vs_food	2211110	1812094	156
human_vs_food	2211111	1812094	114
human_vs_food	2211112	1812094	118
human_vs_food	2211113	1812094	112
human_vs_food	2211114	1812094	120
human_vs_food	2211121	1812094	121
human_vs_food	2211122	1812094	207
