pair_type	I1	I2	dist
human_vs_food	1711236	1712017	118
human_vs_food	1711236	1712018	113
human_vs_food	1711236	1712019	116
human_vs_food	1711236	1712020	110
human_vs_food	1711236	1712080	31151
human_vs_food	1711236	1812027	122
human_vs_food	1711236	1812028	119
human_vs_food	1711236	1812030	120
human_vs_food	1711236	1812033	175
human_vs_food	1711236	1812035	131
human_vs_food	1711236	1812041	130
human_vs_food	1711236	1812062	119
human_vs_food	1711236	1812066	116
human_vs_food	1711236	1812070	119
human_vs_food	1711236	1812072	124
human_vs_food	1711236	1812093	123
human_vs_food	1711236	1912036	120
human_vs_food	1711236	1912037	120
human_vs_food	1711236	1912068	133
human_vs_food	1711236	1912071	118
human_vs_food	1711236	1912072	107
human_vs_food	1711236	1912073	119
human_vs_food	1711236	1912074	120
human_vs_food	1711236	1912075	125
human_vs_food	1711236	1912077	148
human_vs_food	1711236	1912095	162
human_vs_food	1711236	1912096	122
human_vs_food	1711236	2012046	134
human_vs_food	1711236	2112010	123
human_vs_food	1711236	2112022	137
human_vs_food	1711236	2112024	119
human_vs_food	1711236	2112133	116
human_vs_food	1711236	2212017	2297
human_vs_food	1711236	2212053	131
human_vs_food	1711236	2212057	142
human_vs_food	1711236	2212058	136
human_vs_food	1711236	2212065	149
human_vs_food	1711236	2212066	129
human_vs_food	1711236	2212070	142
human_vs_food	1711236	2212071	137
human_vs_food	1711236	2212072	165
human_vs_food	1711236	2212079	128
human_vs_food	1711236	2212096	139
human_vs_food	1711236	2212098	143
human_vs_food	1811070	1712017	22
human_vs_food	1811070	1712018	55
human_vs_food	1811070	1712019	58
human_vs_food	1811070	1712020	52
human_vs_food	1811070	1712080	31233
human_vs_food	1811070	1812027	26
human_vs_food	1811070	1812028	23
human_vs_food	1811070	1812030	62
human_vs_food	1811070	1812033	79
human_vs_food	1811070	1812035	79
human_vs_food	1811070	1812041	78
human_vs_food	1811070	1812062	67
human_vs_food	1811070	1812066	59
human_vs_food	1811070	1812070	21
human_vs_food	1811070	1812072	70
human_vs_food	1811070	1812093	25
human_vs_food	1811070	1912036	22
human_vs_food	1811070	1912037	22
human_vs_food	1811070	1912068	75
human_vs_food	1811070	1912071	22
human_vs_food	1811070	1912072	57
human_vs_food	1811070	1912073	67
human_vs_food	1811070	1912074	68
human_vs_food	1811070	1912075	59
human_vs_food	1811070	1912077	96
human_vs_food	1811070	1912095	104
human_vs_food	1811070	1912096	70
human_vs_food	1811070	2012046	82
human_vs_food	1811070	2112010	25
human_vs_food	1811070	2112022	85
human_vs_food	1811070	2112024	61
human_vs_food	1811070	2112133	60
human_vs_food	1811070	2212017	2248
human_vs_food	1811070	2212053	80
human_vs_food	1811070	2212057	90
human_vs_food	1811070	2212058	84
human_vs_food	1811070	2212065	51
human_vs_food	1811070	2212066	31
human_vs_food	1811070	2212070	91
human_vs_food	1811070	2212071	85
human_vs_food	1811070	2212072	84
human_vs_food	1811070	2212079	76
human_vs_food	1811070	2212096	87
human_vs_food	1811070	2212098	91
human_vs_food	2011138	1712017	67
human_vs_food	2011138	1712018	62
human_vs_food	2011138	1712019	65
human_vs_food	2011138	1712020	59
human_vs_food	2011138	1712080	31237
human_vs_food	2011138	1812027	71
human_vs_food	2011138	1812028	68
human_vs_food	2011138	1812030	69
human_vs_food	2011138	1812033	124
human_vs_food	2011138	1812035	14
human_vs_food	2011138	1812041	13
human_vs_food	2011138	1812062	68
human_vs_food	2011138	1812066	65
human_vs_food	2011138	1812070	68
human_vs_food	2011138	1812072	72
human_vs_food	2011138	1812093	72
human_vs_food	2011138	1912036	69
human_vs_food	2011138	1912037	69
human_vs_food	2011138	1912068	82
human_vs_food	2011138	1912071	66
human_vs_food	2011138	1912072	58
human_vs_food	2011138	1912073	68
human_vs_food	2011138	1912074	69
human_vs_food	2011138	1912075	74
human_vs_food	2011138	1912077	97
