pair_type	I1	I2	dist
human_vs_human	1711067	1711068	5
human_vs_human	1711067	1711220	29975
human_vs_human	1711067	1711221	4330
human_vs_human	1711067	1711376	2282
human_vs_human	1711067	1711377	106
human_vs_human	1711067	1711378	4325
human_vs_human	1711067	1711379	4321
human_vs_human	1711067	1811043	4317
human_vs_human	1711067	1811044	4323
human_vs_human	1711067	1811045	4317
human_vs_human	1711067	1811046	4317
human_vs_human	1711067	1811047	4320
human_vs_human	1711067	1811160	109
human_vs_human	1711067	1811279	4291
human_vs_human	1711067	1811297	4329
human_vs_human	1711067	1911234	4318
human_vs_human	1711067	1911257	4340
human_vs_human	1711067	2011142	4339
human_vs_human	1711067	2011144	4318
human_vs_human	1711067	2011163	104
human_vs_human	1711067	2011164	4332
human_vs_human	1711067	2011189	4332
human_vs_human	1711067	2111039	4359
human_vs_human	1711067	2111070	4286
human_vs_human	1711067	2111085	5252
human_vs_human	1711067	2111127	218
human_vs_human	1711068	1711220	29980
human_vs_human	1711068	1711221	4327
human_vs_human	1711068	1711376	2287
human_vs_human	1711068	1711377	103
human_vs_human	1711068	1711378	4322
human_vs_human	1711068	1711379	4326
human_vs_human	1711068	1811043	4322
human_vs_human	1711068	1811044	4320
human_vs_human	1711068	1811045	4322
human_vs_human	1711068	1811046	4322
human_vs_human	1711068	1811047	4317
human_vs_human	1711068	1811160	114
human_vs_human	1711068	1811279	4296
human_vs_human	1711068	1811297	4334
human_vs_human	1711068	1911234	4315
human_vs_human	1711068	1911257	4337
human_vs_human	1711068	2011142	4336
human_vs_human	1711068	2011144	4315
human_vs_human	1711068	2011163	109
human_vs_human	1711068	2011164	4329
human_vs_human	1711068	2011189	4329
human_vs_human	1711068	2111039	4356
human_vs_human	1711068	2111070	4283
human_vs_human	1711068	2111085	5257
human_vs_human	1711068	2111127	219
human_vs_human	1711220	1711221	29690
human_vs_human	1711220	1711376	29891
human_vs_human	1711220	1711377	29978
human_vs_human	1711220	1711378	29948
human_vs_human	1711220	1711379	29944
human_vs_human	1711220	1811043	29940
human_vs_human	1711220	1811044	29943
human_vs_human	1711220	1811045	29940
human_vs_human	1711220	1811046	29940
human_vs_human	1711220	1811047	29943
human_vs_human	1711220	1811160	29982
human_vs_human	1711220	1811279	29915
human_vs_human	1711220	1811297	29952
human_vs_human	1711220	1911234	29941
human_vs_human	1711220	1911257	29963
human_vs_human	1711220	2011142	29965
human_vs_human	1711220	2011144	29941
human_vs_human	1711220	2011163	29977
human_vs_human	1711220	2011164	29955
human_vs_human	1711220	2011189	29958
human_vs_human	1711220	2111039	29964
human_vs_human	1711220	2111070	29910
human_vs_human	1711220	2111085	29752
human_vs_human	1711220	2111127	29982
human_vs_human	1711221	1711376	3290
human_vs_human	1711221	1711377	4321
human_vs_human	1711221	1711378	92
human_vs_human	1711221	1711379	97
human_vs_human	1711221	1811043	93
human_vs_human	1711221	1811044	91
human_vs_human	1711221	1811045	93
human_vs_human	1711221	1811046	93
human_vs_human	1711221	1811047	88
human_vs_human	1711221	1811160	4322
human_vs_human	1711221	1811279	77
human_vs_human	1711221	1811297	104
human_vs_human	1711221	1911234	86
human_vs_human	1711221	1911257	108
human_vs_human	1711221	2011142	111
human_vs_human	1711221	2011144	86
human_vs_human	1711221	2011163	4327
human_vs_human	1711221	2011164	100
human_vs_human	1711221	2011189	100
human_vs_human	1711221	2111039	135
human_vs_human	1711221	2111070	64
human_vs_human	1711221	2111085	1240
human_vs_human	1711221	2111127	4346
human_vs_human	1711376	1711377	2282
human_vs_human	1711376	1711378	3282
human_vs_human	1711376	1711379	3278
human_vs_human	1711376	1811043	3274
human_vs_human	1711376	1811044	3280
human_vs_human	1711376	1811045	3274
human_vs_human	1711376	1811046	3274
human_vs_human	1711376	1811047	3277
human_vs_human	1711376	1811160	2285
human_vs_human	1711376	1811279	3248
human_vs_human	1711376	1811297	3286
human_vs_human	1711376	1911234	3275
human_vs_human	1711376	1911257	3297
human_vs_human	1711376	2011142	3298
human_vs_human	1711376	2011144	3275
human_vs_human	1711376	2011163	2280
human_vs_human	1711376	2011164	3289
human_vs_human	1711376	2011189	3289
human_vs_human	1711376	2111039	3318
human_vs_human	1711376	2111070	3243
human_vs_human	1711376	2111085	4328
human_vs_human	1711376	2111127	2302
human_vs_human	1711377	1711378	4317
human_vs_human	1711377	1711379	4321
human_vs_human	1711377	1811043	4317
human_vs_human	1711377	1811044	4315
human_vs_human	1711377	1811045	4317
human_vs_human	1711377	1811046	4317
human_vs_human	1711377	1811047	4312
human_vs_human	1711377	1811160	23
human_vs_human	1711377	1811279	4291
human_vs_human	1711377	1811297	4329
human_vs_human	1711377	1911234	4310
human_vs_human	1711377	1911257	4332
human_vs_human	1711377	2011142	4331
human_vs_human	1711377	2011144	4310
human_vs_human	1711377	2011163	18
human_vs_human	1711377	2011164	4324
human_vs_human	1711377	2011189	4324
human_vs_human	1711377	2111039	4351
human_vs_human	1711377	2111070	4278
human_vs_human	1711377	2111085	5251
human_vs_human	1711377	2111127	214
human_vs_human	1711378	1711379	16
human_vs_human	1711378	1811043	68
human_vs_human	1711378	1811044	66
human_vs_human	1711378	1811045	68
human_vs_human	1711378	1811046	68
human_vs_human	1711378	1811047	63
human_vs_human	1711378	1811160	4318
human_vs_human	1711378	1811279	52
human_vs_human	1711378	1811297	24
human_vs_human	1711378	1911234	51
human_vs_human	1711378	1911257	83
human_vs_human	1711378	2011142	54
human_vs_human	1711378	2011144	51
human_vs_human	1711378	2011163	4323
human_vs_human	1711378	2011164	21
human_vs_human	1711378	2011189	75
human_vs_human	1711378	2111039	54
human_vs_human	1711378	2111070	45
human_vs_human	1711378	2111085	1233
human_vs_human	1711378	2111127	4341
human_vs_human	1711379	1811043	64
human_vs_human	1711379	1811044	70
human_vs_human	1711379	1811045	64
human_vs_human	1711379	1811046	64
human_vs_human	1711379	1811047	67
human_vs_human	1711379	1811160	4314
human_vs_human	1711379	1811279	48
human_vs_human	1711379	1811297	20
human_vs_human	1711379	1911234	55
