pair_type	I1	I2	dist
human_vs_human	1711061	1711062	20
human_vs_human	1711061	1711106	892
human_vs_human	1711061	1711224	893
human_vs_human	1711061	1711228	29
human_vs_human	1711061	1711230	46
human_vs_human	1711061	1711361	892
human_vs_human	1711061	1911201	886
human_vs_human	1711061	1911204	895
human_vs_human	1711061	1911207	47
human_vs_human	1711061	1911216	901
human_vs_human	1711061	2011147	904
human_vs_human	1711061	2011158	899
human_vs_human	1711062	1711106	874
human_vs_human	1711062	1711224	875
human_vs_human	1711062	1711228	9
human_vs_human	1711062	1711230	26
human_vs_human	1711062	1711361	874
human_vs_human	1711062	1911201	868
human_vs_human	1711062	1911204	877
human_vs_human	1711062	1911207	27
human_vs_human	1711062	1911216	883
human_vs_human	1711062	2011147	886
human_vs_human	1711062	2011158	881
human_vs_human	1711106	1711224	47
human_vs_human	1711106	1711228	865
human_vs_human	1711106	1711230	880
human_vs_human	1711106	1711361	26
human_vs_human	1711106	1911201	38
human_vs_human	1711106	1911204	44
human_vs_human	1711106	1911207	881
human_vs_human	1711106	1911216	57
human_vs_human	1711106	2011147	58
human_vs_human	1711106	2011158	52
human_vs_human	1711224	1711228	866
human_vs_human	1711224	1711230	880
human_vs_human	1711224	1711361	47
human_vs_human	1711224	1911201	41
human_vs_human	1711224	1911204	50
human_vs_human	1711224	1911207	881
human_vs_human	1711224	1911216	57
human_vs_human	1711224	2011147	59
human_vs_human	1711224	2011158	54
human_vs_human	1711228	1711230	17
human_vs_human	1711228	1711361	865
human_vs_human	1711228	1911201	859
human_vs_human	1711228	1911204	868
human_vs_human	1711228	1911207	18
human_vs_human	1711228	1911216	874
human_vs_human	1711228	2011147	877
human_vs_human	1711228	2011158	872
human_vs_human	1711230	1711361	880
human_vs_human	1711230	1911201	874
human_vs_human	1711230	1911204	883
human_vs_human	1711230	1911207	15
human_vs_human	1711230	1911216	889
human_vs_human	1711230	2011147	892
human_vs_human	1711230	2011158	887
human_vs_human	1711361	1911201	38
human_vs_human	1711361	1911204	47
human_vs_human	1711361	1911207	881
human_vs_human	1711361	1911216	57
human_vs_human	1711361	2011147	58
human_vs_human	1711361	2011158	53
human_vs_human	1911201	1911204	13
human_vs_human	1911201	1911207	875
human_vs_human	1911201	1911216	51
human_vs_human	1911201	2011147	52
human_vs_human	1911201	2011158	47
human_vs_human	1911204	1911207	884
human_vs_human	1911204	1911216	60
human_vs_human	1911204	2011147	61
human_vs_human	1911204	2011158	56
human_vs_human	1911207	1911216	890
human_vs_human	1911207	2011147	893
human_vs_human	1911207	2011158	888
human_vs_human	1911216	2011147	69
human_vs_human	1911216	2011158	64
human_vs_human	2011147	2011158	17
