pair_type	I1	I2	dist
human_vs_human	1711225	1711226	331
human_vs_human	1711225	1711373	446
human_vs_human	1711225	1811023	459
human_vs_human	1711225	1811142	9
human_vs_human	1711225	1811276	61
human_vs_human	1711225	1811294	135
human_vs_human	1711225	1911063	339
human_vs_human	1711225	1911208	401
human_vs_human	1711225	1911209	471
human_vs_human	1711225	1911218	325
human_vs_human	1711225	1911229	361
human_vs_human	1711225	2011031	668
human_vs_human	1711225	2011137	152
human_vs_human	1711225	2011148	86
human_vs_human	1711225	2011152	340
human_vs_human	1711225	2111042	404
human_vs_human	1711225	2111064	459
human_vs_human	1711225	2111074	468
human_vs_human	1711225	2111098	386
human_vs_human	1711225	2111100	453
human_vs_human	1711225	2111114	889
human_vs_human	1711225	2111116	38
human_vs_human	1711225	2111119	890
human_vs_human	1711225	2211222	319
human_vs_human	1711225	2211229	450
human_vs_human	1711225	2211230	411
human_vs_human	1711225	2211231	403
human_vs_human	1711225	2211232	398
human_vs_human	1711225	2211233	405
human_vs_human	1711225	2211234	9
human_vs_human	1711226	1711373	497
human_vs_human	1711226	1811023	510
human_vs_human	1711226	1811142	330
human_vs_human	1711226	1811276	328
human_vs_human	1711226	1811294	332
human_vs_human	1711226	1911063	44
human_vs_human	1711226	1911208	453
human_vs_human	1711226	1911209	523
human_vs_human	1711226	1911218	26
human_vs_human	1711226	1911229	413
human_vs_human	1711226	2011031	721
human_vs_human	1711226	2011137	349
human_vs_human	1711226	2011148	315
human_vs_human	1711226	2011152	41
human_vs_human	1711226	2111042	459
human_vs_human	1711226	2111064	509
human_vs_human	1711226	2111074	519
human_vs_human	1711226	2111098	439
human_vs_human	1711226	2111100	503
human_vs_human	1711226	2111114	939
human_vs_human	1711226	2111116	357
human_vs_human	1711226	2111119	940
human_vs_human	1711226	2211222	156
human_vs_human	1711226	2211229	503
human_vs_human	1711226	2211230	464
human_vs_human	1711226	2211231	454
human_vs_human	1711226	2211232	452
human_vs_human	1711226	2211233	459
human_vs_human	1711226	2211234	330
human_vs_human	1711373	1811023	77
human_vs_human	1711373	1811142	445
human_vs_human	1711373	1811276	443
human_vs_human	1711373	1811294	445
human_vs_human	1711373	1911063	505
human_vs_human	1711373	1911208	501
human_vs_human	1711373	1911209	46
human_vs_human	1711373	1911218	491
human_vs_human	1711373	1911229	460
human_vs_human	1711373	2011031	766
human_vs_human	1711373	2011137	465
human_vs_human	1711373	2011148	430
human_vs_human	1711373	2011152	506
human_vs_human	1711373	2111042	506
human_vs_human	1711373	2111064	79
human_vs_human	1711373	2111074	86
human_vs_human	1711373	2111098	486
human_vs_human	1711373	2111100	71
human_vs_human	1711373	2111114	828
human_vs_human	1711373	2111116	472
human_vs_human	1711373	2111119	829
human_vs_human	1711373	2211222	499
human_vs_human	1711373	2211229	550
human_vs_human	1711373	2211230	511
human_vs_human	1711373	2211231	501
human_vs_human	1711373	2211232	499
human_vs_human	1711373	2211233	504
human_vs_human	1711373	2211234	445
human_vs_human	1811023	1811142	458
human_vs_human	1811023	1811276	456
