indID	ISCaje5-2	ISCco1-2	ISChh1-1	ISSag10-1	Tn5405-1
mefinder_HP12152_mge_sequences.fna	0	1	0	0	1
mefinder_HP12158_mge_sequences.fna	0	0	0	0	1
mefinder_HP12170_mge_sequences.fna	0	0	1	0	0
mefinder_HP12195_mge_sequences.fna	0	0	1	0	0
mefinder_HP12199_mge_sequences.fna	0	0	1	0	0
mefinder_HP12217_mge_sequences.fna	1	0	1	0	0
mefinder_HP12219_mge_sequences.fna	0	0	1	0	0
mefinder_HP12224_mge_sequences.fna	0	0	1	0	0
mefinder_HP12241_mge_sequences.fna	1	0	0	0	0
mefinder_HP12244_mge_sequences.fna	0	1	0	0	1
mefinder_HP12503_mge_sequences.fna	0	0	1	0	0
mefinder_HP12504_mge_sequences.fna	0	0	1	0	0
mefinder_HP12529_mge_sequences.fna	0	1	0	1	0
mefinder_HP12535_mge_sequences.fna	0	0	1	0	0
mefinder_HP12563_mge_sequences.fna	0	0	1	0	0
mefinder_HP12600_mge_sequences.fna	0	1	0	0	0
mefinder_HP12606_mge_sequences.fna	0	0	1	0	0
mefinder_HP12622_mge_sequences.fna	0	0	1	0	0
mefinder_HP12640_mge_sequences.fna	0	0	1	0	0
mefinder_HP12641_mge_sequences.fna	0	0	1	0	0
mefinder_HP12653_mge_sequences.fna	0	0	1	0	0
