pair_type	I1	I2	dist
human_vs_food	1711397	2012011	385
human_vs_food	1711398	2012011	216
human_vs_food	1811171	2012011	26399
human_vs_food	1811172	2012011	26382
human_vs_food	1811173	2012011	12653
human_vs_food	1811174	2012011	26389
human_vs_food	1811285	2012011	40913
human_vs_food	1811288	2012011	12681
human_vs_food	1811308	2012011	26385
human_vs_food	1911217	2012011	11867
human_vs_food	1911224	2012011	26322
human_vs_food	1911249	2012011	12453
human_vs_food	1911252	2012011	22762
human_vs_food	1911259	2012011	12457
human_vs_food	2011173	2012011	12465
human_vs_food	2011209	2012011	12459
human_vs_food	2111060	2012011	26323
human_vs_food	2211099	2012011	12681
human_vs_food	2211100	2012011	26365
human_vs_food	2211101	2012011	26322
human_vs_food	2211102	2012011	26352
human_vs_food	2211106	2012011	12484
