pair_type	I1	I2	dist
human_vs_human	1711057	1711058	24
human_vs_human	1711057	1711073	103
human_vs_human	1711057	1711074	382
human_vs_human	1711057	1711075	107
human_vs_human	1711057	1711076	81
human_vs_human	1711057	1711107	44
human_vs_human	1711057	1711108	55
human_vs_human	1711057	1711239	509
human_vs_human	1711057	1711240	506
human_vs_human	1711057	1711320	102
human_vs_human	1711057	1711380	65
human_vs_human	1711057	1711381	482
human_vs_human	1711057	1711382	504
human_vs_human	1711057	1811024	92
human_vs_human	1711057	1811050	1
human_vs_human	1711057	1811051	59
human_vs_human	1711057	1811052	3
human_vs_human	1711057	1811053	2
human_vs_human	1711057	1811054	3
human_vs_human	1711057	1811055	9
human_vs_human	1711057	1811056	28
human_vs_human	1711057	1811057	28
human_vs_human	1711057	1811058	3
human_vs_human	1711057	1811144	103
human_vs_human	1711057	1811178	96
human_vs_human	1711057	1811191	72
human_vs_human	1711057	1811192	18909
human_vs_human	1711057	1811193	18909
human_vs_human	1711057	1811291	82
human_vs_human	1711057	1811292	71
human_vs_human	1711057	1811301	369
human_vs_human	1711057	1811302	368
human_vs_human	1711057	1811303	98
human_vs_human	1711057	1911181	110
human_vs_human	1711057	1911182	113
human_vs_human	1711057	1911190	147
human_vs_human	1711057	1911212	106
human_vs_human	1711057	1911213	86
human_vs_human	1711057	1911219	98
human_vs_human	1711057	1911220	89
human_vs_human	1711057	1911222	88
human_vs_human	1711057	1911237	54
human_vs_human	1711057	1911242	89
human_vs_human	1711057	1911244	100
human_vs_human	1711057	1911245	67
human_vs_human	1711057	1911246	49
human_vs_human	1711057	1911247	48
human_vs_human	1711057	1911248	50
human_vs_human	1711057	1911250	53
human_vs_human	1711057	1911251	89
human_vs_human	1711057	1911256	70
human_vs_human	1711057	1911260	26
human_vs_human	1711057	1911262	25
human_vs_human	1711057	1911265	20
human_vs_human	1711057	2011162	63
human_vs_human	1711057	2011179	75
human_vs_human	1711057	2011180	64
human_vs_human	1711057	2011181	85
human_vs_human	1711057	2011184	54
human_vs_human	1711057	2011186	71
human_vs_human	1711057	2011187	20
human_vs_human	1711057	2011191	2
human_vs_human	1711057	2011192	13
human_vs_human	1711057	2011194	26
human_vs_human	1711057	2011195	18964
human_vs_human	1711057	2011197	10
human_vs_human	1711057	2011198	32
human_vs_human	1711057	2011199	34
human_vs_human	1711057	2011200	85
human_vs_human	1711057	2011201	34
human_vs_human	1711057	2011202	27
human_vs_human	1711057	2011203	23
human_vs_human	1711057	2011204	21
human_vs_human	1711057	2011205	19
human_vs_human	1711057	2011206	29
human_vs_human	1711057	2011207	18
human_vs_human	1711057	2011208	19
human_vs_human	1711057	2011210	13
human_vs_human	1711057	2111043	434
human_vs_human	1711057	2111049	6
human_vs_human	1711057	2111050	112
human_vs_human	1711057	2111051	46
human_vs_human	1711057	2111087	68
human_vs_human	1711057	2111112	86
human_vs_human	1711057	2111117	89
human_vs_human	1711057	2111118	62
human_vs_human	1711057	2111138	30
human_vs_human	1711057	2111139	29
human_vs_human	1711057	2111140	5
human_vs_human	1711057	2111142	83
human_vs_human	1711057	2111143	7
human_vs_human	1711057	2111146	6
human_vs_human	1711057	2211031	412
human_vs_human	1711057	2211032	107
human_vs_human	1711057	2211033	102
human_vs_human	1711057	2211034	92
human_vs_human	1711057	2211035	69
human_vs_human	1711057	2211036	88
human_vs_human	1711057	2211037	74
human_vs_human	1711057	2211038	71
human_vs_human	1711057	2211039	70
human_vs_human	1711057	2211040	69
human_vs_human	1711057	2211041	70
human_vs_human	1711057	2211042	70
human_vs_human	1711057	2211043	70
human_vs_human	1711057	2211044	69
human_vs_human	1711057	2211059	79
human_vs_human	1711057	2211060	79
human_vs_human	1711057	2211061	109
human_vs_human	1711057	2211062	97
human_vs_human	1711057	2211063	95
human_vs_human	1711057	2211064	88
human_vs_human	1711057	2211065	88
human_vs_human	1711057	2211066	87
human_vs_human	1711057	2211067	94
human_vs_human	1711057	2211068	79
human_vs_human	1711057	2211069	89
human_vs_human	1711057	2211070	90
human_vs_human	1711057	2211071	19
human_vs_human	1711057	2211072	20
human_vs_human	1711057	2211073	20
