pair_type	I1	I2	dist
Human_vs_Human	HP12192	HP12196	5
Human_vs_Human	HP12192	HP12207	40
Human_vs_Human	HP12192	HP12502	1112
Human_vs_Human	HP12192	HP12534	4
Human_vs_Human	HP12196	HP12502	1111
Human_vs_Human	HP12196	HP12534	5
Human_vs_Human	HP12207	HP12196	35
Human_vs_Human	HP12207	HP12502	1132
Human_vs_Human	HP12207	HP12534	40
Human_vs_Human	HP12229	HP12192	6
Human_vs_Human	HP12229	HP12196	11
Human_vs_Human	HP12229	HP12207	46
Human_vs_Human	HP12229	HP12502	1118
Human_vs_Human	HP12229	HP12534	10
Human_vs_Human	HP12534	HP12502	1116
