pair_type	I1	I2	dist
human_vs_food	1711057	1712002	376
human_vs_food	1711057	1812065	113
human_vs_food	1711057	1912014	102
human_vs_food	1711057	1912030	104
human_vs_food	1711057	1912085	88
human_vs_food	1711057	1912112	121
human_vs_food	1711057	2012054	124
human_vs_food	1711057	2012061	103
human_vs_food	1711057	2012122	125
human_vs_food	1711057	2012123	106
human_vs_food	1711058	1712002	400
human_vs_food	1711058	1812065	93
human_vs_food	1711058	1912014	126
human_vs_food	1711058	1912030	128
human_vs_food	1711058	1912085	68
human_vs_food	1711058	1912112	101
human_vs_food	1711058	2012054	104
human_vs_food	1711058	2012061	127
human_vs_food	1711058	2012122	105
human_vs_food	1711058	2012123	130
human_vs_food	1711073	1712002	387
human_vs_food	1711073	1812065	111
human_vs_food	1711073	1912014	51
human_vs_food	1711073	1912030	53
human_vs_food	1711073	1912085	111
human_vs_food	1711073	1912112	48
human_vs_food	1711073	2012054	51
human_vs_food	1711073	2012061	52
human_vs_food	1711073	2012122	52
human_vs_food	1711073	2012123	55
human_vs_food	1711074	1712002	12
human_vs_food	1711074	1812065	393
human_vs_food	1711074	1912014	394
human_vs_food	1711074	1912030	396
human_vs_food	1711074	1912085	389
human_vs_food	1711074	1912112	391
human_vs_food	1711074	2012054	393
human_vs_food	1711074	2012061	395
human_vs_food	1711074	2012122	394
human_vs_food	1711074	2012123	398
human_vs_food	1711075	1712002	391
human_vs_food	1711075	1812065	92
human_vs_food	1711075	1912014	116
human_vs_food	1711075	1912030	118
human_vs_food	1711075	1912085	93
human_vs_food	1711075	1912112	91
human_vs_food	1711075	2012054	94
human_vs_food	1711075	2012061	117
human_vs_food	1711075	2012122	95
human_vs_food	1711075	2012123	120
human_vs_food	1711076	1712002	399
human_vs_food	1711076	1812065	92
human_vs_food	1711076	1912014	125
human_vs_food	1711076	1912030	127
human_vs_food	1711076	1912085	9
human_vs_food	1711076	1912112	100
human_vs_food	1711076	2012054	103
human_vs_food	1711076	2012061	126
human_vs_food	1711076	2012122	104
human_vs_food	1711076	2012123	129
human_vs_food	1711107	1712002	374
human_vs_food	1711107	1812065	111
human_vs_food	1711107	1912014	100
human_vs_food	1711107	1912030	102
human_vs_food	1711107	1912085	86
human_vs_food	1711107	1912112	119
human_vs_food	1711107	2012054	122
human_vs_food	1711107	2012061	101
human_vs_food	1711107	2012122	123
human_vs_food	1711107	2012123	104
human_vs_food	1711108	1712002	361
human_vs_food	1711108	1812065	98
human_vs_food	1711108	1912014	87
human_vs_food	1711108	1912030	89
human_vs_food	1711108	1912085	85
human_vs_food	1711108	1912112	106
human_vs_food	1711108	2012054	109
human_vs_food	1711108	2012061	88
human_vs_food	1711108	2012122	110
human_vs_food	1711108	2012123	91
human_vs_food	1711239	1712002	488
human_vs_food	1711239	1812065	496
human_vs_food	1711239	1912014	519
human_vs_food	1711239	1912030	521
human_vs_food	1711239	1912085	495
human_vs_food	1711239	1912112	494
human_vs_food	1711239	2012054	496
human_vs_food	1711239	2012061	520
human_vs_food	1711239	2012122	498
human_vs_food	1711239	2012123	523
human_vs_food	1711240	1712002	487
human_vs_food	1711240	1812065	494
human_vs_food	1711240	1912014	517
human_vs_food	1711240	1912030	519
human_vs_food	1711240	1912085	493
human_vs_food	1711240	1912112	492
human_vs_food	1711240	2012054	494
human_vs_food	1711240	2012061	518
human_vs_food	1711240	2012122	496
human_vs_food	1711240	2012123	521
human_vs_food	1711320	1712002	384
human_vs_food	1711320	1812065	111
human_vs_food	1711320	1912014	112
human_vs_food	1711320	1912030	114
human_vs_food	1711320	1912085	110
human_vs_food	1711320	1912112	109
human_vs_food	1711320	2012054	112
human_vs_food	1711320	2012061	113
human_vs_food	1711320	2012122	113
human_vs_food	1711320	2012123	116
human_vs_food	1711380	1712002	371
human_vs_food	1711380	1812065	86
human_vs_food	1711380	1912014	97
human_vs_food	1711380	1912030	99
human_vs_food	1711380	1912085	73
human_vs_food	1711380	1912112	94
human_vs_food	1711380	2012054	97
human_vs_food	1711380	2012061	98
human_vs_food	1711380	2012122	98
human_vs_food	1711380	2012123	101
human_vs_food	1711381	1712002	461
human_vs_food	1711381	1812065	513
human_vs_food	1711381	1912014	492
human_vs_food	1711381	1912030	494
human_vs_food	1711381	1912085	512
human_vs_food	1711381	1912112	511
