pair_type	I1	I2	dist
human_vs_human	1711231	1711386	28677
human_vs_human	1711231	1711387	28675
human_vs_human	1711231	1711388	28674
human_vs_human	1711231	1711389	28442
human_vs_human	1711231	1711392	28677
human_vs_human	1711231	1711393	28674
human_vs_human	1711231	1711395	28441
human_vs_human	1711231	1711396	28457
human_vs_human	1711231	1711401	28444
human_vs_human	1711231	1711402	28444
human_vs_human	1711231	1711403	28677
human_vs_human	1711231	1711405	28444
human_vs_human	1711231	1711406	28679
human_vs_human	1711231	1811147	28147
human_vs_human	1711231	1811166	28683
human_vs_human	1711231	1811167	28680
human_vs_human	1711231	1811168	28464
human_vs_human	1711231	1811169	28462
human_vs_human	1711231	1811170	28442
human_vs_human	1711231	1811300	28607
human_vs_human	1711231	1811309	28682
human_vs_human	1711231	1811310	28464
human_vs_human	1711231	1811311	28432
human_vs_human	1711231	1811313	28460
human_vs_human	1711231	1811314	28460
human_vs_human	1711231	1911210	28453
human_vs_human	1711231	1911223	28458
human_vs_human	1711231	1911236	28461
human_vs_human	1711231	1911238	28673
human_vs_human	1711231	2011143	28678
human_vs_human	1711231	2011166	28675
human_vs_human	1711231	2011172	28450
human_vs_human	1711231	2111047	28668
human_vs_human	1711231	2111089	28683
human_vs_human	1711231	2111093	28682
human_vs_human	1711231	2111095	28662
human_vs_human	1711231	2111096	28682
human_vs_human	1711231	2111130	28677
human_vs_human	1711231	2111136	28454
human_vs_human	1711231	2111144	28684
human_vs_human	1711231	2111145	28677
human_vs_human	1711231	2211201	28653
human_vs_human	1711231	2211202	28419
human_vs_human	1711231	2211203	28665
human_vs_human	1711231	2211204	28680
human_vs_human	1711231	2211205	28675
human_vs_human	1711231	2211206	28684
human_vs_human	1711231	2211215	28456
human_vs_human	1711231	2211218	28460
human_vs_human	1711231	2211220	28680
human_vs_human	1711231	2211221	28610
human_vs_human	1711386	1711387	4
human_vs_human	1711386	1711388	3
human_vs_human	1711386	1711389	27750
human_vs_human	1711386	1711392	6
human_vs_human	1711386	1711393	3
human_vs_human	1711386	1711395	27748
human_vs_human	1711386	1711396	27761
human_vs_human	1711386	1711401	27742
human_vs_human	1711386	1711402	27742
human_vs_human	1711386	1711403	0
human_vs_human	1711386	1711405	27744
human_vs_human	1711386	1711406	249
human_vs_human	1711386	1811147	27611
human_vs_human	1711386	1811166	54
human_vs_human	1711386	1811167	163
human_vs_human	1711386	1811168	27767
human_vs_human	1711386	1811169	27763
human_vs_human	1711386	1811170	27749
human_vs_human	1711386	1811300	53
human_vs_human	1711386	1811309	51
human_vs_human	1711386	1811310	27767
human_vs_human	1711386	1811311	27743
human_vs_human	1711386	1811313	27763
