pair_type	I1	I2	dist
human_vs_human	1711063	1711064	4
human_vs_human	1711063	1711065	43
human_vs_human	1711063	1711229	104
human_vs_human	1711063	1711328	53
human_vs_human	1711063	1711329	26
human_vs_human	1711063	1711332	27
human_vs_human	1711063	1811005	25
human_vs_human	1711063	1811009	18
human_vs_human	1711063	1811136	49
human_vs_human	1711063	1811181	807
human_vs_human	1711063	1811182	61
human_vs_human	1711063	1811183	61
human_vs_human	1711063	1811184	67
human_vs_human	1711063	1811185	67
human_vs_human	1711063	1811186	61
human_vs_human	1711063	1811187	58
human_vs_human	1711063	1811188	62
human_vs_human	1711063	1811189	68
human_vs_human	1711063	1811278	46
human_vs_human	1711063	1811280	45
human_vs_human	1711063	1811293	52
human_vs_human	1711063	1911197	68
human_vs_human	1711063	1911230	61
human_vs_human	1711063	1911233	22
human_vs_human	1711063	2011003	36
human_vs_human	1711063	2011008	117
human_vs_human	1711063	2011014	29
human_vs_human	1711063	2011021	29
human_vs_human	1711063	2111054	34
human_vs_human	1711063	2111055	69
human_vs_human	1711063	2111062	66
human_vs_human	1711063	2111063	69
human_vs_human	1711063	2111069	88
human_vs_human	1711063	2111071	144
human_vs_human	1711063	2111072	22
human_vs_human	1711063	2111079	51
human_vs_human	1711063	2111084	65
human_vs_human	1711063	2111090	45
human_vs_human	1711063	2111091	45
human_vs_human	1711063	2111111	89
human_vs_human	1711063	2111125	47
human_vs_human	1711063	2111131	41
human_vs_human	1711063	2111135	719
human_vs_human	1711063	2211107	50
human_vs_human	1711063	2211108	37
human_vs_human	1711063	2211109	73
human_vs_human	1711063	2211110	100
human_vs_human	1711063	2211111	32
human_vs_human	1711063	2211112	44
human_vs_human	1711063	2211113	30
human_vs_human	1711063	2211114	38
human_vs_human	1711063	2211121	67
human_vs_human	1711063	2211122	157
human_vs_human	1711064	1711065	47
human_vs_human	1711064	1711229	102
human_vs_human	1711064	1711328	57
human_vs_human	1711064	1711329	24
human_vs_human	1711064	1711332	25
human_vs_human	1711064	1811005	29
human_vs_human	1711064	1811009	16
human_vs_human	1711064	1811136	47
human_vs_human	1711064	1811181	805
human_vs_human	1711064	1811182	59
human_vs_human	1711064	1811183	59
human_vs_human	1711064	1811184	65
human_vs_human	1711064	1811185	65
human_vs_human	1711064	1811186	59
human_vs_human	1711064	1811187	62
human_vs_human	1711064	1811188	60
human_vs_human	1711064	1811189	66
human_vs_human	1711064	1811278	44
human_vs_human	1711064	1811280	43
human_vs_human	1711064	1811293	50
human_vs_human	1711064	1911197	66
human_vs_human	1711064	1911230	59
human_vs_human	1711064	1911233	20
human_vs_human	1711064	2011003	34
human_vs_human	1711064	2011008	115
human_vs_human	1711064	2011014	33
human_vs_human	1711064	2011021	27
human_vs_human	1711064	2111054	32
human_vs_human	1711064	2111055	67
human_vs_human	1711064	2111062	64
human_vs_human	1711064	2111063	67
human_vs_human	1711064	2111069	86
human_vs_human	1711064	2111071	142
human_vs_human	1711064	2111072	20
human_vs_human	1711064	2111079	49
human_vs_human	1711064	2111084	63
human_vs_human	1711064	2111090	43
human_vs_human	1711064	2111091	43
human_vs_human	1711064	2111111	87
human_vs_human	1711064	2111125	51
human_vs_human	1711064	2111131	45
human_vs_human	1711064	2111135	721
human_vs_human	1711064	2211107	54
human_vs_human	1711064	2211108	41
human_vs_human	1711064	2211109	77
human_vs_human	1711064	2211110	104
human_vs_human	1711064	2211111	36
