pair_type	I1	I2	dist
human_vs_human	1711069	1711218	328
human_vs_human	1711069	1711219	341
human_vs_human	1711069	1711222	333
human_vs_human	1711069	1711223	1732
human_vs_human	1711069	1711374	337
human_vs_human	1711069	1811277	1211
human_vs_human	1711069	1811296	1341
human_vs_human	1711069	1911187	1729
human_vs_human	1711069	1911202	339
human_vs_human	1711069	1911232	1292
human_vs_human	1711069	2011145	1734
human_vs_human	1711069	2011190	324
human_vs_human	1711069	2111120	1787
human_vs_human	1711069	2211182	1348
human_vs_human	1711069	2211183	1731
human_vs_human	1711069	2211185	1263
human_vs_human	1711069	2211186	1729
human_vs_human	1711069	2211199	1223
human_vs_human	1711218	1711219	109
human_vs_human	1711218	1711222	25
human_vs_human	1711218	1711223	1726
human_vs_human	1711218	1711374	345
human_vs_human	1711218	1811277	1205
human_vs_human	1711218	1811296	1337
human_vs_human	1711218	1911187	1724
human_vs_human	1711218	1911202	199
human_vs_human	1711218	1911232	1282
human_vs_human	1711218	2011145	1728
human_vs_human	1711218	2011190	18
human_vs_human	1711218	2111120	1793
human_vs_human	1711218	2211182	1344
human_vs_human	1711218	2211183	1725
human_vs_human	1711218	2211185	1257
human_vs_human	1711218	2211186	1723
human_vs_human	1711218	2211199	1217
human_vs_human	1711219	1711222	110
human_vs_human	1711219	1711223	1737
human_vs_human	1711219	1711374	358
human_vs_human	1711219	1811277	1214
human_vs_human	1711219	1811296	1346
human_vs_human	1711219	1911187	1735
human_vs_human	1711219	1911202	208
human_vs_human	1711219	1911232	1291
human_vs_human	1711219	2011145	1739
human_vs_human	1711219	2011190	103
human_vs_human	1711219	2111120	1803
human_vs_human	1711219	2211182	1353
human_vs_human	1711219	2211183	1736
human_vs_human	1711219	2211185	1266
human_vs_human	1711219	2211186	1734
human_vs_human	1711219	2211199	1226
human_vs_human	1711222	1711223	1731
human_vs_human	1711222	1711374	350
human_vs_human	1711222	1811277	1206
human_vs_human	1711222	1811296	1338
human_vs_human	1711222	1911187	1729
human_vs_human	1711222	1911202	200
human_vs_human	1711222	1911232	1283
human_vs_human	1711222	2011145	1733
human_vs_human	1711222	2011190	19
human_vs_human	1711222	2111120	1798
human_vs_human	1711222	2211182	1345
human_vs_human	1711222	2211183	1730
