pair_type	I1	I2	dist
human_vs_human	1711397	1711398	397
human_vs_human	1711397	1811171	26454
human_vs_human	1711397	1811172	26437
human_vs_human	1711397	1811173	12719
human_vs_human	1711397	1811174	26444
human_vs_human	1711397	1811285	40958
human_vs_human	1711397	1811288	12748
human_vs_human	1711397	1811308	26440
human_vs_human	1711397	1911217	11921
human_vs_human	1711397	1911224	26377
human_vs_human	1711397	1911249	12520
human_vs_human	1711397	1911252	22826
human_vs_human	1711397	1911259	12524
human_vs_human	1711397	2011173	12532
human_vs_human	1711397	2011209	12526
human_vs_human	1711397	2111060	26377
human_vs_human	1711397	2211099	12748
human_vs_human	1711397	2211100	26419
human_vs_human	1711397	2211101	26377
human_vs_human	1711397	2211102	26407
human_vs_human	1711397	2211106	12551
human_vs_human	1711398	1811171	26422
human_vs_human	1711398	1811172	26405
human_vs_human	1711398	1811173	12667
human_vs_human	1711398	1811174	26400
human_vs_human	1711398	1811285	40930
human_vs_human	1711398	1811288	12695
human_vs_human	1711398	1811308	26408
human_vs_human	1711398	1911217	11882
human_vs_human	1711398	1911224	26333
human_vs_human	1711398	1911249	12467
human_vs_human	1711398	1911252	22777
human_vs_human	1711398	1911259	12471
human_vs_human	1711398	2011173	12479
human_vs_human	1711398	2011209	12473
human_vs_human	1711398	2111060	26334
human_vs_human	1711398	2211099	12695
human_vs_human	1711398	2211100	26388
human_vs_human	1711398	2211101	26333
human_vs_human	1711398	2211102	26375
human_vs_human	1711398	2211106	12498
human_vs_human	1811171	1811172	20
human_vs_human	1811171	1811173	26307
human_vs_human	1811171	1811174	25
human_vs_human	1811171	1811285	40666
human_vs_human	1811171	1811288	26289
human_vs_human	1811171	1811308	19
human_vs_human	1811171	1911217	26079
human_vs_human	1811171	1911224	411
human_vs_human	1811171	1911249	26118
human_vs_human	1811171	1911252	26530
human_vs_human	1811171	1911259	26117
human_vs_human	1811171	2011173	26128
human_vs_human	1811171	2011209	26118
human_vs_human	1811171	2111060	413
human_vs_human	1811171	2211099	26289
human_vs_human	1811171	2211100	641
human_vs_human	1811171	2211101	409
human_vs_human	1811171	2211102	158
human_vs_human	1811171	2211106	26136
human_vs_human	1811172	1811173	26290
human_vs_human	1811172	1811174	7
human_vs_human	1811172	1811285	40649
human_vs_human	1811172	1811288	26272
human_vs_human	1811172	1811308	3
human_vs_human	1811172	1911217	26062
human_vs_human	1811172	1911224	393
human_vs_human	1811172	1911249	26101
human_vs_human	1811172	1911252	26515
human_vs_human	1811172	1911259	26100
human_vs_human	1811172	2011173	26111
human_vs_human	1811172	2011209	26101
human_vs_human	1811172	2111060	395
human_vs_human	1811172	2211099	26272
human_vs_human	1811172	2211100	623
human_vs_human	1811172	2211101	391
human_vs_human	1811172	2211102	140
human_vs_human	1811172	2211106	26119
human_vs_human	1811173	1811174	26285
human_vs_human	1811173	1811285	41033
human_vs_human	1811173	1811288	750
human_vs_human	1811173	1811308	26293
human_vs_human	1811173	1911217	1735
human_vs_human	1811173	1911224	26219
human_vs_human	1811173	1911249	493
human_vs_human	1811173	1911252	22522
human_vs_human	1811173	1911259	495
human_vs_human	1811173	2011173	503
human_vs_human	1811173	2011209	497
human_vs_human	1811173	2111060	26218
human_vs_human	1811173	2211099	750
human_vs_human	1811173	2211100	26271
human_vs_human	1811173	2211101	26219
human_vs_human	1811173	2211102	26260
human_vs_human	1811173	2211106	523
human_vs_human	1811174	1811285	40654
human_vs_human	1811174	1811288	26267
human_vs_human	1811174	1811308	8
human_vs_human	1811174	1911217	26057
human_vs_human	1811174	1911224	386
human_vs_human	1811174	1911249	26096
human_vs_human	1811174	1911252	26508
human_vs_human	1811174	1911259	26095
human_vs_human	1811174	2011173	26106
human_vs_human	1811174	2011209	26096
human_vs_human	1811174	2111060	388
human_vs_human	1811174	2211099	26267
human_vs_human	1811174	2211100	628
human_vs_human	1811174	2211101	384
human_vs_human	1811174	2211102	145
human_vs_human	1811174	2211106	26114
human_vs_human	1811285	1811288	41000
human_vs_human	1811285	1811308	40650
human_vs_human	1811285	1911217	40921
human_vs_human	1811285	1911224	40604
human_vs_human	1811285	1911249	40850
human_vs_human	1811285	1911252	40720
human_vs_human	1811285	1911259	40852
human_vs_human	1811285	2011173	40859
human_vs_human	1811285	2011209	40852
human_vs_human	1811285	2111060	40605
human_vs_human	1811285	2211099	41000
human_vs_human	1811285	2211100	40585
human_vs_human	1811285	2211101	40601
human_vs_human	1811285	2211102	40623
human_vs_human	1811285	2211106	40866
human_vs_human	1811288	1811308	26275
human_vs_human	1811288	1911217	1764
human_vs_human	1811288	1911224	26201
human_vs_human	1811288	1911249	549
human_vs_human	1811288	1911252	22520
human_vs_human	1811288	1911259	551
human_vs_human	1811288	2011173	559
human_vs_human	1811288	2011209	553
human_vs_human	1811288	2111060	26200
human_vs_human	1811288	2211099	6
human_vs_human	1811288	2211100	26251
human_vs_human	1811288	2211101	26201
human_vs_human	1811288	2211102	26242
human_vs_human	1811288	2211106	579
human_vs_human	1811308	1911217	26065
human_vs_human	1811308	1911224	394
human_vs_human	1811308	1911249	26104
human_vs_human	1811308	1911252	26516
human_vs_human	1811308	1911259	26103
human_vs_human	1811308	2011173	26114
human_vs_human	1811308	2011209	26104
human_vs_human	1811308	2111060	396
human_vs_human	1811308	2211099	26275
human_vs_human	1811308	2211100	624
human_vs_human	1811308	2211101	392
human_vs_human	1811308	2211102	141
human_vs_human	1811308	2211106	26122
human_vs_human	1911217	1911224	25991
human_vs_human	1911217	1911249	1537
human_vs_human	1911217	1911252	22266
human_vs_human	1911217	1911259	1539
human_vs_human	1911217	2011173	1547
human_vs_human	1911217	2011209	1541
human_vs_human	1911217	2111060	25993
human_vs_human	1911217	2211099	1764
human_vs_human	1911217	2211100	26045
human_vs_human	1911217	2211101	25991
human_vs_human	1911217	2211102	26032
human_vs_human	1911217	2211106	1565
human_vs_human	1911224	1911249	26030
human_vs_human	1911224	1911252	26443
human_vs_human	1911224	1911259	26029
human_vs_human	1911224	2011173	26040
human_vs_human	1911224	2011209	26030
human_vs_human	1911224	2111060	8
human_vs_human	1911224	2211099	26201
human_vs_human	1911224	2211100	561
human_vs_human	1911224	2211101	5
human_vs_human	1911224	2211102	363
human_vs_human	1911224	2211106	26048
human_vs_human	1911249	1911252	22322
human_vs_human	1911249	1911259	140
human_vs_human	1911249	2011173	144
human_vs_human	1911249	2011209	140
human_vs_human	1911249	2111060	26029
human_vs_human	1911249	2211099	549
human_vs_human	1911249	2211100	26082
human_vs_human	1911249	2211101	26030
human_vs_human	1911249	2211102	26071
human_vs_human	1911249	2211106	163
human_vs_human	1911252	1911259	22324
human_vs_human	1911252	2011173	22331
human_vs_human	1911252	2011209	22322
human_vs_human	1911252	2111060	26440
human_vs_human	1911252	2211099	22520
human_vs_human	1911252	2211100	26458
human_vs_human	1911252	2211101	26443
human_vs_human	1911252	2211102	26484
human_vs_human	1911252	2211106	22347
human_vs_human	1911259	2011173	150
human_vs_human	1911259	2011209	4
human_vs_human	1911259	2111060	26028
human_vs_human	1911259	2211099	551
human_vs_human	1911259	2211100	26080
human_vs_human	1911259	2211101	26029
human_vs_human	1911259	2211102	26070
human_vs_human	1911259	2211106	170
human_vs_human	2011173	2011209	150
human_vs_human	2011173	2111060	26039
human_vs_human	2011173	2211099	559
human_vs_human	2011173	2211100	26092
human_vs_human	2011173	2211101	26040
human_vs_human	2011173	2211102	26081
human_vs_human	2011173	2211106	51
human_vs_human	2011209	2111060	26029
human_vs_human	2011209	2211099	553
human_vs_human	2011209	2211100	26081
human_vs_human	2011209	2211101	26030
human_vs_human	2011209	2211102	26071
human_vs_human	2011209	2211106	170
human_vs_human	2111060	2211099	26200
human_vs_human	2111060	2211100	562
human_vs_human	2111060	2211101	7
human_vs_human	2111060	2211102	365
human_vs_human	2111060	2211106	26047
human_vs_human	2211099	2211100	26251
human_vs_human	2211099	2211101	26201
