pair_type	I1	I2	dist
human_vs_food	1711067	1712022	14958
human_vs_food	1711067	1812102	4317
human_vs_food	1711067	2112036	4290
human_vs_food	1711068	1712022	14961
human_vs_food	1711068	1812102	4322
human_vs_food	1711068	2112036	4287
human_vs_food	1711220	1712022	29999
human_vs_food	1711220	1812102	29943
human_vs_food	1711220	2112036	29912
human_vs_food	1711221	1712022	16540
human_vs_food	1711221	1812102	93
human_vs_food	1711221	2112036	103
human_vs_food	1711376	1712022	15759
human_vs_food	1711376	1812102	3274
human_vs_food	1711376	2112036	3247
human_vs_food	1711377	1712022	14956
human_vs_food	1711377	1812102	4317
human_vs_food	1711377	2112036	4282
human_vs_food	1711378	1712022	16656
human_vs_food	1711378	1812102	68
human_vs_food	1711378	2112036	95
human_vs_food	1711379	1712022	16654
human_vs_food	1711379	1812102	64
human_vs_food	1711379	2112036	99
human_vs_food	1811043	1712022	16650
human_vs_food	1811043	1812102	0
human_vs_food	1811043	2112036	95
human_vs_food	1811044	1712022	16654
human_vs_food	1811044	1812102	8
human_vs_food	1811044	2112036	93
human_vs_food	1811045	1712022	16650
human_vs_food	1811045	1812102	2
human_vs_food	1811045	2112036	95
human_vs_food	1811046	1712022	16650
human_vs_food	1811046	1812102	2
human_vs_food	1811046	2112036	95
human_vs_food	1811047	1712022	16651
human_vs_food	1811047	1812102	5
human_vs_food	1811047	2112036	90
human_vs_food	1811160	1712022	14961
human_vs_food	1811160	1812102	4310
human_vs_food	1811160	2112036	4293
human_vs_food	1811279	1712022	16624
human_vs_food	1811279	1812102	48
human_vs_food	1811279	2112036	69
human_vs_food	1811297	1712022	16662
human_vs_food	1811297	1812102	72
human_vs_food	1811297	2112036	107
human_vs_food	1911234	1712022	16649
human_vs_food	1911234	1812102	61
human_vs_food	1911234	2112036	88
human_vs_food	1911257	1712022	16670
human_vs_food	1911257	1812102	57
human_vs_food	1911257	2112036	110
human_vs_food	2011142	1712022	16673
human_vs_food	2011142	1812102	86
human_vs_food	2011142	2112036	113
human_vs_food	2011144	1712022	16649
human_vs_food	2011144	1812102	61
human_vs_food	2011144	2112036	88
human_vs_food	2011163	1712022	14956
human_vs_food	2011163	1812102	4315
human_vs_food	2011163	2112036	4288
human_vs_food	2011164	1712022	16663
human_vs_food	2011164	1812102	75
human_vs_food	2011164	2112036	102
human_vs_food	2011189	1712022	16663
human_vs_food	2011189	1812102	51
human_vs_food	2011189	2112036	102
human_vs_food	2111039	1712022	16692
human_vs_food	2111039	1812102	110
human_vs_food	2111039	2112036	133
human_vs_food	2111070	1712022	16617
human_vs_food	2111070	1812102	45
human_vs_food	2111070	2112036	56
human_vs_food	2111085	1712022	16695
human_vs_food	2111085	1812102	1225
human_vs_food	2111085	2112036	1198
human_vs_food	2111127	1712022	14963
human_vs_food	2111127	1812102	4337
human_vs_food	2111127	2112036	4306
