pair_type	I1	I2	dist
human_vs_human	1711056	1711233	93
human_vs_human	1711056	1711344	102
human_vs_human	1711056	1711391	65
human_vs_human	1711056	1811067	110
human_vs_human	1711056	1811177	159
human_vs_human	1711056	1811315	60
human_vs_human	1711056	1911184	59
human_vs_human	1711056	1911185	141
human_vs_human	1711056	1911195	96
human_vs_human	1711056	1911203	81
human_vs_human	1711056	1911258	157
human_vs_human	1711056	1911261	60
human_vs_human	1711056	1911263	56
human_vs_human	1711056	2011015	68
human_vs_human	1711056	2011146	67
human_vs_human	1711056	2011159	70
human_vs_human	1711056	2011188	143
human_vs_human	1711056	2011211	73
human_vs_human	1711056	2111052	158
human_vs_human	1711056	2111073	97
human_vs_human	1711056	2111075	74
human_vs_human	1711056	2111092	93
human_vs_human	1711056	2111108	152
human_vs_human	1711056	2111109	152
human_vs_human	1711056	2111115	91
human_vs_human	1711056	2211080	87
human_vs_human	1711056	2211081	103
human_vs_human	1711056	2211082	86
human_vs_human	1711233	1711344	143
human_vs_human	1711233	1711391	132
human_vs_human	1711233	1811067	177
human_vs_human	1711233	1811177	200
human_vs_human	1711233	1811315	127
human_vs_human	1711233	1911184	126
human_vs_human	1711233	1911185	182
human_vs_human	1711233	1911195	163
human_vs_human	1711233	1911203	148
human_vs_human	1711233	1911258	198
human_vs_human	1711233	1911261	107
human_vs_human	1711233	1911263	103
human_vs_human	1711233	2011015	109
human_vs_human	1711233	2011146	133
human_vs_human	1711233	2011159	133
human_vs_human	1711233	2011188	210
human_vs_human	1711233	2011211	114
human_vs_human	1711233	2111052	199
human_vs_human	1711233	2111073	164
human_vs_human	1711233	2111075	121
human_vs_human	1711233	2111092	134
human_vs_human	1711233	2111108	193
human_vs_human	1711233	2111109	193
human_vs_human	1711233	2111115	132
human_vs_human	1711233	2211080	153
human_vs_human	1711233	2211081	144
human_vs_human	1711233	2211082	127
human_vs_human	1711344	1711391	141
human_vs_human	1711344	1811067	185
human_vs_human	1711344	1811177	198
human_vs_human	1711344	1811315	136
human_vs_human	1711344	1911184	135
human_vs_human	1711344	1911185	181
human_vs_human	1711344	1911195	172
human_vs_human	1711344	1911203	157
human_vs_human	1711344	1911258	197
human_vs_human	1711344	1911261	116
human_vs_human	1711344	1911263	112
human_vs_human	1711344	2011015	72
human_vs_human	1711344	2011146	143
