pair_type	I1	I2	dist
Human_vs_Animal	HP12145	30-CJ-B-150-1-20	483
Human_vs_Animal	HP12145	30-CJ-B-207-1-39	550
Human_vs_Animal	HP12145	30-CJ-B-93-1-10	338
Human_vs_Animal	HP12145	R1-Cj-B-100	563
Human_vs_Animal	HP12145	R1-Cj-B-15	518
Human_vs_Animal	HP12145	R1-Cj-B-25	484
Human_vs_Animal	HP12145	R1-Cj-B-32	725
Human_vs_Animal	HP12145	R1-Cj-B-51	832
Human_vs_Animal	HP12145	R1-Cj-B-6	233
Human_vs_Animal	HP12145	R1-Cj-B-8	703
Human_vs_Animal	HP12145	R2-Cj-B-119	774
Human_vs_Animal	HP12145	R2-Cj-B-13	435
Human_vs_Animal	HP12145	R2-Cj-B-4	663
Human_vs_Animal	HP12145	R2-Cj-B-57	372
Human_vs_Animal	HP12145	R2-Cj-B-66	545
Human_vs_Animal	HP12145	R2-Cj-B-75	614
Human_vs_Animal	HP12532	30-CJ-B-150-1-20	198
Human_vs_Animal	HP12532	30-CJ-B-207-1-39	211
Human_vs_Animal	HP12532	30-CJ-B-93-1-10	361
Human_vs_Animal	HP12532	R1-Cj-B-100	514
Human_vs_Animal	HP12532	R1-Cj-B-15	233
Human_vs_Animal	HP12532	R1-Cj-B-25	451
Human_vs_Animal	HP12532	R1-Cj-B-32	590
Human_vs_Animal	HP12532	R1-Cj-B-51	553
Human_vs_Animal	HP12532	R1-Cj-B-6	528
Human_vs_Animal	HP12532	R1-Cj-B-8	940
Human_vs_Animal	HP12532	R2-Cj-B-119	592
Human_vs_Animal	HP12532	R2-Cj-B-13	537
Human_vs_Animal	HP12532	R2-Cj-B-4	550
Human_vs_Animal	HP12532	R2-Cj-B-57	450
Human_vs_Animal	HP12532	R2-Cj-B-66	430
Human_vs_Animal	HP12532	R2-Cj-B-75	639
Human_vs_Animal	HP12558	30-CJ-B-150-1-20	712
Human_vs_Animal	HP12558	30-CJ-B-207-1-39	747
Human_vs_Animal	HP12558	30-CJ-B-93-1-10	690
Human_vs_Animal	HP12558	R1-Cj-B-100	775
Human_vs_Animal	HP12558	R1-Cj-B-15	711
Human_vs_Animal	HP12558	R1-Cj-B-25	729
Human_vs_Animal	HP12558	R1-Cj-B-32	370
Human_vs_Animal	HP12558	R1-Cj-B-51	1072
Human_vs_Animal	HP12558	R1-Cj-B-6	798
Human_vs_Animal	HP12558	R1-Cj-B-8	1187
Human_vs_Animal	HP12558	R2-Cj-B-119	418
Human_vs_Animal	HP12558	R2-Cj-B-13	933
Human_vs_Animal	HP12558	R2-Cj-B-4	864
Human_vs_Animal	HP12558	R2-Cj-B-57	717
Human_vs_Animal	HP12558	R2-Cj-B-66	777
Human_vs_Animal	HP12558	R2-Cj-B-75	951
Human_vs_Animal	HP12559	30-CJ-B-150-1-20	588
Human_vs_Animal	HP12559	30-CJ-B-207-1-39	619
Human_vs_Animal	HP12559	30-CJ-B-93-1-10	597
Human_vs_Animal	HP12559	R1-Cj-B-100	720
Human_vs_Animal	HP12559	R1-Cj-B-15	586
Human_vs_Animal	HP12559	R1-Cj-B-25	693
Human_vs_Animal	HP12559	R1-Cj-B-32	255
Human_vs_Animal	HP12559	R1-Cj-B-51	947
Human_vs_Animal	HP12559	R1-Cj-B-6	773
Human_vs_Animal	HP12559	R1-Cj-B-8	1110
Human_vs_Animal	HP12559	R2-Cj-B-119	298
Human_vs_Animal	HP12559	R2-Cj-B-13	771
Human_vs_Animal	HP12559	R2-Cj-B-4	811
Human_vs_Animal	HP12559	R2-Cj-B-57	686
Human_vs_Animal	HP12559	R2-Cj-B-66	710
Human_vs_Animal	HP12559	R2-Cj-B-75	875
Human_vs_Animal	HP12581	30-CJ-B-150-1-20	505
Human_vs_Animal	HP12581	30-CJ-B-207-1-39	488
Human_vs_Animal	HP12581	30-CJ-B-93-1-10	524
Human_vs_Animal	HP12581	R1-Cj-B-100	689
Human_vs_Animal	HP12581	R1-Cj-B-15	506
Human_vs_Animal	HP12581	R1-Cj-B-25	576
Human_vs_Animal	HP12581	R1-Cj-B-32	178
Human_vs_Animal	HP12581	R1-Cj-B-51	852
Human_vs_Animal	HP12581	R1-Cj-B-6	698
Human_vs_Animal	HP12581	R1-Cj-B-8	1035
Human_vs_Animal	HP12581	R2-Cj-B-119	160
Human_vs_Animal	HP12581	R2-Cj-B-13	670
Human_vs_Animal	HP12581	R2-Cj-B-4	636
Human_vs_Animal	HP12581	R2-Cj-B-57	612
Human_vs_Animal	HP12581	R2-Cj-B-66	630
Human_vs_Animal	HP12581	R2-Cj-B-75	802
Human_vs_Animal	HP12643	30-CJ-B-150-1-20	578
Human_vs_Animal	HP12643	30-CJ-B-207-1-39	645
Human_vs_Animal	HP12643	30-CJ-B-93-1-10	555
Human_vs_Animal	HP12643	R1-Cj-B-100	718
Human_vs_Animal	HP12643	R1-Cj-B-15	575
Human_vs_Animal	HP12643	R1-Cj-B-25	656
Human_vs_Animal	HP12643	R1-Cj-B-32	234
Human_vs_Animal	HP12643	R1-Cj-B-51	937
Human_vs_Animal	HP12643	R1-Cj-B-6	721
Human_vs_Animal	HP12643	R1-Cj-B-8	1061
Human_vs_Animal	HP12643	R2-Cj-B-119	322
Human_vs_Animal	HP12643	R2-Cj-B-13	825
Human_vs_Animal	HP12643	R2-Cj-B-4	830
Human_vs_Animal	HP12643	R2-Cj-B-57	637
Human_vs_Animal	HP12643	R2-Cj-B-66	696
Human_vs_Animal	HP12643	R2-Cj-B-75	815
Human_vs_Animal	HP12654	30-CJ-B-150-1-20	664
Human_vs_Animal	HP12654	30-CJ-B-207-1-39	731
Human_vs_Animal	HP12654	30-CJ-B-93-1-10	521
Human_vs_Animal	HP12654	R1-Cj-B-100	748
Human_vs_Animal	HP12654	R1-Cj-B-15	696
Human_vs_Animal	HP12654	R1-Cj-B-25	665
Human_vs_Animal	HP12654	R1-Cj-B-32	877
Human_vs_Animal	HP12654	R1-Cj-B-51	1013
Human_vs_Animal	HP12654	R1-Cj-B-6	437
Human_vs_Animal	HP12654	R1-Cj-B-8	826
Human_vs_Animal	HP12654	R2-Cj-B-119	927
Human_vs_Animal	HP12654	R2-Cj-B-13	597
Human_vs_Animal	HP12654	R2-Cj-B-4	853
Human_vs_Animal	HP12654	R2-Cj-B-57	553
Human_vs_Animal	HP12654	R2-Cj-B-66	741
Human_vs_Animal	HP12654	R2-Cj-B-75	785
