indID	IS1006-21	IS102-21	IS1133-19	IS2-5	IS21-7	IS26-21	IS285-15	IS285-16	IS285-9	IS3-21	IS421-28	IS5-18	IS5075-14	IS5075-26	IS609-13	IS6100-5	IS629-25	IS630-11	IS630-14	IS630-18	IS630-6	IS640-17	IS679-22	ISAba1-19	ISAeme22-21	ISAs17-23	ISAs29-17	ISAve3-15	ISCfr26-17	ISCfr27-21	ISCfr27-6	ISCfr3-16	ISCfr4-14	ISCro1-23	ISCro3-10	ISEae1-23	ISEal1-24	ISEam1-18	ISEc10-17	ISEc10-24	ISEc11-17	ISEc11-21	ISEc11-23	ISEc12-1	ISEc15-8	ISEc18-12	ISEc21-24	ISEc30-16	ISEc30-20	ISEc37-21	ISEc39-1	ISEc39-5	ISEc42-16	ISEc5-16	ISEc5-19	ISEc57-18	ISEc58-11	ISEc59-16	ISEc62-26	ISEc78-21	ISEc8-16	ISEc9-14	ISEch12-12	ISEch12-8	ISEch5-18	ISEch5-18_2	ISEcl10-12	ISEcl10-18	ISEcl10-20	ISEcl3-26	ISEhe3-12	ISEhe3-9	ISEic2-28	ISErsp1-6	ISEsa1-18	ISEsa2-21	ISKox3-10	ISKox3-19	ISKpn18-19	ISKpn19-25	ISKpn2-1	ISKpn2-18	ISKpn26-22	ISKpn40-25	ISKpn47-25	ISKpn50-22	ISKpn72-18	ISKpn74-19	ISKpn8-19	ISKpn8-23	ISLad1-11	ISLad6-17	ISLad6-22	ISPcc4-22	ISPrre1-20	ISRor2-15	ISRor2-17	ISRor2-26	ISRor2-6	ISRor2-6_2	ISRor3-16	ISRor3-18	ISRor3-19	ISSde5-17	ISSen1-2	ISSen1-20	ISSen11-20	ISSen13-16	ISSen4-13	ISSen6-7	ISSen7-11	ISSen7-19	ISSen8-14	ISSen9-21	ISSen9-21_2	ISSen9-8	ISSfl4-19	ISSfl7-14	ISSfl8-18	ISShdy4-8	ISSpr2-16	ISSso4-18	ISSso4-23	ISSso6-23	ISSty2-17	ISSty2-2	ISSty2-7	ISVch4-18	ISVsa3-20	MITEEc1-12	MITEEc1-13	MITEEc1-15	MITEEc1-2	MITEEc1-27	MITEEc1-4	MITEEc1-4_2	MITEEc1-9	MITEEc1-9_2	MITEPlu5-13	MITEPlu5-2	MITESen1-24	MITESen1-26	MITESen1-7	MITESen1-8	MITEYpe1-1	MITEYpe1-10	MITEYpe1-10_2	MITEYpe1-11	MITEYpe1-13	MITEYpe1-16	MITEYpe1-16_2	MITEYpe1-17	MITEYpe1-3	MITEYpe1-4	MITEYpe1-5	MITEYpe1-6	MITEYpe1-7	MITEYpe1-7_2	MITEYpe1-9	Tn1721-22	Tn2-19	Tn4656-15	Tn4656-20	Tn5403-21	Tn6024-14	Tn6061-20	Tn6196-18	TnEc1-10	TnEc1-8	cn_10260_ISEcl10-9_8	cn_12011_ISRor3-20_19	cn_1368_ISEcl10-8_7	cn_13832_ISSfl7-15_14	cn_17275_ISSen9-16_15	cn_1768_ISSen1-20_19	cn_20502_IS26-23_21_22	cn_25832_ISEcl10-16_15	cn_31887_ISRor2-7_6	cn_3515_ISSen9-5_4	cn_3517_ISSen9-9_8	cn_3837_ISRor3-17_16	cn_40366_ISSen9-15_13_14	cn_4376_ISSty2-16_15	cn_49622_ISEcl10-8_7	cn_5129_ISVsa3-21_20	cn_5447_ISEc39-19_18	cn_5718_ISSen9-22_21	cn_6758_IS285-8_7	cn_8312_ISRor3-19_18	cn_9074_ISEc30-18_16_17
mefinder_30-Sal-C-10-2-1-7_mge_sequences.fna	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	0	1	0	0	0	0	0	1	1	0	1	0	1	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mefinder_30-Sal-C-100-1-1-119_mge_sequences.fna	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	0	1	0	0	0	0	0	1	1	0	1	0	1	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mefinder_30-Sal-C-101-1-1-121_mge_sequences.fna	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	0	1	0	0	0	0	0	1	1	0	1	0	1	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mefinder_30-Sal-C-102-2-1-123_mge_sequences.fna	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	0	1	0	0	0	0	0	1	1	0	1	0	1	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mefinder_30-Sal-C-103-1-1-124_mge_sequences.fna	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	0	1	0	0	0	0	0	1	1	0	1	0	1	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mefinder_30-Sal-C-104-1-1-126_mge_sequences.fna	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	0	1	0	0	0	0	0	1	1	0	1	0	1	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mefinder_30-Sal-C-106-1-1-130_mge_sequences.fna	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	0	1	0	0	0	0	0	1	1	0	1	0	1	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mefinder_30-Sal-C-107-1-1-132_mge_sequences.fna	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	0	1	0	0	0	0	0	1	1	0	1	0	1	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mefinder_30-Sal-C-108-1-1-134_mge_sequences.fna	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	1	1	0	1	0	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mefinder_30-Sal-C-11-1-1-8_mge_sequences.fna	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	1	1	0	1	0	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
