pair_type	I1	I2	dist
human_vs_food	1711225	1712038	127
human_vs_food	1711225	1712039	129
human_vs_food	1711225	1812068	598
human_vs_food	1711225	1912026	157
human_vs_food	1711226	1712038	357
human_vs_food	1711226	1712039	360
human_vs_food	1711226	1812068	650
human_vs_food	1711226	1912026	388
human_vs_food	1711373	1712038	473
human_vs_food	1711373	1712039	475
human_vs_food	1711373	1812068	696
human_vs_food	1711373	1912026	503
human_vs_food	1811023	1712038	486
human_vs_food	1811023	1712039	488
human_vs_food	1811023	1812068	709
human_vs_food	1811023	1912026	516
human_vs_food	1811142	1712038	126
human_vs_food	1811142	1712039	128
human_vs_food	1811142	1812068	598
human_vs_food	1811142	1912026	156
human_vs_food	1811276	1712038	124
human_vs_food	1811276	1712039	126
human_vs_food	1811276	1812068	596
human_vs_food	1811276	1912026	154
human_vs_food	1811294	1712038	160
human_vs_food	1811294	1712039	161
human_vs_food	1811294	1812068	600
human_vs_food	1811294	1912026	190
human_vs_food	1911063	1712038	365
human_vs_food	1911063	1712039	368
human_vs_food	1911063	1812068	658
human_vs_food	1911063	1912026	396
human_vs_food	1911208	1712038	430
human_vs_food	1911208	1712039	432
human_vs_food	1911208	1812068	649
human_vs_food	1911208	1912026	460
human_vs_food	1911209	1712038	499
human_vs_food	1911209	1712039	501
human_vs_food	1911209	1812068	722
human_vs_food	1911209	1912026	529
human_vs_food	1911218	1712038	351
human_vs_food	1911218	1712039	354
human_vs_food	1911218	1812068	644
human_vs_food	1911218	1912026	382
human_vs_food	1911229	1712038	387
human_vs_food	1911229	1712039	385
human_vs_food	1911229	1812068	417
human_vs_food	1911229	1912026	417
human_vs_food	2011031	1712038	697
human_vs_food	2011031	1712039	695
human_vs_food	2011031	1812068	731
human_vs_food	2011031	1912026	727
human_vs_food	2011137	1712038	179
human_vs_food	2011137	1712039	181
human_vs_food	2011137	1812068	618
human_vs_food	2011137	1912026	209
human_vs_food	2011148	1712038	97
human_vs_food	2011148	1712039	99
human_vs_food	2011148	1812068	583
human_vs_food	2011148	1912026	127
human_vs_food	2011152	1712038	366
human_vs_food	2011152	1712039	369
human_vs_food	2011152	1812068	659
human_vs_food	2011152	1912026	397
human_vs_food	2111042	1712038	435
human_vs_food	2111042	1712039	437
human_vs_food	2111042	1812068	653
human_vs_food	2111042	1912026	464
human_vs_food	2111064	1712038	486
human_vs_food	2111064	1712039	488
human_vs_food	2111064	1812068	707
human_vs_food	2111064	1912026	516
human_vs_food	2111074	1712038	495
human_vs_food	2111074	1712039	497
human_vs_food	2111074	1812068	718
human_vs_food	2111074	1912026	525
human_vs_food	2111098	1712038	415
human_vs_food	2111098	1712039	417
human_vs_food	2111098	1812068	637
human_vs_food	2111098	1912026	445
human_vs_food	2111100	1712038	480
human_vs_food	2111100	1712039	482
human_vs_food	2111100	1812068	701
human_vs_food	2111100	1912026	510
human_vs_food	2111114	1712038	915
human_vs_food	2111114	1712039	917
human_vs_food	2111114	1812068	1139
human_vs_food	2111114	1912026	945
human_vs_food	2111116	1712038	153
human_vs_food	2111116	1712039	155
human_vs_food	2111116	1812068	625
human_vs_food	2111116	1912026	183
human_vs_food	2111119	1712038	916
human_vs_food	2111119	1712039	918
human_vs_food	2111119	1812068	1140
human_vs_food	2111119	1912026	946
human_vs_food	2211222	1712038	358
human_vs_food	2211222	1712039	361
human_vs_food	2211222	1812068	649
human_vs_food	2211222	1912026	389
human_vs_food	2211229	1712038	479
human_vs_food	2211229	1712039	477
human_vs_food	2211229	1812068	503
human_vs_food	2211229	1912026	509
human_vs_food	2211230	1712038	438
human_vs_food	2211230	1712039	440
human_vs_food	2211230	1812068	662
human_vs_food	2211230	1912026	468
human_vs_food	2211231	1712038	430
human_vs_food	2211231	1712039	428
human_vs_food	2211231	1812068	461
human_vs_food	2211231	1912026	460
human_vs_food	2211232	1712038	428
human_vs_food	2211232	1712039	430
human_vs_food	2211232	1812068	650
human_vs_food	2211232	1912026	458
human_vs_food	2211233	1712038	435
human_vs_food	2211233	1712039	437
human_vs_food	2211233	1812068	657
human_vs_food	2211233	1912026	465
human_vs_food	2211234	1712038	126
human_vs_food	2211234	1712039	128
human_vs_food	2211234	1812068	598
human_vs_food	2211234	1912026	156
