pair_type	I1	I2	dist
human_vs_food	1811011	1712079	29
human_vs_food	1811011	1712081	17
human_vs_food	1811011	1712083	18
human_vs_food	1811011	1712084	11
human_vs_food	1811011	1712086	12
human_vs_food	1811011	1812018	17
human_vs_food	1811011	1812026	26
human_vs_food	1811011	1812076	9
human_vs_food	1811011	1812077	15
human_vs_food	1811011	1812078	15
human_vs_food	1811011	1912012	23
human_vs_food	1811011	1912022	15
human_vs_food	1811011	1912084	14
human_vs_food	1811011	2012017	11
human_vs_food	1811011	2112097	40046
human_vs_food	2011136	1712079	4807
human_vs_food	2011136	1712081	4809
human_vs_food	2011136	1712083	4796
human_vs_food	2011136	1712084	4803
human_vs_food	2011136	1712086	4805
human_vs_food	2011136	1812018	4809
human_vs_food	2011136	1812026	4804
human_vs_food	2011136	1812076	4801
human_vs_food	2011136	1812077	4807
human_vs_food	2011136	1812078	4807
human_vs_food	2011136	1912012	4815
human_vs_food	2011136	1912022	4807
human_vs_food	2011136	1912084	4806
human_vs_food	2011136	2012017	4809
human_vs_food	2011136	2112097	40288
