pair_type	I1	I2	dist
Human_vs_Animal	HP12193	S-LS-30-CJ-C-21-1-1-12	9247
Human_vs_Animal	HP12193	S-LS-30-CJ-C-79-1-1-47	3633
Human_vs_Animal	HP12193	S-LS-30-CJ-C-84-1-1-51	9085
Human_vs_Animal	HP12193	S-FF-R3-CJ-C-1-1-1-7	8548
Human_vs_Animal	HP12193	S-FF-R3-CJ-C-2-2-1-38	8838
Human_vs_Animal	HP12193	S-FF-R3-CJ-C-4-1-1-90	8890
Human_vs_Animal	HP12193	S-FF-R1-CJ-C-7-1-1-55	8848
Human_vs_Animal	HP12193	S-FF-R2-CJ-C-4-1-1-27	3265
Human_vs_Animal	HP12193	S-FF-R2-CJ-C-1-1-1-74	8980
Human_vs_Animal	HP12193	S-FF-R2-CJ-C-3-1-1-78	1149
Human_vs_Animal	HP12193	S-FF-R2-CJ-C-4-1-1-79	8953
Human_vs_Animal	HP12193	S-FF-R2-CJ-C-5-1-1-81	8840
Human_vs_Animal	HP12193	S-FF-R2-CJ-C-6-2-1-83	9561
Human_vs_Animal	HP12193	S-FF-R2-CJ-C-7-1-1-84	9559
Human_vs_Animal	HP12193	S-FF-R2-CJ-C-2-1-1-86	4814
Human_vs_Animal	HP12194	S-LS-30-CJ-C-21-1-1-12	9366
Human_vs_Animal	HP12194	S-LS-30-CJ-C-79-1-1-47	3477
Human_vs_Animal	HP12194	S-LS-30-CJ-C-84-1-1-51	9025
Human_vs_Animal	HP12194	S-FF-R3-CJ-C-1-1-1-7	8264
Human_vs_Animal	HP12194	S-FF-R3-CJ-C-2-2-1-38	8802
Human_vs_Animal	HP12194	S-FF-R3-CJ-C-4-1-1-90	9062
Human_vs_Animal	HP12194	S-FF-R1-CJ-C-7-1-1-55	8775
Human_vs_Animal	HP12194	S-FF-R2-CJ-C-4-1-1-27	3133
Human_vs_Animal	HP12194	S-FF-R2-CJ-C-1-1-1-74	8990
Human_vs_Animal	HP12194	S-FF-R2-CJ-C-3-1-1-78	1278
Human_vs_Animal	HP12194	S-FF-R2-CJ-C-4-1-1-79	9164
Human_vs_Animal	HP12194	S-FF-R2-CJ-C-5-1-1-81	9049
Human_vs_Animal	HP12194	S-FF-R2-CJ-C-6-2-1-83	9529
Human_vs_Animal	HP12194	S-FF-R2-CJ-C-7-1-1-84	9542
Human_vs_Animal	HP12194	S-FF-R2-CJ-C-2-1-1-86	4940
Human_vs_Animal	HP12195	S-LS-30-CJ-C-21-1-1-12	8593
Human_vs_Animal	HP12195	S-LS-30-CJ-C-79-1-1-47	6383
Human_vs_Animal	HP12195	S-LS-30-CJ-C-84-1-1-51	8762
Human_vs_Animal	HP12195	S-FF-R3-CJ-C-1-1-1-7	8158
Human_vs_Animal	HP12195	S-FF-R3-CJ-C-2-2-1-38	8948
Human_vs_Animal	HP12195	S-FF-R3-CJ-C-4-1-1-90	8821
Human_vs_Animal	HP12195	S-FF-R1-CJ-C-7-1-1-55	8632
Human_vs_Animal	HP12195	S-FF-R2-CJ-C-4-1-1-27	6118
Human_vs_Animal	HP12195	S-FF-R2-CJ-C-1-1-1-74	8547
Human_vs_Animal	HP12195	S-FF-R2-CJ-C-3-1-1-78	6329
Human_vs_Animal	HP12195	S-FF-R2-CJ-C-4-1-1-79	9058
Human_vs_Animal	HP12195	S-FF-R2-CJ-C-5-1-1-81	8903
Human_vs_Animal	HP12195	S-FF-R2-CJ-C-6-2-1-83	8548
Human_vs_Animal	HP12195	S-FF-R2-CJ-C-7-1-1-84	8567
Human_vs_Animal	HP12195	S-FF-R2-CJ-C-2-1-1-86	7388
Human_vs_Animal	HP12541	S-LS-30-CJ-C-21-1-1-12	8201
Human_vs_Animal	HP12541	S-LS-30-CJ-C-79-1-1-47	6108
Human_vs_Animal	HP12541	S-LS-30-CJ-C-84-1-1-51	8397
Human_vs_Animal	HP12541	S-FF-R3-CJ-C-1-1-1-7	8159
Human_vs_Animal	HP12541	S-FF-R3-CJ-C-2-2-1-38	8946
Human_vs_Animal	HP12541	S-FF-R3-CJ-C-4-1-1-90	8558
Human_vs_Animal	HP12541	S-FF-R1-CJ-C-7-1-1-55	8364
Human_vs_Animal	HP12541	S-FF-R2-CJ-C-4-1-1-27	5799
Human_vs_Animal	HP12541	S-FF-R2-CJ-C-1-1-1-74	8112
Human_vs_Animal	HP12541	S-FF-R2-CJ-C-3-1-1-78	5983
Human_vs_Animal	HP12541	S-FF-R2-CJ-C-4-1-1-79	8886
Human_vs_Animal	HP12541	S-FF-R2-CJ-C-5-1-1-81	8746
Human_vs_Animal	HP12541	S-FF-R2-CJ-C-6-2-1-83	8544
Human_vs_Animal	HP12541	S-FF-R2-CJ-C-7-1-1-84	8560
Human_vs_Animal	HP12541	S-FF-R2-CJ-C-2-1-1-86	6977
Human_vs_Animal	HP12543	S-LS-30-CJ-C-21-1-1-12	9508
Human_vs_Animal	HP12543	S-LS-30-CJ-C-79-1-1-47	4287
Human_vs_Animal	HP12543	S-LS-30-CJ-C-84-1-1-51	9350
Human_vs_Animal	HP12543	S-FF-R3-CJ-C-1-1-1-7	8905
Human_vs_Animal	HP12543	S-FF-R3-CJ-C-2-2-1-38	9496
Human_vs_Animal	HP12543	S-FF-R3-CJ-C-4-1-1-90	9783
Human_vs_Animal	HP12543	S-FF-R1-CJ-C-7-1-1-55	9068
Human_vs_Animal	HP12543	S-FF-R2-CJ-C-4-1-1-27	4302
Human_vs_Animal	HP12543	S-FF-R2-CJ-C-1-1-1-74	9044
Human_vs_Animal	HP12543	S-FF-R2-CJ-C-3-1-1-78	4128
Human_vs_Animal	HP12543	S-FF-R2-CJ-C-4-1-1-79	10113
Human_vs_Animal	HP12543	S-FF-R2-CJ-C-5-1-1-81	9921
Human_vs_Animal	HP12543	S-FF-R2-CJ-C-6-2-1-83	9640
