pair_type	I1	I2	dist
human_vs_food	1711069	1912103	1726
human_vs_food	1711218	1912103	1720
human_vs_food	1711219	1912103	1731
human_vs_food	1711222	1912103	1725
human_vs_food	1711223	1912103	8
human_vs_food	1711374	1912103	1745
human_vs_food	1811277	1912103	1253
human_vs_food	1811296	1912103	1391
human_vs_food	1911187	1912103	6
human_vs_food	1911202	1912103	1736
human_vs_food	1911232	1912103	1332
human_vs_food	2011145	1912103	10
human_vs_food	2011190	1912103	1712
human_vs_food	2111120	1912103	1394
human_vs_food	2211182	1912103	1398
human_vs_food	2211183	1912103	7
human_vs_food	2211185	1912103	1305
human_vs_food	2211186	1912103	5
human_vs_food	2211199	1912103	1265
