pair_type	I1	I2	dist
human_vs_food	1711079	1812047	25
human_vs_food	1711079	1812059	21
human_vs_food	1711079	1812063	39
human_vs_food	1711079	1812071	46
human_vs_food	1711079	1912076	35
human_vs_food	1711079	2012059	36
human_vs_food	1811072	1812047	10
human_vs_food	1811072	1812059	6
human_vs_food	1811072	1812063	32
human_vs_food	1811072	1812071	37
human_vs_food	1811072	1912076	28
human_vs_food	1811072	2012059	29
human_vs_food	1911085	1812047	24
human_vs_food	1911085	1812059	20
human_vs_food	1911085	1812063	38
human_vs_food	1911085	1812071	45
human_vs_food	1911085	1912076	34
human_vs_food	1911085	2012059	35
