pair_type	I1	I2	dist
Human_vs_Human	HP12145	HP12532	581
Human_vs_Human	HP12145	HP12558	942
Human_vs_Human	HP12145	HP12559	915
Human_vs_Human	HP12145	HP12581	840
Human_vs_Human	HP12145	HP12643	870
Human_vs_Human	HP12532	HP12558	881
Human_vs_Human	HP12532	HP12559	749
Human_vs_Human	HP12532	HP12581	670
Human_vs_Human	HP12532	HP12643	769
Human_vs_Human	HP12558	HP12559	516
Human_vs_Human	HP12558	HP12643	481
Human_vs_Human	HP12559	HP12643	350
Human_vs_Human	HP12581	HP12558	470
Human_vs_Human	HP12581	HP12559	310
Human_vs_Human	HP12581	HP12643	356
Human_vs_Human	HP12654	HP12145	567
Human_vs_Human	HP12654	HP12532	788
Human_vs_Human	HP12654	HP12558	1066
Human_vs_Human	HP12654	HP12559	1069
Human_vs_Human	HP12654	HP12581	995
Human_vs_Human	HP12654	HP12643	1023
