pair_type	I1	I2	dist
human_vs_food	1711056	1712003	85
human_vs_food	1711056	1712004	76
human_vs_food	1711056	1712005	77
human_vs_food	1711056	1712006	86
human_vs_food	1711056	1712007	90
human_vs_food	1711056	1712008	85
human_vs_food	1711056	1712009	76
human_vs_food	1711056	1712010	74
human_vs_food	1711056	1712011	76
human_vs_food	1711056	1712012	60
human_vs_food	1711056	1712013	64
human_vs_food	1711056	1712014	61
human_vs_food	1711056	1712015	60
human_vs_food	1711056	1712016	56
human_vs_food	1711056	1712052	58
human_vs_food	1711056	1712053	62
human_vs_food	1711056	1812013	62
human_vs_food	1711056	1812016	97
human_vs_food	1711056	1812017	60
human_vs_food	1711056	1812020	84
human_vs_food	1711056	1812021	80
human_vs_food	1711056	1812023	71
human_vs_food	1711056	1812024	76
human_vs_food	1711056	1812031	64
human_vs_food	1711056	1812032	63
human_vs_food	1711056	1812034	56
human_vs_food	1711056	1812040	86
human_vs_food	1711056	1812042	89
human_vs_food	1711056	1812060	119
human_vs_food	1711056	1812064	260
human_vs_food	1711056	1812067	72
human_vs_food	1711056	1812081	75
human_vs_food	1711056	1812103	95
human_vs_food	1711056	1912015	79
human_vs_food	1711056	1912018	80
human_vs_food	1711056	1912019	80
human_vs_food	1711056	1912021	69
human_vs_food	1711056	1912032	81
human_vs_food	1711056	1912033	96
human_vs_food	1711056	1912035	82
human_vs_food	1711056	1912038	33105
human_vs_food	1711056	1912046	77
human_vs_food	1711056	1912063	85
human_vs_food	1711056	1912064	60
human_vs_food	1711056	1912065	760
human_vs_food	1711056	1912067	116
human_vs_food	1711056	1912069	79
human_vs_food	1711056	1912070	102
human_vs_food	1711056	1912082	68
human_vs_food	1711056	1912083	84
human_vs_food	1711056	1912091	81
human_vs_food	1711056	1912092	78
human_vs_food	1711056	1912106	103
human_vs_food	1711056	2012053	79
human_vs_food	1711056	2012067	81
human_vs_food	1711056	2012107	66
human_vs_food	1711056	2012112	58
human_vs_food	1711056	2012113	73
human_vs_food	1711056	2012121	72
human_vs_food	1711056	2112013	114
human_vs_food	1711056	2112017	82
human_vs_food	1711056	2112023	101
human_vs_food	1711056	2112025	80
human_vs_food	1711056	2112026	104
human_vs_food	1711056	2112028	83
human_vs_food	1711056	2112029	80
human_vs_food	1711056	2112035	87
human_vs_food	1711056	2112041	94
human_vs_food	1711056	2112042	93
human_vs_food	1711056	2112043	69
human_vs_food	1711056	2112068	61
human_vs_food	1711056	2112072	106
human_vs_food	1711056	2112074	116
human_vs_food	1711056	2112122	61
human_vs_food	1711056	2212006	59
human_vs_food	1711056	2212008	92
human_vs_food	1711056	2212019	57
human_vs_food	1711056	2212044	92
human_vs_food	1711056	2212045	77
human_vs_food	1711056	2212076	49
human_vs_food	1711233	1712003	152
human_vs_food	1711233	1712004	143
human_vs_food	1711233	1712005	144
human_vs_food	1711233	1712006	153
human_vs_food	1711233	1712007	156
human_vs_food	1711233	1712008	152
human_vs_food	1711233	1712009	143
human_vs_food	1711233	1712010	141
human_vs_food	1711233	1712011	143
human_vs_food	1711233	1712012	127
human_vs_food	1711233	1712013	131
human_vs_food	1711233	1712014	128
human_vs_food	1711233	1712015	127
human_vs_food	1711233	1712016	123
human_vs_food	1711233	1712052	125
human_vs_food	1711233	1712053	129
human_vs_food	1711233	1812013	129
human_vs_food	1711233	1812016	164
human_vs_food	1711233	1812017	127
human_vs_food	1711233	1812020	151
human_vs_food	1711233	1812021	147
human_vs_food	1711233	1812023	138
human_vs_food	1711233	1812024	143
human_vs_food	1711233	1812031	131
human_vs_food	1711233	1812032	130
human_vs_food	1711233	1812034	123
human_vs_food	1711233	1812040	153
human_vs_food	1711233	1812042	156
human_vs_food	1711233	1812060	186
human_vs_food	1711233	1812064	328
human_vs_food	1711233	1812067	139
human_vs_food	1711233	1812081	142
human_vs_food	1711233	1812103	162
human_vs_food	1711233	1912015	146
human_vs_food	1711233	1912018	147
human_vs_food	1711233	1912019	147
human_vs_food	1711233	1912021	136
human_vs_food	1711233	1912032	148
human_vs_food	1711233	1912033	163
human_vs_food	1711233	1912035	149
human_vs_food	1711233	1912038	33141
human_vs_food	1711233	1912046	144
human_vs_food	1711233	1912063	152
human_vs_food	1711233	1912064	127
human_vs_food	1711233	1912065	815
human_vs_food	1711233	1912067	183
human_vs_food	1711233	1912069	146
human_vs_food	1711233	1912070	169
human_vs_food	1711233	1912082	135
human_vs_food	1711233	1912083	151
human_vs_food	1711233	1912091	148
human_vs_food	1711233	1912092	144
human_vs_food	1711233	1912106	144
human_vs_food	1711233	2012053	142
human_vs_food	1711233	2012067	148
human_vs_food	1711233	2012107	132
human_vs_food	1711233	2012112	125
human_vs_food	1711233	2012113	140
human_vs_food	1711233	2012121	113
human_vs_food	1711233	2112013	181
human_vs_food	1711233	2112017	149
human_vs_food	1711233	2112023	168
human_vs_food	1711233	2112025	147
human_vs_food	1711233	2112026	171
human_vs_food	1711233	2112028	150
human_vs_food	1711233	2112029	147
human_vs_food	1711233	2112035	154
human_vs_food	1711233	2112041	161
human_vs_food	1711233	2112042	160
human_vs_food	1711233	2112043	136
human_vs_food	1711233	2112068	128
human_vs_food	1711233	2112072	173
human_vs_food	1711233	2112074	183
human_vs_food	1711233	2112122	128
human_vs_food	1711233	2212006	126
human_vs_food	1711233	2212008	159
human_vs_food	1711233	2212019	124
human_vs_food	1711233	2212044	159
human_vs_food	1711233	2212045	144
human_vs_food	1711233	2212076	116
human_vs_food	1711344	1712003	161
human_vs_food	1711344	1712004	152
human_vs_food	1711344	1712005	153
human_vs_food	1711344	1712006	162
human_vs_food	1711344	1712007	166
human_vs_food	1711344	1712008	161
human_vs_food	1711344	1712009	152
human_vs_food	1711344	1712010	150
human_vs_food	1711344	1712011	152
human_vs_food	1711344	1712012	136
human_vs_food	1711344	1712013	140
human_vs_food	1711344	1712014	137
human_vs_food	1711344	1712015	136
human_vs_food	1711344	1712016	132
human_vs_food	1711344	1712052	134
human_vs_food	1711344	1712053	138
human_vs_food	1711344	1812013	138
human_vs_food	1711344	1812016	173
human_vs_food	1711344	1812017	136
human_vs_food	1711344	1812020	160
human_vs_food	1711344	1812021	156
human_vs_food	1711344	1812023	147
human_vs_food	1711344	1812024	152
human_vs_food	1711344	1812031	140
human_vs_food	1711344	1812032	139
human_vs_food	1711344	1812034	132
human_vs_food	1711344	1812040	162
human_vs_food	1711344	1812042	165
human_vs_food	1711344	1812060	195
human_vs_food	1711344	1812064	338
human_vs_food	1711344	1812067	148
human_vs_food	1711344	1812081	151
human_vs_food	1711344	1812103	171
human_vs_food	1711344	1912015	155
human_vs_food	1711344	1912018	156
human_vs_food	1711344	1912019	155
human_vs_food	1711344	1912021	145
human_vs_food	1711344	1912032	157
human_vs_food	1711344	1912033	172
human_vs_food	1711344	1912035	158
human_vs_food	1711344	1912038	33146
human_vs_food	1711344	1912046	153
human_vs_food	1711344	1912063	161
human_vs_food	1711344	1912064	136
human_vs_food	1711344	1912065	828
human_vs_food	1711344	1912067	192
human_vs_food	1711344	1912069	155
human_vs_food	1711344	1912070	177
human_vs_food	1711344	1912082	144
human_vs_food	1711344	1912083	160
human_vs_food	1711344	1912091	157
human_vs_food	1711344	1912092	154
human_vs_food	1711344	1912106	129
human_vs_food	1711344	2012053	155
human_vs_food	1711344	2012067	157
human_vs_food	1711344	2012107	142
human_vs_food	1711344	2012112	134
human_vs_food	1711344	2012113	149
human_vs_food	1711344	2012121	78
human_vs_food	1711344	2112013	190
human_vs_food	1711344	2112017	158
human_vs_food	1711344	2112023	176
human_vs_food	1711344	2112025	156
human_vs_food	1711344	2112026	180
human_vs_food	1711344	2112028	159
human_vs_food	1711344	2112029	156
human_vs_food	1711344	2112035	163
human_vs_food	1711344	2112041	169
human_vs_food	1711344	2112042	167
human_vs_food	1711344	2112043	144
human_vs_food	1711344	2112068	137
human_vs_food	1711344	2112072	182
human_vs_food	1711344	2112074	192
human_vs_food	1711344	2112122	137
human_vs_food	1711344	2212006	135
human_vs_food	1711344	2212008	168
human_vs_food	1711344	2212019	133
human_vs_food	1711344	2212044	168
human_vs_food	1711344	2212045	153
human_vs_food	1711344	2212076	125
human_vs_food	1711391	1712003	92
human_vs_food	1711391	1712004	83
human_vs_food	1711391	1712005	84
human_vs_food	1711391	1712006	93
human_vs_food	1711391	1712007	97
human_vs_food	1711391	1712008	92
human_vs_food	1711391	1712009	83
human_vs_food	1711391	1712010	81
human_vs_food	1711391	1712011	83
human_vs_food	1711391	1712012	67
human_vs_food	1711391	1712013	71
human_vs_food	1711391	1712014	68
human_vs_food	1711391	1712015	67
human_vs_food	1711391	1712016	63
human_vs_food	1711391	1712052	65
human_vs_food	1711391	1712053	69
human_vs_food	1711391	1812013	69
human_vs_food	1711391	1812016	104
human_vs_food	1711391	1812017	67
human_vs_food	1711391	1812020	91
human_vs_food	1711391	1812021	83
human_vs_food	1711391	1812023	78
human_vs_food	1711391	1812024	83
human_vs_food	1711391	1812031	71
human_vs_food	1711391	1812032	70
human_vs_food	1711391	1812034	63
human_vs_food	1711391	1812040	89
human_vs_food	1711391	1812042	96
human_vs_food	1711391	1812060	126
human_vs_food	1711391	1812064	269
human_vs_food	1711391	1812067	79
human_vs_food	1711391	1812081	82
human_vs_food	1711391	1812103	102
human_vs_food	1711391	1912015	86
human_vs_food	1711391	1912018	83
human_vs_food	1711391	1912019	87
human_vs_food	1711391	1912021	76
human_vs_food	1711391	1912032	84
human_vs_food	1711391	1912033	103
human_vs_food	1711391	1912035	85
human_vs_food	1711391	1912038	33146
human_vs_food	1711391	1912046	84
human_vs_food	1711391	1912063	92
human_vs_food	1711391	1912064	67
human_vs_food	1711391	1912065	766
human_vs_food	1711391	1912067	123
human_vs_food	1711391	1912069	86
human_vs_food	1711391	1912070	109
human_vs_food	1711391	1912082	75
human_vs_food	1711391	1912083	91
human_vs_food	1711391	1912091	88
human_vs_food	1711391	1912092	85
human_vs_food	1711391	1912106	142
human_vs_food	1711391	2012053	86
human_vs_food	1711391	2012067	88
human_vs_food	1711391	2012107	73
human_vs_food	1711391	2012112	65
human_vs_food	1711391	2012113	80
human_vs_food	1711391	2012121	111
human_vs_food	1711391	2112013	121
human_vs_food	1711391	2112017	89
human_vs_food	1711391	2112023	108
human_vs_food	1711391	2112025	87
human_vs_food	1711391	2112026	107
human_vs_food	1711391	2112028	90
human_vs_food	1711391	2112029	87
human_vs_food	1711391	2112035	94
human_vs_food	1711391	2112041	101
human_vs_food	1711391	2112042	100
human_vs_food	1711391	2112043	76
human_vs_food	1711391	2112068	68
human_vs_food	1711391	2112072	109
human_vs_food	1711391	2112074	123
human_vs_food	1711391	2112122	68
human_vs_food	1711391	2212006	66
human_vs_food	1711391	2212008	99
human_vs_food	1711391	2212019	64
human_vs_food	1711391	2212044	99
