pair_type	I1	I2	dist
human_vs_food	1711055	1712023	69
human_vs_food	1711055	1712024	73
human_vs_food	1711055	1712025	72
human_vs_food	1711055	1712026	76
human_vs_food	1711055	1712027	75
human_vs_food	1711055	1712028	66
human_vs_food	1711055	1712029	73
human_vs_food	1711055	1712030	73
human_vs_food	1711055	1712031	81
human_vs_food	1711055	1712032	108
human_vs_food	1711055	1712033	70
human_vs_food	1711055	1712034	58
human_vs_food	1711055	1712035	76
human_vs_food	1711055	1712036	72
human_vs_food	1711055	1712037	91
human_vs_food	1711055	1712040	71
human_vs_food	1711055	1712054	222
human_vs_food	1711055	1712055	111
human_vs_food	1711055	1712056	104
human_vs_food	1711055	1712057	182
human_vs_food	1711055	1712058	114
human_vs_food	1711055	1712059	87
human_vs_food	1711055	1712060	68
human_vs_food	1711055	1712061	84
human_vs_food	1711055	1712064	65
human_vs_food	1711055	1712065	78
human_vs_food	1711055	1712066	76
human_vs_food	1711055	1712067	76
human_vs_food	1711055	1712068	78
human_vs_food	1711055	1712069	75
human_vs_food	1711055	1712070	76
human_vs_food	1711055	1712071	74
human_vs_food	1711055	1712072	75
human_vs_food	1711055	1712073	76
human_vs_food	1711055	1712074	77
human_vs_food	1711055	1712075	94
human_vs_food	1711055	1712076	77
human_vs_food	1711055	1712077	75
human_vs_food	1711055	1712078	78
human_vs_food	1711055	1812011	104
human_vs_food	1711055	1812014	72
human_vs_food	1711055	1812019	80
human_vs_food	1711055	1812022	79
human_vs_food	1711055	1812025	71
human_vs_food	1711055	1812029	77
human_vs_food	1711055	1812036	88
human_vs_food	1711055	1812037	74
human_vs_food	1711055	1812038	77
human_vs_food	1711055	1812039	77
human_vs_food	1711055	1812043	68
human_vs_food	1711055	1812045	82
human_vs_food	1711055	1812048	72
human_vs_food	1711055	1812058	488
human_vs_food	1711055	1812061	78
human_vs_food	1711055	1812069	74
human_vs_food	1711055	1812073	122
human_vs_food	1711055	1812075	78
human_vs_food	1711055	1812079	107
human_vs_food	1711055	1812080	86
human_vs_food	1711055	1812082	134
human_vs_food	1711055	1812083	116
human_vs_food	1711055	1812084	198
human_vs_food	1711055	1812085	85
human_vs_food	1711055	1812086	99
human_vs_food	1711055	1812087	81
human_vs_food	1711055	1812088	72
human_vs_food	1711055	1812089	90
human_vs_food	1711055	1812091	83
human_vs_food	1711055	1812092	79
human_vs_food	1711055	1812095	75
human_vs_food	1711055	1812096	75
human_vs_food	1711055	1812098	80
human_vs_food	1711055	1812099	93
human_vs_food	1711055	1812100	83
human_vs_food	1711055	1812101	81
human_vs_food	1711055	1812105	84
human_vs_food	1711055	1812106	85
human_vs_food	1711055	1812107	82
human_vs_food	1711055	1812108	82
human_vs_food	1711055	1812109	82
human_vs_food	1711055	1812110	83
human_vs_food	1711055	1812111	82
human_vs_food	1711055	1912011	74
human_vs_food	1711055	1912013	89
human_vs_food	1711055	1912016	78
human_vs_food	1711055	1912017	76
human_vs_food	1711055	1912020	87
human_vs_food	1711055	1912023	86
human_vs_food	1711055	1912025	71
human_vs_food	1711055	1912027	82
human_vs_food	1711055	1912028	81
human_vs_food	1711055	1912029	84
human_vs_food	1711055	1912031	72
human_vs_food	1711055	1912034	82
human_vs_food	1711055	1912039	79
human_vs_food	1711055	1912040	83
human_vs_food	1711055	1912041	85
human_vs_food	1711055	1912042	83
human_vs_food	1711055	1912043	75
human_vs_food	1711055	1912044	78
human_vs_food	1711055	1912045	77
human_vs_food	1711055	1912047	76
human_vs_food	1711055	1912048	203
human_vs_food	1711055	1912049	83
human_vs_food	1711055	1912055	84
human_vs_food	1711055	1912056	116
human_vs_food	1711055	1912057	118
human_vs_food	1711055	1912058	81
human_vs_food	1711055	1912059	79
human_vs_food	1711055	1912060	214
human_vs_food	1711055	1912061	70
human_vs_food	1711055	1912062	109
human_vs_food	1711055	1912086	187
human_vs_food	1711055	1912087	97
human_vs_food	1711055	1912088	102
human_vs_food	1711055	1912089	68
human_vs_food	1711055	1912090	111
human_vs_food	1711055	1912093	109
human_vs_food	1711055	1912094	116
human_vs_food	1711055	1912097	79
human_vs_food	1711055	1912098	91
human_vs_food	1711055	1912099	110
human_vs_food	1711055	1912100	100
human_vs_food	1711055	1912101	69
human_vs_food	1711055	1912104	77
human_vs_food	1711055	1912105	77
human_vs_food	1711055	1912107	94
human_vs_food	1711055	1912108	92
human_vs_food	1711055	1912109	3642
human_vs_food	1711055	1912110	82
human_vs_food	1711055	1912113	79
human_vs_food	1711055	1912114	74
human_vs_food	1711055	1912115	78
human_vs_food	1711055	1912116	83
human_vs_food	1711055	1912117	83
human_vs_food	1711055	1912118	82
human_vs_food	1711055	1912119	84
human_vs_food	1711055	1912120	69
human_vs_food	1711055	1912121	84
human_vs_food	1711055	1912122	86
human_vs_food	1711055	1912123	88
human_vs_food	1711055	2012012	85
human_vs_food	1711055	2012013	84
human_vs_food	1711055	2012014	458
human_vs_food	1711055	2012015	69
human_vs_food	1711055	2012016	111
human_vs_food	1711055	2012022	100
human_vs_food	1711055	2012023	78
human_vs_food	1711055	2012024	86
human_vs_food	1711055	2012025	78
human_vs_food	1711055	2012026	83
human_vs_food	1711055	2012027	84
human_vs_food	1711055	2012029	85
human_vs_food	1711055	2012030	96
human_vs_food	1711055	2012031	89
human_vs_food	1711055	2012032	69
human_vs_food	1711055	2012034	80
human_vs_food	1711055	2012035	79
human_vs_food	1711055	2012036	131
human_vs_food	1711055	2012037	189
human_vs_food	1711055	2012039	80
human_vs_food	1711055	2012040	112
human_vs_food	1711055	2012041	325
human_vs_food	1711055	2012043	79
human_vs_food	1711055	2012045	73
human_vs_food	1711055	2012047	139
human_vs_food	1711055	2012048	83
human_vs_food	1711055	2012049	84
human_vs_food	1711055	2012050	181
human_vs_food	1711055	2012051	102
human_vs_food	1711055	2012055	93
human_vs_food	1711055	2012056	67
human_vs_food	1711055	2012057	79
human_vs_food	1711055	2012058	87
human_vs_food	1711055	2012069	91
human_vs_food	1711055	2012075	83
human_vs_food	1711055	2012076	78
human_vs_food	1711055	2012106	78
human_vs_food	1711055	2012108	74
human_vs_food	1711055	2012109	76
human_vs_food	1711055	2012110	84
human_vs_food	1711055	2012111	78
human_vs_food	1711055	2012114	87
human_vs_food	1711055	2012115	84
human_vs_food	1711055	2012116	175
human_vs_food	1711055	2012117	73
human_vs_food	1711055	2012119	85
human_vs_food	1711055	2012120	83
human_vs_food	1711055	2012124	79
human_vs_food	1711055	2012125	82
human_vs_food	1711055	2012126	92
human_vs_food	1711055	2012127	88
human_vs_food	1711055	2012128	86
human_vs_food	1711055	2012129	92
human_vs_food	1711055	2112001	102
human_vs_food	1711055	2112002	75
human_vs_food	1711055	2112003	80
human_vs_food	1711055	2112004	76
human_vs_food	1711055	2112005	84
human_vs_food	1711055	2112006	84
human_vs_food	1711055	2112007	122
human_vs_food	1711055	2112008	81
