pair_type	I1	I2	dist
human_vs_human	1711236	1811070	136
human_vs_human	1711236	2011138	137
human_vs_human	1711236	2011140	2284
human_vs_human	1711236	2111041	133
human_vs_human	1711236	2111078	2291
human_vs_human	1711236	2111081	2292
human_vs_human	1711236	2211089	2294
human_vs_human	1711236	2211090	2295
human_vs_human	1711236	2211091	124
human_vs_human	1811070	2011138	85
human_vs_human	1811070	2011140	2236
human_vs_human	1811070	2111041	81
human_vs_human	1811070	2111078	2242
human_vs_human	1811070	2111081	2243
human_vs_human	1811070	2211089	2245
human_vs_human	1811070	2211090	2246
human_vs_human	1811070	2211091	65
human_vs_human	2011138	2011140	2237
human_vs_human	2011138	2111041	16
human_vs_human	2011138	2111078	2243
human_vs_human	2011138	2111081	2244
human_vs_human	2011138	2211089	2246
human_vs_human	2011138	2211090	2247
human_vs_human	2011138	2211091	73
human_vs_human	2011140	2111041	2233
human_vs_human	2011140	2111078	32
human_vs_human	2011140	2111081	33
human_vs_human	2011140	2211089	35
human_vs_human	2011140	2211090	36
human_vs_human	2011140	2211091	2224
human_vs_human	2111041	2111078	2239
human_vs_human	2111041	2111081	2240
human_vs_human	2111041	2211089	2242
human_vs_human	2111041	2211090	2243
human_vs_human	2111041	2211091	69
human_vs_human	2111078	2111081	3
human_vs_human	2111078	2211089	17
human_vs_human	2111078	2211090	18
human_vs_human	2111078	2211091	2230
human_vs_human	2111081	2211089	18
human_vs_human	2111081	2211090	19
human_vs_human	2111081	2211091	2231
human_vs_human	2211089	2211090	1
human_vs_human	2211089	2211091	2233
human_vs_human	2211090	2211091	2234
