pair_type	I1	I2	dist
human_vs_animal	1711055	S-LS-30-S-C-10-2-1-7	78
human_vs_animal	1711055	S-LS-30-S-C-100-1-1-119	78
human_vs_animal	1711055	S-LS-30-S-C-101-1-1-121	98
human_vs_animal	1711055	S-LS-30-S-C-102-2-123	80
human_vs_animal	1711055	S-LS-30-S-C-103-1-1-124	102
human_vs_animal	1711055	S-LS-30-S-C-104-1-1-126	76
human_vs_animal	1711055	S-LS-30-S-C-106-1-1-130	81
human_vs_animal	1711055	S-LS-30-S-C-107-1-1-132	81
human_vs_animal	1711055	S-LS-30-S-C-113-1-1-139	76
human_vs_animal	1711055	S-LS-30-S-C-116-1-1-144	95
human_vs_animal	1711055	S-LS-30-S-C-120-1-1-147	77
human_vs_animal	1711055	S-LS-30-S-C-121-1-1-149	249
human_vs_animal	1711055	S-LS-30-S-C-123-1-1-151	73
human_vs_animal	1711055	S-LS-30-S-C-127-1-1-158	83
human_vs_animal	1711055	S-LS-30-S-C-128-1-1-160	180
human_vs_animal	1711055	S-LS-30-S-C-129-1-1-162	85
human_vs_animal	1711055	S-LS-30-S-C-130-1-1-164	72
human_vs_animal	1711055	S-LS-30-S-C-131-1-1-165	103
human_vs_animal	1711055	S-LS-30-S-C-132-1-1-167	87
human_vs_animal	1711055	S-LS-30-S-C-136-1-1-171	97
human_vs_animal	1711055	S-LS-30-S-C-138-1-1-175	117
human_vs_animal	1711055	S-LS-30-S-C-14-1-1-13	74
human_vs_animal	1711055	S-LS-30-S-C-141-1-1-179	76
human_vs_animal	1711055	S-LS-30-S-C-15-2-1-14	76
human_vs_animal	1711055	S-LS-30-S-C-153-1-1-191	86
human_vs_animal	1711055	S-LS-30-S-C-158-1-1-194	77
human_vs_animal	1711055	S-LS-30-S-C-159-1-1-195	78
human_vs_animal	1711055	S-LS-30-S-C-16-1-1-15	82
human_vs_animal	1711055	S-LS-30-S-C-161-1-1-199	110
human_vs_animal	1711055	S-LS-30-S-C-162-1-1-201	77
human_vs_animal	1711055	S-LS-30-S-C-164-1-1-203	81
human_vs_animal	1711055	S-LS-30-S-C-165-1-1-205	74
human_vs_animal	1711055	S-LS-30-S-C-166-1-1-206	73
human_vs_animal	1711055	S-LS-30-S-C-168-1-1-207	70
human_vs_animal	1711055	S-LS-30-S-C-170-1-1-209	100
human_vs_animal	1711055	S-LS-30-S-C-172-2-1-210	73
human_vs_animal	1711055	S-LS-30-S-C-18-2-1-17	75
human_vs_animal	1711055	S-LS-30-S-C-19-2-1-18	72
human_vs_animal	1711055	S-LS-30-S-C-21-1-1-21	79
human_vs_animal	1711055	S-LS-30-S-C-22-1-1-22	93
human_vs_animal	1711055	S-LS-30-S-C-52-1-1-59	105
human_vs_animal	1711055	S-LS-30-S-C-56-1-1-64	99
human_vs_animal	1711055	S-LS-30-S-C-57-1-1-66	100
human_vs_animal	1711055	S-LS-30-S-C-58-1-1-68	76
human_vs_animal	1711055	S-LS-30-S-C-59-1-1-69	82
human_vs_animal	1711055	S-LS-30-S-C-62-1-1-73	47529
human_vs_animal	1711055	S-LS-30-S-C-64-1-1-76	3486
human_vs_animal	1711055	S-LS-30-S-C-67-1-1-78	107
human_vs_animal	1711055	S-LS-30-S-C-68-1-1-80	76
human_vs_animal	1711055	S-LS-30-S-C-69-1-1-82	73
human_vs_animal	1711055	S-LS-30-S-C-72-1-1-84	46650
human_vs_animal	1711055	S-LS-30-S-C-73-1-1-86	46695
human_vs_animal	1711055	S-LS-30-S-C-75-1-1-89	79
human_vs_animal	1711055	S-LS-30-S-C-82-2-1-97	83
human_vs_animal	1711055	S-LS-30-S-C-84-2-1-98	103
human_vs_animal	1711055	S-LS-30-S-C-92-1-1-108	82
human_vs_animal	1711055	S-LS-30-S-C-93-1-1-110	83
human_vs_animal	1711055	S-LS-30-S-C-94-1-1-112	46626
human_vs_animal	1711055	S-LS-30-S-C-95-1-1-114	91
human_vs_animal	1711055	S-LS-30-S-C-96-1-1-116	79
human_vs_animal	1711055	S-LS-30-S-C-99-1-1-118	75
human_vs_animal	1711055	S-FF-R1-S-C-1-1-1-107	127
human_vs_animal	1711055	S-FF-R1-S-C-2-1-1-108	94
human_vs_animal	1711055	S-FF-R1-S-C-3-1-1-110	65
human_vs_animal	1711055	S-FF-R1-S-C-4-1-1-112	74
human_vs_animal	1711055	S-FF-R1-S-C-5-1-1-114	72
human_vs_animal	1711055	S-FF-R1-S-C-6-1-1-115	77
human_vs_animal	1711055	S-FF-R1-S-C-7-1-1-117	3638
human_vs_animal	1711055	S-FF-R1-S-C-9-2-1-121	69
human_vs_animal	1711055	S-FF-R1-S-C-12-1-1-125	102
human_vs_animal	1711055	S-FF-R1-S-C-13-1-1-127	83
human_vs_animal	1711055	S-FF-R1-S-C-1-1-1-128	114
human_vs_animal	1711055	S-FF-R1-S-C-2-1-1-130	90
human_vs_animal	1711055	S-FF-R1-S-C-5-1-1-135	146
human_vs_animal	1711055	S-FF-R1-S-C-6-1-1-136	234
human_vs_animal	1711055	S-FF-R1-S-C-7-1-1-138	188
human_vs_animal	1711055	S-FF-R1-S-C-8-1-1-140	92
human_vs_animal	1711055	S-FF-R1-S-C-10-1-1-143	177
human_vs_animal	1711055	S-FF-R1-S-C-11-2-1-145	79
human_vs_animal	1711055	S-FF-R1-S-C-12-1-1-146	86
human_vs_animal	1711055	S-FF-R1-S-C-1-1-1-147	94
human_vs_animal	1711055	S-FF-R1-S-C-2-1-1-148	82
human_vs_animal	1711055	S-FF-R1-S-C-3-1-1-151	131
human_vs_animal	1711055	S-FF-R1-S-C-4-2-1-153	174
human_vs_animal	1711055	S-FF-R1-S-C-5-1-1-154	94
human_vs_animal	1711055	S-FF-R1-S-C-6-1-1-156	126
human_vs_animal	1711055	S-FF-R1-S-C-7-1-1-158	79
human_vs_animal	1711055	S-FF-R1-S-C-8-1-1-160	85
human_vs_animal	1711055	S-FF-R1-S-C-9-1-1-162	78
human_vs_animal	1711055	S-FF-R1-S-C-10-1-1-164	168
human_vs_animal	1711055	S-FF-R1-S-C-11-2-1-166	78
human_vs_animal	1711055	S-FF-R1-S-C-12-1-1-167	323
human_vs_animal	1711055	S-FF-R1-S-C-1-1-1-169	83
human_vs_animal	1711055	S-FF-R1-S-C-2-1-1-171	329
human_vs_animal	1711055	S-FF-R1-S-C-3-1-1-173	81
human_vs_animal	1711055	S-FF-R1-S-C-4-1-1-175	76
human_vs_animal	1711055	S-FF-R1-S-C-5-2-1-177	125
human_vs_animal	1711055	S-FF-R1-S-C-6-1-1-178	147
human_vs_animal	1711055	S-FF-R1-S-C-7-1-1-180	172
human_vs_animal	1711055	S-FF-R1-S-C-8-1-1-181	97
human_vs_animal	1711055	S-FF-R1-S-C-9-1-1-184	98
