pair_type	I1	I2	dist
human_vs_animal	1711061	S-LS-30-S-C-27-1-1-24	889
human_vs_animal	1711061	S-LS-30-S-C-47-1-1-53	31801
human_vs_animal	1711061	S-LS-30-S-C-76-1-1-91	37070
human_vs_animal	1711061	S-FF-R1-S-C-12-1-1-48	883
human_vs_animal	1711061	S-FF-R1-S-C-13-1-1-50	884
human_vs_animal	1711062	S-LS-30-S-C-27-1-1-24	871
human_vs_animal	1711062	S-LS-30-S-C-47-1-1-53	31799
human_vs_animal	1711062	S-LS-30-S-C-76-1-1-91	37065
human_vs_animal	1711062	S-FF-R1-S-C-12-1-1-48	865
human_vs_animal	1711062	S-FF-R1-S-C-13-1-1-50	867
human_vs_animal	1711106	S-LS-30-S-C-27-1-1-24	43
human_vs_animal	1711106	S-LS-30-S-C-47-1-1-53	31829
human_vs_animal	1711106	S-LS-30-S-C-76-1-1-91	37013
human_vs_animal	1711106	S-FF-R1-S-C-12-1-1-48	39
human_vs_animal	1711106	S-FF-R1-S-C-13-1-1-50	41
human_vs_animal	1711224	S-LS-30-S-C-27-1-1-24	44
human_vs_animal	1711224	S-LS-30-S-C-47-1-1-53	31688
human_vs_animal	1711224	S-LS-30-S-C-76-1-1-91	36863
human_vs_animal	1711224	S-FF-R1-S-C-12-1-1-48	40
human_vs_animal	1711224	S-FF-R1-S-C-13-1-1-50	42
human_vs_animal	1711228	S-LS-30-S-C-27-1-1-24	862
human_vs_animal	1711228	S-LS-30-S-C-47-1-1-53	31790
human_vs_animal	1711228	S-LS-30-S-C-76-1-1-91	37057
human_vs_animal	1711228	S-FF-R1-S-C-12-1-1-48	856
human_vs_animal	1711228	S-FF-R1-S-C-13-1-1-50	858
human_vs_animal	1711230	S-LS-30-S-C-27-1-1-24	877
human_vs_animal	1711230	S-LS-30-S-C-47-1-1-53	31805
human_vs_animal	1711230	S-LS-30-S-C-76-1-1-91	37070
human_vs_animal	1711230	S-FF-R1-S-C-12-1-1-48	871
human_vs_animal	1711230	S-FF-R1-S-C-13-1-1-50	873
human_vs_animal	1711361	S-LS-30-S-C-27-1-1-24	43
human_vs_animal	1711361	S-LS-30-S-C-47-1-1-53	31823
human_vs_animal	1711361	S-LS-30-S-C-76-1-1-91	37012
human_vs_animal	1711361	S-FF-R1-S-C-12-1-1-48	39
human_vs_animal	1711361	S-FF-R1-S-C-13-1-1-50	41
human_vs_animal	1911201	S-LS-30-S-C-27-1-1-24	37
human_vs_animal	1911201	S-LS-30-S-C-47-1-1-53	31824
human_vs_animal	1911201	S-LS-30-S-C-76-1-1-91	37007
human_vs_animal	1911201	S-FF-R1-S-C-12-1-1-48	33
human_vs_animal	1911201	S-FF-R1-S-C-13-1-1-50	35
human_vs_animal	1911204	S-LS-30-S-C-27-1-1-24	46
human_vs_animal	1911204	S-LS-30-S-C-47-1-1-53	31831
human_vs_animal	1911204	S-LS-30-S-C-76-1-1-91	37004
human_vs_animal	1911204	S-FF-R1-S-C-12-1-1-48	42
human_vs_animal	1911204	S-FF-R1-S-C-13-1-1-50	41
human_vs_animal	1911207	S-LS-30-S-C-27-1-1-24	878
human_vs_animal	1911207	S-LS-30-S-C-47-1-1-53	31806
human_vs_animal	1911207	S-LS-30-S-C-76-1-1-91	37072
human_vs_animal	1911207	S-FF-R1-S-C-12-1-1-48	872
human_vs_animal	1911207	S-FF-R1-S-C-13-1-1-50	874
human_vs_animal	1911216	S-LS-30-S-C-27-1-1-24	54
human_vs_animal	1911216	S-LS-30-S-C-47-1-1-53	31835
human_vs_animal	1911216	S-LS-30-S-C-76-1-1-91	37022
human_vs_animal	1911216	S-FF-R1-S-C-12-1-1-48	48
human_vs_animal	1911216	S-FF-R1-S-C-13-1-1-50	50
human_vs_animal	2011147	S-LS-30-S-C-27-1-1-24	53
human_vs_animal	2011147	S-LS-30-S-C-47-1-1-53	31841
human_vs_animal	2011147	S-LS-30-S-C-76-1-1-91	37024
human_vs_animal	2011147	S-FF-R1-S-C-12-1-1-48	51
human_vs_animal	2011147	S-FF-R1-S-C-13-1-1-50	53
human_vs_animal	2011158	S-LS-30-S-C-27-1-1-24	48
human_vs_animal	2011158	S-LS-30-S-C-47-1-1-53	31835
human_vs_animal	2011158	S-LS-30-S-C-76-1-1-91	37020
human_vs_animal	2011158	S-FF-R1-S-C-12-1-1-48	46
human_vs_animal	2011158	S-FF-R1-S-C-13-1-1-50	48
