pair_type	I1	I2	dist
human_vs_animal	1711236	30-Sal-C-5-1-1-4	32927
human_vs_animal	1711236	30-Sal-C-51-1-1-57	42824
human_vs_animal	1711236	S-C-1-1-1-227	134
human_vs_animal	1711236	S-C-10-2-1-242	136
human_vs_animal	1711236	S-C-12-1-1-244	202
human_vs_animal	1711236	S-C-14-1-1-247	140
human_vs_animal	1711236	S-C-15-2-1-249	144
human_vs_animal	1711236	S-C-16-1-1-250	132
human_vs_animal	1711236	S-C-17-1-1-252	128
human_vs_animal	1711236	S-C-2-1-1-103	141
human_vs_animal	1711236	S-C-4-2-1-232	167
human_vs_animal	1711236	S-C-6-1-1-235	151
human_vs_animal	1711236	S-C-7-1-1-237	140
human_vs_animal	1711236	S-C-8-1-1-239	126
human_vs_animal	1711236	S-C-9-1-1-240	122
human_vs_animal	1811070	30-Sal-C-5-1-1-4	33046
human_vs_animal	1811070	30-Sal-C-51-1-1-57	42939
human_vs_animal	1811070	S-C-1-1-1-227	82
human_vs_animal	1811070	S-C-10-2-1-242	84
human_vs_animal	1811070	S-C-12-1-1-244	151
human_vs_animal	1811070	S-C-14-1-1-247	88
human_vs_animal	1811070	S-C-15-2-1-249	92
human_vs_animal	1811070	S-C-16-1-1-250	80
human_vs_animal	1811070	S-C-17-1-1-252	30
human_vs_animal	1811070	S-C-2-1-1-103	89
human_vs_animal	1811070	S-C-4-2-1-232	113
human_vs_animal	1811070	S-C-6-1-1-235	85
human_vs_animal	1811070	S-C-7-1-1-237	88
human_vs_animal	1811070	S-C-8-1-1-239	68
human_vs_animal	1811070	S-C-9-1-1-240	64
human_vs_animal	2011138	30-Sal-C-5-1-1-4	33049
human_vs_animal	2011138	30-Sal-C-51-1-1-57	42939
human_vs_animal	2011138	S-C-1-1-1-227	17
human_vs_animal	2011138	S-C-10-2-1-242	19
human_vs_animal	2011138	S-C-12-1-1-244	112
human_vs_animal	2011138	S-C-14-1-1-247	23
human_vs_animal	2011138	S-C-15-2-1-249	27
human_vs_animal	2011138	S-C-16-1-1-250	15
human_vs_animal	2011138	S-C-17-1-1-252	77
human_vs_animal	2011138	S-C-2-1-1-103	24
human_vs_animal	2011138	S-C-4-2-1-232	50
human_vs_animal	2011138	S-C-6-1-1-235	100
human_vs_animal	2011138	S-C-7-1-1-237	3
human_vs_animal	2011138	S-C-8-1-1-239	75
human_vs_animal	2011138	S-C-9-1-1-240	71
human_vs_animal	2011140	30-Sal-C-5-1-1-4	33171
human_vs_animal	2011140	30-Sal-C-51-1-1-57	43011
human_vs_animal	2011140	S-C-1-1-1-227	2234
human_vs_animal	2011140	S-C-10-2-1-242	2236
human_vs_animal	2011140	S-C-12-1-1-244	2299
human_vs_animal	2011140	S-C-14-1-1-247	2240
human_vs_animal	2011140	S-C-15-2-1-249	2244
human_vs_animal	2011140	S-C-16-1-1-250	2232
human_vs_animal	2011140	S-C-17-1-1-252	2228
human_vs_animal	2011140	S-C-2-1-1-103	2241
human_vs_animal	2011140	S-C-4-2-1-232	2261
human_vs_animal	2011140	S-C-6-1-1-235	2250
human_vs_animal	2011140	S-C-7-1-1-237	2240
human_vs_animal	2011140	S-C-8-1-1-239	2226
human_vs_animal	2011140	S-C-9-1-1-240	2222
human_vs_animal	2111041	30-Sal-C-5-1-1-4	33046
human_vs_animal	2111041	30-Sal-C-51-1-1-57	42942
human_vs_animal	2111041	S-C-1-1-1-227	13
human_vs_animal	2111041	S-C-10-2-1-242	15
human_vs_animal	2111041	S-C-12-1-1-244	108
human_vs_animal	2111041	S-C-14-1-1-247	19
human_vs_animal	2111041	S-C-15-2-1-249	23
human_vs_animal	2111041	S-C-16-1-1-250	11
human_vs_animal	2111041	S-C-17-1-1-252	73
human_vs_animal	2111041	S-C-2-1-1-103	20
human_vs_animal	2111041	S-C-4-2-1-232	44
human_vs_animal	2111041	S-C-6-1-1-235	96
human_vs_animal	2111041	S-C-7-1-1-237	19
human_vs_animal	2111041	S-C-8-1-1-239	71
human_vs_animal	2111041	S-C-9-1-1-240	67
human_vs_animal	2111078	30-Sal-C-5-1-1-4	33178
human_vs_animal	2111078	30-Sal-C-51-1-1-57	43016
human_vs_animal	2111078	S-C-1-1-1-227	2240
human_vs_animal	2111078	S-C-10-2-1-242	2242
human_vs_animal	2111078	S-C-12-1-1-244	2305
human_vs_animal	2111078	S-C-14-1-1-247	2246
human_vs_animal	2111078	S-C-15-2-1-249	2250
human_vs_animal	2111078	S-C-16-1-1-250	2238
human_vs_animal	2111078	S-C-17-1-1-252	2234
human_vs_animal	2111078	S-C-2-1-1-103	2247
human_vs_animal	2111078	S-C-4-2-1-232	2267
human_vs_animal	2111078	S-C-6-1-1-235	2256
human_vs_animal	2111078	S-C-7-1-1-237	2246
human_vs_animal	2111078	S-C-8-1-1-239	2232
human_vs_animal	2111078	S-C-9-1-1-240	2228
human_vs_animal	2111081	30-Sal-C-5-1-1-4	33175
human_vs_animal	2111081	30-Sal-C-51-1-1-57	43019
human_vs_animal	2111081	S-C-1-1-1-227	2241
human_vs_animal	2111081	S-C-10-2-1-242	2243
human_vs_animal	2111081	S-C-12-1-1-244	2306
human_vs_animal	2111081	S-C-14-1-1-247	2247
human_vs_animal	2111081	S-C-15-2-1-249	2251
human_vs_animal	2111081	S-C-16-1-1-250	2239
human_vs_animal	2111081	S-C-17-1-1-252	2235
human_vs_animal	2111081	S-C-2-1-1-103	2248
human_vs_animal	2111081	S-C-4-2-1-232	2268
human_vs_animal	2111081	S-C-6-1-1-235	2257
human_vs_animal	2111081	S-C-7-1-1-237	2247
human_vs_animal	2111081	S-C-8-1-1-239	2233
human_vs_animal	2111081	S-C-9-1-1-240	2229
human_vs_animal	2211089	30-Sal-C-5-1-1-4	33175
human_vs_animal	2211089	30-Sal-C-51-1-1-57	43015
human_vs_animal	2211089	S-C-1-1-1-227	2243
human_vs_animal	2211089	S-C-10-2-1-242	2245
human_vs_animal	2211089	S-C-12-1-1-244	2308
human_vs_animal	2211089	S-C-14-1-1-247	2249
human_vs_animal	2211089	S-C-15-2-1-249	2253
human_vs_animal	2211089	S-C-16-1-1-250	2241
human_vs_animal	2211089	S-C-17-1-1-252	2237
human_vs_animal	2211089	S-C-2-1-1-103	2250
human_vs_animal	2211089	S-C-4-2-1-232	2270
human_vs_animal	2211089	S-C-6-1-1-235	2259
human_vs_animal	2211089	S-C-7-1-1-237	2249
human_vs_animal	2211089	S-C-8-1-1-239	2235
human_vs_animal	2211089	S-C-9-1-1-240	2231
human_vs_animal	2211090	30-Sal-C-5-1-1-4	33176
human_vs_animal	2211090	30-Sal-C-51-1-1-57	43016
human_vs_animal	2211090	S-C-1-1-1-227	2244
human_vs_animal	2211090	S-C-10-2-1-242	2246
human_vs_animal	2211090	S-C-12-1-1-244	2309
human_vs_animal	2211090	S-C-14-1-1-247	2250
human_vs_animal	2211090	S-C-15-2-1-249	2254
human_vs_animal	2211090	S-C-16-1-1-250	2242
human_vs_animal	2211090	S-C-17-1-1-252	2238
human_vs_animal	2211090	S-C-2-1-1-103	2251
human_vs_animal	2211090	S-C-4-2-1-232	2271
human_vs_animal	2211090	S-C-6-1-1-235	2260
human_vs_animal	2211090	S-C-7-1-1-237	2250
human_vs_animal	2211090	S-C-8-1-1-239	2236
human_vs_animal	2211090	S-C-9-1-1-240	2232
human_vs_animal	2211091	30-Sal-C-5-1-1-4	33039
human_vs_animal	2211091	30-Sal-C-51-1-1-57	42938
human_vs_animal	2211091	S-C-1-1-1-227	70
human_vs_animal	2211091	S-C-10-2-1-242	72
human_vs_animal	2211091	S-C-12-1-1-244	139
human_vs_animal	2211091	S-C-14-1-1-247	76
human_vs_animal	2211091	S-C-15-2-1-249	80
human_vs_animal	2211091	S-C-16-1-1-250	68
human_vs_animal	2211091	S-C-17-1-1-252	58
human_vs_animal	2211091	S-C-2-1-1-103	77
human_vs_animal	2211091	S-C-4-2-1-232	103
human_vs_animal	2211091	S-C-6-1-1-235	81
human_vs_animal	2211091	S-C-7-1-1-237	76
human_vs_animal	2211091	S-C-8-1-1-239	52
human_vs_animal	2211091	S-C-9-1-1-240	38
